variant,instrument,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
BASELINE,USDRUBF,604,1.36026628195,0.162185403288,97.9599835858,-24.9726410236,3.92269217714,0.402317880795
BASELINE,CNYRUBF,527,0.963258218331,-0.0197907652126,-10.429733267,-31.5930828032,-0.330127114596,0.343453510436
SESSION_FILTER,USDRUBF,435,1.53815872638,0.240095622752,104.441595897,-17.6691854422,5.91094571046,0.411494252874
SESSION_FILTER,CNYRUBF,379,1.04345244214,0.0228001907399,8.64127229043,-19.8194004715,0.436000690477,0.353562005277
