strategy,candidate_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,max_winning_streak,max_losing_streak,average_MAE_R,average_MFE_R
T2,T2_M30_candidate_v1,178,1.48755149674,0.222571280767,39.6176879764,-15.0847664713,2.62633750756,0.325842696629,1041.91011236,5,13,0.458312323728,1.67764321711
T3,T3_M30_candidate_v1,190,2.39563875011,0.530481219958,100.791431792,-8.94922459666,11.2625882503,0.478947368421,1272,9,8,0.559225830685,1.90558664917
