configuration_id,neighbor_ids,neighbor_count,positive_neighbors,stable_positive_neighbors,stability_tolerance,expectancy_C1,PF_C1,classification
T2-H1-2696ace53d38,T2-H1-0f598fd08d5f,1,1,1,0.151505252282,0.432872149378,2.05897344204,LOCAL_SPIKE
T2-H1-8b4dd7c871ba,T2-H1-0f598fd08d5f,1,1,1,0.170614200803,0.48746914515,2.16242980003,LOCAL_SPIKE
T2-H1-22d7ea10c462,T2-H1-0f598fd08d5f,1,1,1,0.199018530915,0.568624374043,2.39142989647,LOCAL_SPIKE
T2-H1-1d7fc9f67a72,T2-H1-0f598fd08d5f,1,1,1,0.181614340128,0.51889811465,2.32698403851,LOCAL_SPIKE
T2-H1-ee4694de69de,T2-H1-0f598fd08d5f,1,1,1,0.172947026762,0.494134362178,2.24493810611,LOCAL_SPIKE
T2-H1-2584c9b32dae,T2-H1-0f598fd08d5f,1,1,1,0.159088565134,0.454538757525,2.13964967274,LOCAL_SPIKE
T2-H1-d171cb18dcd0,T2-H1-608dc87d09f1,1,1,1,0.224803232385,0.642294949672,2.44699459697,LOCAL_SPIKE
T2-H1-608dc87d09f1,T2-H1-d171cb18dcd0;T2-H1-0f598fd08d5f,2,2,2,0.201268215036,0.575052042961,2.39295957746,ROBUST_PLATEAU
T2-H1-2f9d182d308e,T2-H1-0f598fd08d5f,1,1,0,0.0753082810649,0.215166517328,1.66964499054,LOCAL_SPIKE
T2-H1-0f598fd08d5f,T2-H1-2696ace53d38;T2-H1-8b4dd7c871ba;T2-H1-22d7ea10c462;T2-H1-1d7fc9f67a72;T2-H1-ee4694de69de;T2-H1-2584c9b32dae;T2-H1-608dc87d09f1;T2-H1-2f9d182d308e;T2-H1-3eefc31bed0c;T2-H1-25baa7acaa00;T2-H1-13256c8f5c15;T2-H1-edad2c7fa494;T2-H1-a98459cab4f2;T2-H1-3d984a978619;T2-H1-7c89b4a215cd,15,15,13,0.160059153769,0.45731186791,2.13751848394,ROBUST_PLATEAU
T2-H1-3eefc31bed0c,T2-H1-0f598fd08d5f,1,1,0,0.28560923461,0.8160263846,2.90447850431,LOCAL_SPIKE
T2-H1-25baa7acaa00,T2-H1-0f598fd08d5f,1,1,1,0.180009238239,0.514312109254,2.26916825379,LOCAL_SPIKE
T2-H1-13256c8f5c15,T2-H1-0f598fd08d5f,1,1,1,0.16733447664,0.478098504687,2.23873298036,LOCAL_SPIKE
T2-H1-edad2c7fa494,T2-H1-0f598fd08d5f,1,1,1,0.166451805897,0.475576588276,2.21271640361,LOCAL_SPIKE
T2-H1-a98459cab4f2,T2-H1-0f598fd08d5f;T2-H1-033b0f5e6256,2,2,2,0.157010495112,0.448601414604,2.12720307273,ROBUST_PLATEAU
T2-H1-033b0f5e6256,T2-H1-a98459cab4f2,1,1,1,0.166243237898,0.474980679709,2.15377763463,LOCAL_SPIKE
T2-H1-3d984a978619,T2-H1-0f598fd08d5f,1,1,1,0.1468020016,0.419434290286,2.03999843161,LOCAL_SPIKE
T2-H1-7c89b4a215cd,T2-H1-0f598fd08d5f;T2-H1-5e30bd66ffce,2,2,2,0.21181883118,0.605196660515,2.56247368418,ROBUST_PLATEAU
T2-H1-5e30bd66ffce,T2-H1-7c89b4a215cd,1,1,1,0.211677463511,0.604792752889,2.4624076182,LOCAL_SPIKE
