parameter,value,configurations,positive_C1_share,mean_expectancy_C1
adx_threshold,15,1,1,0.432872149378
adx_threshold,20,16,1,0.502532506427
adx_threshold,25,1,1,0.605196660515
adx_threshold,30,1,1,0.604792752889
confirmation_window,2,1,1,0.48746914515
confirmation_window,3,17,1,0.516263425305
confirmation_window,4,1,1,0.419434290286
ema_fast,15,1,1,0.568624374043
ema_fast,20,16,1,0.511948449829
ema_fast,25,1,1,0.448601414604
ema_fast,30,1,1,0.474980679709
ema_slow,150,1,1,0.51889811465
ema_slow,200,17,1,0.511112174276
ema_slow,250,1,1,0.475576588276
ema_trend,40,1,1,0.494134362178
ema_trend,50,17,1,0.512420517574
ema_trend,60,1,1,0.478098504687
impulse_distance_atr,0.3,1,1,0.454538757525
impulse_distance_atr,0.5,17,1,0.512619458755
impulse_distance_atr,0.7,1,1,0.514312109254
max_initial_stop_atr,2,1,1,0.642294949672
max_initial_stop_atr,2.5,1,1,0.575052042961
max_initial_stop_atr,3,17,1,0.498002039587
trailing_atr,2,1,1,0.215166517328
trailing_atr,3,17,1,0.508952280217
trailing_atr,4,1,1,0.8160263846
