trade_id,strategy,symbol,entry_price,initial_stop,initial_risk_points,tick_size,initial_risk_ticks,gross_R,cost_R_C05,cost_R_C1,cost_R_C2
CNY-000001,T1,CNY,10.87,10.80330006839504,0.0666999316049583,0.001,66.6999316049583,-0.8829433574636446,0.014992519121648734,0.029985038243297468,0.059970076486594935
CNY-000002,T1,CNY,10.81,10.879363090494229,0.0693630904942281,0.001,69.3630904942281,-0.0122797405981213,0.014416889340927115,0.02883377868185423,0.05766755736370846
CNY-000003,T1,CNY,10.83,10.877411736746144,0.0474117367461452,0.001,47.411736746145195,-1.0,0.02109182385269413,0.04218364770538826,0.08436729541077652
Si-000001,T1,Si,75.68,75.94685872126794,0.2668587212679369,0.001,266.8587212679369,1.1558877579375288,0.0037473011758756038,0.0074946023517512075,0.014989204703502415
Si-000002,T1,Si,76.54,76.93888738576888,0.398887385768873,0.001,398.887385768873,0.4571966719480593,0.0025069732352464742,0.0050139464704929484,0.010027892940985897
Si-000003,T1,Si,77.52,77.2379745034716,0.2820254965283908,0.001,282.0254965283908,-0.266237099129498,0.003545778705505559,0.007091557411011118,0.014183114822022235
Si-000004,T1,Si,81.49,81.92119984885002,0.4311998488500279,0.001,431.1998488500279,-0.7134510217837926,0.0023191102748920532,0.0046382205497841065,0.009276441099568213
CNY-000004,T1,CNY,11.81,11.766527825685664,0.0434721743143367,0.001,43.4721743143367,-0.7963318364018577,0.023003220238519556,0.04600644047703911,0.09201288095407822
Si-000005,T1,Si,79.59,80.17244848719267,0.5824484871926643,0.001,582.4484871926643,-1.0,0.0017168900288845915,0.003433780057769183,0.006867560115538366
Si-000006,T1,Si,90.34,89.99649627852122,0.3435037214787826,0.001,343.5037214787826,4.076125739294533,0.002911176611697255,0.00582235322339451,0.01164470644678902
Si-000007,T1,Si,94.92,94.30462996046003,0.615370039539954,0.001,615.370039539954,-1.0,0.0016250384902514795,0.003250076980502959,0.006500153961005918
CNY-000005,T1,CNY,13.24,13.184035914531778,0.0559640854682221,0.001,55.964085468222095,3.780244843519151,0.01786860254453415,0.0357372050890683,0.0714744101781366
Si-000008,T1,Si,92.26,92.63386311144453,0.373863111444507,0.001,373.863111444507,-0.288067232759476,0.0026747757919637154,0.005349551583927431,0.010699103167854862
CNY-000006,T1,CNY,12.635,12.68188072592488,0.0468807259248809,0.001,46.8807259248809,-0.1325811872864599,0.021330727719582353,0.042661455439164706,0.08532291087832941
CNY-000007,T1,CNY,12.664,12.617369416392789,0.0466305836072127,0.001,46.6305836072127,-1.0,0.02144515300137317,0.04289030600274634,0.08578061200549268
Si-000009,T1,Si,91.92,92.68928309872474,0.7692830987247419,0.001,769.2830987247419,-0.1949867353756372,0.001299911569170989,0.002599823138341978,0.005199646276683956
Si-000010,T1,Si,90.54,89.89828286948621,0.641717130513797,0.001,641.717130513797,-0.6419877490492721,0.0015583190045111316,0.003116638009022263,0.006233276018044526
CNY-000008,T1,CNY,12.778,12.815541484814908,0.0375414848149073,0.001,37.5414848149073,-0.9419274177267528,0.02663719895284779,0.05327439790569558,0.10654879581139116
CNY-000009,T1,CNY,12.602,12.647602695196667,0.045602695196667,0.001,45.602695196667,1.115398251660484,0.021928528471560335,0.04385705694312067,0.08771411388624134
CNY-000010,T1,CNY,11.885,11.966389702132306,0.0813897021323057,0.001,81.3897021323057,-1.0,0.012286566651569963,0.024573133303139927,0.049146266606279854
CNY-000011,T1,CNY,12.016,11.96683534673643,0.0491646532635705,0.001,49.1646532635705,-0.0455680491800517,0.02033981597793489,0.04067963195586978,0.08135926391173956
Si-000011,T1,Si,88.52,88.10984395719306,0.4101560428069319,0.001,410.1560428069319,-0.7494099672446974,0.0024380964697153533,0.0048761929394307065,0.009752385878861413
CNY-000012,T1,CNY,11.88,11.821116782597338,0.0588832174026627,0.001,58.8832174026627,-0.5329952279734794,0.016982767656218117,0.033965535312436235,0.06793107062487247
Si-000012,T1,Si,92.37,92.76714357149268,0.3971435714926628,0.001,397.1435714926628,0.4188468923210965,0.002517981082361483,0.005035962164722966,0.010071924329445932
CNY-000013,T1,CNY,13.172,13.235706247196818,0.0637062471968175,0.001,63.7062471968175,-1.0,0.015697047683731022,0.031394095367462044,0.06278819073492409
CNY-000014,T1,CNY,13.294,13.228260335684928,0.0657396643150729,0.001,65.7396643150729,-0.7796626919540907,0.015211516675948684,0.030423033351897368,0.060846066703794735
Si-000013,T1,Si,97.36,96.9611201163498,0.3988798836501956,0.001,398.8798836501956,-0.3106991590653298,0.002507020386309997,0.005014040772619994,0.010028081545239988
CNY-000015,T1,CNY,13.562,13.435406336985976,0.126593663014022,0.001,126.593663014022,-0.187654166793298,0.007899289555190737,0.015798579110381475,0.03159715822076295
Si-000001,T3,Si,74.79,74.3314168332497,0.4585831667503015,0.001,458.5831667503015,-1.0,0.002180629540081876,0.004361259080163752,0.008722518160327503
CNY-000001,T3,CNY,10.91,10.840843470834104,0.0691565291658946,0.001,69.1565291658946,-0.7135985217087382,0.014459950666424746,0.028919901332849492,0.057839802665698985
Si-000002,T3,Si,75.09,74.58622070383774,0.5037792961622642,0.001,503.77929616226425,-0.5561543978770446,0.00198499622278623,0.00396999244557246,0.00793998489114492
Si-000003,T3,Si,75.9,75.32331624930134,0.5766837506986633,0.001,576.6837506986633,-0.6034278324640183,0.001734052674084333,0.003468105348168666,0.006936210696337332
CNY-000002,T3,CNY,10.86,10.778872776066624,0.0811272239333753,0.001,81.1272239333753,-0.0109914578073008,0.012326318484917434,0.024652636969834867,0.049305273939669735
CNY-000003,T3,CNY,11.22,11.146921450293412,0.0730785497065884,0.001,73.0785497065884,-0.4701637589819495,0.013683905934299691,0.027367811868599382,0.054735623737198764
Si-000004,T3,Si,77.64,77.19720918215454,0.4427908178454629,0.001,442.7908178454629,-1.0,0.002258402748426023,0.004516805496852046,0.009033610993704092
CNY-000004,T3,CNY,11.44,11.364705779251551,0.0752942207484466,0.001,75.2942207484466,0.5661651235535263,0.013281231813805989,0.026562463627611978,0.053124927255223955
Si-000005,T3,Si,78.73,78.27483481739513,0.4551651826048726,0.001,455.1651826048726,0.7622843995333245,0.002197004600125789,0.004394009200251578,0.008788018400503157
CNY-000005,T3,CNY,11.6,11.531288363783355,0.0687116362166442,0.001,68.7116362166442,4.9243682992293305,0.014553575712373553,0.029107151424747107,0.058214302849494214
Si-000006,T3,Si,79.91,79.47609224728258,0.4339077527174169,0.001,433.9077527174169,5.228946514064601,0.0023046373191936294,0.004609274638387259,0.009218549276774518
Si-000007,T3,Si,82.34,81.70994630417908,0.6300536958209193,0.001,630.0536958209193,-0.5855232261516047,0.0015871663107968354,0.003174332621593671,0.006348665243187342
CNY-000006,T3,CNY,11.96,11.871098454026429,0.088901545973572,0.001,88.901545973572,-0.7571376002769914,0.011248398315787137,0.022496796631574275,0.04499359326314855
Si-000008,T3,Si,78.51,79.01627284037826,0.5062728403782586,0.001,506.2728403782586,2.3721779478135883,0.0019752195263977746,0.003950439052795549,0.007900878105591098
CNY-000007,T3,CNY,11.37,11.441204479027782,0.0712044790277826,0.001,71.2044790277826,2.507490506441367,0.014044060340780241,0.028088120681560483,0.056176241363120966
CNY-000008,T3,CNY,11.03,11.133048833123484,0.1030488331234842,0.001,103.0488331234842,0.5867486036364461,0.00970413705511534,0.01940827411023068,0.03881654822046136
Si-000009,T3,Si,76.46,77.15090931196661,0.690909311966621,0.001,690.909311966621,0.2214451079468177,0.0014473679579648099,0.0028947359159296198,0.0057894718318592395
Si-000010,T3,Si,80.21,79.54661484789396,0.6633851521060308,0.001,663.3851521060308,0.1653069577505515,0.0015074199306772654,0.0030148398613545307,0.0060296797227090615
Si-000011,T3,Si,81.23,80.8027519677035,0.4272480322965037,0.001,427.2480322965037,0.241428198486371,0.002340560808729518,0.004681121617459036,0.009362243234918072
CNY-000009,T3,CNY,11.77,11.68820969124187,0.0817903087581299,0.001,81.7903087581299,-0.2984340637906191,0.012226387394589713,0.024452774789179427,0.04890554957835885
Si-000012,T3,Si,84.32,83.78029444563143,0.5397055543685667,0.001,539.7055543685667,-0.2434331527349244,0.001852862161424221,0.003705724322848442,0.007411448645696884
CNY-000010,T3,CNY,11.8,11.729631173509564,0.0703688264904354,0.001,70.3688264904354,-0.9886676477946847,0.014210838092289645,0.02842167618457929,0.05684335236915858
