strategy,scenario,trades,PF_R,expectancy_R,net_R,average_cost_R_per_trade,median_cost_R_per_trade,max_DD_R
T1,C0,28,0.8164931089855454,-0.08832437439659309,-2.4730824831046063,0.0,0.0,-6.271294440426965
T1,C0.5,28,0.7978130439430455,-0.09912794726340257,-2.775582523375272,0.010803572866809516,0.01009292810338035,-6.464049157076954
T1,C1,28,0.779803859507831,-0.10993152013021217,-3.078082563645941,0.02160714573361903,0.0201858562067607,-6.656803873726944
T1,C2,28,0.7456585793446828,-0.13153866586383117,-3.6830826441872726,0.04321429146723806,0.0403717124135214,-7.042313307026925
T3,C0,109,2.1049567258779187,0.47802307756209034,52.10451545426785,0.0,0.0,-16.198643184283156
T3,C0.5,109,2.0773673327562854,0.47073301758668196,51.309898916948335,0.007290059975408248,0.0025374971654157,-16.49127337682922
T3,C1,109,2.050317167764735,0.46344295761127374,50.515282379628836,0.01458011995081654,0.0050749943308315,-16.783903569375298
T3,C2,109,1.9977724998693325,0.44886283766045715,48.92604930498983,0.029160239901633137,0.0101499886616631,-17.369163954467428
