strategy,mean,p10,p25,p50,p75,p90,minimum,maximum,status
T1,243.44214981269556,46.32221708404899,54.264227417059196,103.99168257316384,398.88175917986496,592.3249528968512,37.5414848149073,769.2830987247419,OK
T3,358.920201298773,55.12831642382492,75.2942207484466,394.0891101788253,547.9056788416301,700.5670553457236,36.9988860772014,1141.0044173193512,OK
