strategy,timeframe,lifecycle_stage,v2_futures_type,v3_futures_type,v2_instruments,v2_months_observed,v2_total_net_R,v2_positive_month_share,v2_mean_monthly_R,v2_median_monthly_R,v2_monthly_R_std,v2_worst_month_R,v2_monthly_equity_max_drawdown_R,v2_longest_negative_month_streak,v2_loss_rescue_share,v2_all_negative_months,v3_instruments,v3_months_observed,v3_total_net_R,v3_positive_month_share,v3_mean_monthly_R,v3_median_monthly_R,v3_monthly_R_std,v3_worst_month_R,v3_monthly_equity_max_drawdown_R,v3_longest_negative_month_streak,v3_loss_rescue_share,v3_all_negative_months,comparability
T2,M30,baseline,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,60,179.500078995,0.616666666667,2.99166798325,2.67023059759,8.16040173536,-11.9565835251,-21.4314772188,4,0.603448275862,1,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,24,96.9116378452,0.666666666667,4.03798491022,4.13558892908,6.69329571558,-4.47767707812,-9.09179239732,3,0.578947368421,3,PARTIALLY_COMPARABLE
T2,H1,baseline,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,60,194.368185188,0.616666666667,3.23946975313,1.57954405381,7.01909660855,-8.88193544805,-14.7571570356,5,0.616666666667,1,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,24,80.4868887521,0.583333333333,3.35362036467,1.05728259447,7.02753222017,-4.43060922523,-5.84565405439,3,0.444444444444,3,PARTIALLY_COMPARABLE
T3,M30,baseline,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,60,257.573978294,0.683333333333,4.29289963823,2.75187082701,8.09737040238,-9.50972968452,-19.4247216917,3,0.672413793103,0,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,24,130.435244894,0.833333333333,5.43480187058,4.57471724335,7.79897637503,-8.98726102617,-8.98726102617,1,0.777777777778,1,PARTIALLY_COMPARABLE
T3,H1,baseline,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,59,151.550692518,0.593220338983,2.56865580539,0.963942675299,6.83447492488,-11.101405783,-13.2699644364,5,0.555555555556,0,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,23,82.173218162,0.652173913043,3.57274861574,1.29002992249,6.51403464164,-2.95461926846,-6.11546446559,2,0.555555555556,3,PARTIALLY_COMPARABLE
T2,M30,walk_forward,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,12,14.0841726476,0.583333333333,1.17368105397,1.84906859525,5.49193459859,-12.9234614551,-12.9234614551,2,0.583333333333,0,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,12,61.3976206196,0.666666666667,5.11646838497,2.88572952122,7.15800801022,-1.88890061675,-2.27832180193,2,0.636363636364,0,PARTIALLY_COMPARABLE
T2,H1,walk_forward,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,12,33.525522037,0.75,2.79379350308,1.55569137228,5.88138773483,-4.75919348381,-4.75919348381,1,0.75,0,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,12,48.306567917,0.75,4.02554732641,1.65181165775,7.90335159476,-4.43060922523,-4.43060922523,1,0.625,0,PARTIALLY_COMPARABLE
T3,M30,walk_forward,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,12,29.5074559539,0.583333333333,2.45895466282,1.58524543829,7.40004049342,-7.91709200678,-10.0636169366,2,0.583333333333,0,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,12,46.6658745082,0.833333333333,3.88882287568,1.54932078299,10.4608738001,-9.98676947601,-15.5872406443,1,0.8,1,PARTIALLY_COMPARABLE
T3,H1,walk_forward,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,8,29.0909635943,0.5,3.63637044929,3.00319463905,7.93721647044,-4.94250935817,-4.94250935817,1,0.5,0,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,8,38.2931490927,0.75,4.78664363659,3.30899851042,6.42467403571,-1.61593806101,-1.61593806101,1,0.75,0,PARTIALLY_COMPARABLE
T2,M30,true_oos,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,21,140.011328726,0.571428571429,6.66720612983,1.58981229154,20.6822024443,-10.4861279919,-10.9827410691,2,0.571428571429,0,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,21,33.1829893298,0.428571428571,1.58014234904,-0.962518435596,8.07645520504,-11.1034642053,-21.4345141314,3,0.368421052632,2,PARTIALLY_COMPARABLE
T2,H1,true_oos,quarterly,perpetual,Si|CNY|GD|BR|MIX|NG,21,38.732434746,0.47619047619,1.84440165457,-0.289177875372,6.622016515,-5.3157243642,-18.8940848389,6,0.47619047619,0,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,21,65.5357324264,0.619047619048,3.12074916316,1.63766454159,7.20255279991,-5.88375222121,-6.17560553962,3,0.6,1,PARTIALLY_COMPARABLE
