generation,futures_type,lifecycle_stage,strategy,timeframe,YYYY-MM,active_instruments,trading_instruments,total_trades,portfolio_net_R,positive_instruments,negative_instruments,zero_instruments,best_instrument,best_instrument_R,worst_instrument,worst_instrument_R,max_single_instrument_positive_contribution,max_single_instrument_negative_contribution,same_sign_loss_count,same_sign_gain_count
v2,quarterly,baseline,T2,M30,2020-01,4,4,6,-3.06387495154,1,3,0,GD,0.16123538776,BR,-1.29305867038,0.16123538776,-1.29305867038,0,0
v2,quarterly,baseline,T2,M30,2020-02,5,5,16,13.0859771208,4,1,0,MIX,5.94453082293,NG,-1.00548548845,5.94453082293,-1.00548548845,0,0
v2,quarterly,baseline,T2,M30,2020-03,5,5,17,5.87169774127,2,3,0,BR,10.1958730286,GD,-1.80350558544,10.1958730286,-1.80350558544,0,0
v2,quarterly,baseline,T2,M30,2020-04,5,5,31,-11.2473787795,1,4,0,BR,1.42180008056,GD,-4.58040093764,1.42180008056,-4.58040093764,0,0
v2,quarterly,baseline,T2,M30,2020-05,5,5,16,17.4342444616,5,0,0,BR,12.1874886094,GD,0.714939736276,12.1874886094,0,0,5
v2,quarterly,baseline,T2,M30,2020-06,5,5,15,6.02526071267,3,2,0,GD,6.33498246711,MIX,-1.09416490319,6.33498246711,-1.09416490319,0,0
v2,quarterly,baseline,T2,M30,2020-07,5,5,21,14.7490283881,4,1,0,MIX,9.2296608433,BR,-2.06614406106,9.2296608433,-2.06614406106,0,0
v2,quarterly,baseline,T2,M30,2020-08,5,4,24,-6.77128802717,1,3,1,MIX,0.827193019197,GD,-4.14009278667,0.827193019197,-4.14009278667,0,0
v2,quarterly,baseline,T2,M30,2020-09,5,5,26,-6.02989596021,1,4,0,GD,5.35084526386,Si,-4.45592031771,5.35084526386,-4.45592031771,0,0
v2,quarterly,baseline,T2,M30,2020-10,5,5,18,-8.63029323145,0,5,0,BR,-1.53608332861,Si,-2.01851026518,0,-2.01851026518,5,0
v2,quarterly,baseline,T2,M30,2020-11,5,5,17,13.2413389396,3,2,0,MIX,6.57241366827,Si,-1.47015710137,6.57241366827,-1.47015710137,0,0
v2,quarterly,baseline,T2,M30,2020-12,5,5,18,0.704526064104,2,3,0,MIX,6.46099821681,Si,-2.5277095264,6.46099821681,-2.5277095264,0,0
v2,quarterly,baseline,T2,M30,2021-01,5,5,15,5.30982433434,3,2,0,MIX,4.32051702348,Si,-1.26173962151,4.32051702348,-1.26173962151,0,0
v2,quarterly,baseline,T2,M30,2021-02,5,5,20,2.7048552354,4,1,0,NG,1.47157348866,BR,-0.910025217646,1.47157348866,-0.910025217646,0,0
v2,quarterly,baseline,T2,M30,2021-03,5,5,23,14.5655195009,3,2,0,BR,7.63587521208,GD,-1.5597617326,7.63587521208,-1.5597617326,0,0
