generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_a,instrument_b,overlapping_months,pearson_monthly_R,covariance_monthly_R,same_sign_months,opposite_sign_months,same_sign_share,opposite_sign_share,both_negative_months,both_positive_months,sample_flag
v2,quarterly,true_oos,T3,H1,CNY,MIX,19,0.219657744642,1.20903706339,9,4,0.473684210526,0.210526315789,4,5,ADEQUATE
v2,quarterly,true_oos,T3,H1,CNY,NG,19,-0.208586820651,-1.08891582901,3,11,0.157894736842,0.578947368421,2,0,ADEQUATE
v2,quarterly,true_oos,T3,H1,CNY,Si,19,0.301933620813,2.43972075534,13,2,0.684210526316,0.105263157895,7,6,ADEQUATE
v2,quarterly,true_oos,T3,H1,GD,MIX,19,-0.0213484395537,-0.165748795104,9,5,0.473684210526,0.263157894737,5,4,ADEQUATE
v2,quarterly,true_oos,T3,H1,GD,NG,19,-0.442379840894,-3.25757125493,6,7,0.315789473684,0.368421052632,5,1,ADEQUATE
v2,quarterly,true_oos,T3,H1,GD,Si,19,0.391300124165,4.45994785428,13,3,0.684210526316,0.157894736842,8,5,ADEQUATE
v2,quarterly,true_oos,T3,H1,MIX,NG,20,-0.13650797947,-0.610186145286,7,10,0.35,0.5,4,2,ADEQUATE
v2,quarterly,true_oos,T3,H1,MIX,Si,20,-0.151036641255,-0.793813394377,8,10,0.4,0.5,4,4,ADEQUATE
v2,quarterly,true_oos,T3,H1,NG,Si,20,-0.182375191464,-1.18276469169,5,12,0.25,0.6,4,1,ADEQUATE
v3,perpetual,baseline,T2,M30,CNYRUBF,GLDRUBF,18,-0.0371426922668,-0.263780265546,9,9,0.5,0.5,3,6,ADEQUATE
v3,perpetual,baseline,T2,M30,CNYRUBF,IMOEXF,14,-0.422503220931,-2.54149802667,6,8,0.428571428571,0.571428571429,1,5,ADEQUATE
v3,perpetual,baseline,T2,M30,CNYRUBF,USDRUBF,24,0.125048812401,1.26145187207,15,9,0.625,0.375,5,10,ADEQUATE
v3,perpetual,baseline,T2,M30,GLDRUBF,IMOEXF,14,0.391756549953,3.65011647502,6,8,0.428571428571,0.571428571429,1,5,ADEQUATE
v3,perpetual,baseline,T2,M30,GLDRUBF,USDRUBF,18,0.215219626304,2.52893523354,9,9,0.5,0.5,3,6,ADEQUATE
v3,perpetual,baseline,T2,M30,IMOEXF,USDRUBF,14,0.0965031147173,1.14320548961,9,5,0.642857142857,0.357142857143,2,7,ADEQUATE
v3,perpetual,baseline,T2,H1,CNYRUBF,GLDRUBF,17,0.311637545256,1.89729427238,9,6,0.529411764706,0.352941176471,4,5,ADEQUATE
v3,perpetual,baseline,T2,H1,CNYRUBF,IMOEXF,13,0.00250338348764,0.0119363695472,5,7,0.384615384615,0.538461538462,2,3,ADEQUATE
v3,perpetual,baseline,T2,H1,CNYRUBF,USDRUBF,23,0.170760476586,2.09703553204,14,5,0.608695652174,0.217391304348,7,7,ADEQUATE
v3,perpetual,baseline,T2,H1,GLDRUBF,IMOEXF,13,0.011841368377,0.0378310607561,6,7,0.461538461538,0.538461538462,1,5,ADEQUATE
v3,perpetual,baseline,T2,H1,GLDRUBF,USDRUBF,17,-0.0834096051921,-1.34090793005,7,9,0.411764705882,0.529411764706,2,4,ADEQUATE
v3,perpetual,baseline,T2,H1,IMOEXF,USDRUBF,13,0.226506201699,3.74206561196,9,3,0.692307692308,0.230769230769,4,5,ADEQUATE
v3,perpetual,baseline,T3,M30,CNYRUBF,GLDRUBF,17,0.252706169642,3.65133098785,6,11,0.352941176471,0.647058823529,2,4,ADEQUATE
v3,perpetual,baseline,T3,M30,CNYRUBF,IMOEXF,13,0.0134233748625,0.16682055543,6,7,0.461538461538,0.538461538462,1,5,ADEQUATE
v3,perpetual,baseline,T3,M30,CNYRUBF,USDRUBF,24,0.443282451016,5.1177064832,14,10,0.583333333333,0.416666666667,3,11,ADEQUATE
v3,perpetual,baseline,T3,M30,GLDRUBF,IMOEXF,13,0.116963024744,1.3982460757,6,7,0.461538461538,0.538461538462,1,5,ADEQUATE
v3,perpetual,baseline,T3,M30,GLDRUBF,USDRUBF,17,0.0661278835033,0.830264769748,13,4,0.764705882353,0.235294117647,3,10,ADEQUATE
v3,perpetual,baseline,T3,M30,IMOEXF,USDRUBF,13,0.448384897072,3.73477765337,9,4,0.692307692308,0.307692307692,1,8,ADEQUATE
v3,perpetual,baseline,T3,H1,CNYRUBF,GLDRUBF,16,0.0256022351259,0.259997895952,6,8,0.375,0.5,3,2,ADEQUATE
v3,perpetual,baseline,T3,H1,CNYRUBF,IMOEXF,12,0.0708089337195,0.625605813902,5,5,0.416666666667,0.416666666667,1,4,ADEQUATE
v3,perpetual,baseline,T3,H1,CNYRUBF,USDRUBF,23,0.558053266256,5.58783026455,12,10,0.521739130435,0.434782608696,5,6,ADEQUATE
v3,perpetual,baseline,T3,H1,GLDRUBF,IMOEXF,12,-0.157031328935,-0.852977141284,4,7,0.333333333333,0.583333333333,2,2,ADEQUATE
v3,perpetual,baseline,T3,H1,GLDRUBF,USDRUBF,16,0.181954192103,1.08805255515,11,4,0.6875,0.25,5,5,ADEQUATE
v3,perpetual,baseline,T3,H1,IMOEXF,USDRUBF,12,0.151185010204,0.782826203628,7,4,0.583333333333,0.333333333333,3,4,ADEQUATE
