generation,futures_type,lifecycle_stage,strategy,timeframe,YYYY-MM,instrument,coverage_start_date,instrument_available,partial_coverage_month,coverage_status,trades,net_R,positive_month,negative_month,zero_month
v2,quarterly,baseline,T2,M30,2020-08,GD,2020-01-01,true,false,AVAILABLE,7,-4.14009278667,false,true,false
v2,quarterly,baseline,T2,M30,2020-08,BR,2020-01-01,true,false,NO_TRADES,0,0,false,false,true
v2,quarterly,baseline,T2,M30,2020-08,MIX,2020-01-01,true,false,AVAILABLE,6,0.827193019197,true,false,false
v2,quarterly,baseline,T2,M30,2020-08,NG,2020-02-03,true,false,AVAILABLE,7,-0.413845079216,false,true,false
v2,quarterly,baseline,T2,M30,2020-09,Si,2020-01-01,true,false,AVAILABLE,5,-4.45592031771,false,true,false
v2,quarterly,baseline,T2,M30,2020-09,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-09,GD,2020-01-01,true,false,AVAILABLE,5,5.35084526386,true,false,false
v2,quarterly,baseline,T2,M30,2020-09,BR,2020-01-01,true,false,AVAILABLE,6,-2.83889254734,false,true,false
v2,quarterly,baseline,T2,M30,2020-09,MIX,2020-01-01,true,false,AVAILABLE,4,-1.42953572683,false,true,false
v2,quarterly,baseline,T2,M30,2020-09,NG,2020-02-03,true,false,AVAILABLE,6,-2.65639263219,false,true,false
v2,quarterly,baseline,T2,M30,2020-10,Si,2020-01-01,true,false,AVAILABLE,8,-2.01851026518,false,true,false
v2,quarterly,baseline,T2,M30,2020-10,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-10,GD,2020-01-01,true,false,AVAILABLE,2,-1.74499032203,false,true,false
v2,quarterly,baseline,T2,M30,2020-10,BR,2020-01-01,true,false,AVAILABLE,2,-1.53608332861,false,true,false
v2,quarterly,baseline,T2,M30,2020-10,MIX,2020-01-01,true,false,AVAILABLE,2,-1.56110929831,false,true,false
v2,quarterly,baseline,T2,M30,2020-10,NG,2020-02-03,true,false,AVAILABLE,4,-1.76960001732,false,true,false
