generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,months_observed,months_with_trades,total_trades,total_net_R,PF,expectancy_R,positive_months,negative_months,positive_month_share,mean_monthly_R,median_monthly_R,monthly_R_std,best_month_R,worst_month_R,longest_negative_month_streak,contribution_to_portfolio_total_R,contribution_to_positive_R,contribution_to_negative_R,share_of_portfolio_losses,number_of_months_in_which_instrument_was_worst,number_of_months_in_which_instrument_was_best
v2,quarterly,true_oos,T3,H1,Si,20,20,53,19.9543328006,2.03059684534,0.376496845294,9,11,0.45,0.99771664003,-0.250692294182,2.76141827692,9.78191864721,-1.62781463209,5,0.310161646922,0.303346501054,0.290438907532,0.114918755483,3,3
v2,quarterly,true_oos,T3,H1,CNY,20,15,51,12.9080765721,1.5146533175,0.253099540629,7,8,0.35,0.645403828604,0,2.79616686949,8.42379829963,-2.98991559929,5,0.200637642371,0.254983193863,0.357911333915,0.141615754639,3,3
v2,quarterly,true_oos,T3,H1,GD,20,16,60,9.98324390325,1.30399462582,0.166387398388,6,10,0.3,0.499162195163,-0.098683061373,3.94008438899,11.4258768859,-6.47973911248,2,0.155175289577,0.299290338368,0.572238050156,0.226418991597,5,2
v2,quarterly,true_oos,T3,H1,BR,20,18,63,15.0463714746,1.49254760743,0.238831293247,7,11,0.35,0.752318573728,-0.284336083275,3.48567569058,9.84875663375,-4.53823897091,4,0.233874387251,0.326454349116,0.501796820011,0.198547317751,2,6
v2,quarterly,true_oos,T3,H1,MIX,20,18,58,-1.48460886357,0.948262767072,-0.0255967045443,9,9,0.45,-0.0742304431785,0,1.90328536624,3.77005619877,-3.45815163511,3,-0.023076127614,0.13809365455,0.443342298741,0.175418457731,4,2
v2,quarterly,true_oos,T3,H1,NG,20,17,42,7.92785250827,1.36824056132,0.188758393054,6,11,0.3,0.396392625414,-0.300638786544,2.34855316291,6.94796355923,-2.92439704212,3,0.123227161494,0.20560110251,0.361613808329,0.143080722799,3,4
v3,perpetual,baseline,T2,M30,USDRUBF,24,24,114,36.876023063,1.74428515036,0.323473886517,14,10,0.583333333333,1.53650096096,0.510918925972,4.05544726856,12.5912113007,-3.72888852856,3,0.380511813471,0.460804601627,0.791744745861,0.324720585997,8,9
v3,perpetual,baseline,T2,M30,CNYRUBF,24,24,94,19.6990374886,1.48205022306,0.209564228602,15,9,0.625,0.820793228693,0.684620030841,2.48743851891,5.84690807609,-4.21782128928,2,0.203268027727,0.282977093303,0.611511327378,0.250800927456,6,8
v3,perpetual,baseline,T2,M30,GLDRUBF,18,18,86,14.0484750416,1.37134472412,0.163354360949,9,9,0.5,0.780470835645,0.0261390957295,3.08489907265,6.73647181017,-2.98806209101,2,0.144961692465,0.257415243282,0.720911345262,0.295669476443,9,3
v3,perpetual,baseline,T2,M30,IMOEXF,14,14,72,26.288102252,1.82758973372,0.365112531278,10,4,0.714285714286,1.87772158943,2.42020997719,2.88709089469,6.9189295081,-2.3167691024,3,0.271258466336,0.279616688336,0.314066497064,0.128809010103,1,4
v3,perpetual,baseline,T2,H1,USDRUBF,24,21,53,38.7344649929,2.7626567825,0.730838962131,11,10,0.458333333333,1.61393604137,0,5.16229395604,23.9789058939,-1.58672165566,3,0.481251860936,0.488157408824,0.516830874964,0.276099088108,6,8
v3,perpetual,baseline,T2,H1,CNYRUBF,24,22,47,14.7120219567,1.73892751333,0.31302174376,9,13,0.375,0.613000914863,-0.20331429455,2.30748106692,4.66148629012,-2.42363017969,3,0.182787807863,0.288535049655,0.727622578404,0.388707293074,12,7
v3,perpetual,baseline,T2,H1,GLDRUBF,18,16,47,14.5354572799,1.80729106472,0.309265048509,10,6,0.555555555556,0.807525404441,0.30432575119,2.58830705287,9.95483198329,-2.16269826094,2,0.180594100546,0.207121872374,0.317271447697,0.169491339692,4,5
v3,perpetual,baseline,T2,H1,IMOEXF,14,13,29,12.5049445225,2.15079884047,0.431204983536,8,5,0.571428571429,0.893210323039,0.610283352932,2.34773437766,6.82405625028,-2.67510625101,4,0.155366230655,0.185413855414,0.310178691609,0.165702279125,2,4
v3,perpetual,baseline,T3,M30,USDRUBF,24,24,122,64.3068456211,2.42630985205,0.527105291976,20,4,0.833333333333,2.67945190088,2.01376576851,3.05906117975,9.58446207309,-2.41659146903,1,0.493017402416,0.468350910073,0.300954994568,0.125619507268,3,11
v3,perpetual,baseline,T3,M30,CNYRUBF,24,24,119,25.5929295381,1.45490229933,0.215066634774,12,12,0.5,1.06637206409,0.0849020356955,3.77404151242,9.62645649847,-5.30877145858,3,0.196211764381,0.298892792186,0.995724121714,0.415618201399,11,6
v3,perpetual,baseline,T3,M30,GLDRUBF,18,17,94,13.7801310255,1.31146663463,0.146597138569,10,7,0.555555555556,0.765562834751,0.379177664711,3.72800132592,10.2989007998,-5.2589281867,2,0.105647296762,0.204953391354,0.878881179223,0.366847610685,6,4
v3,perpetual,baseline,T3,M30,IMOEXF,14,13,63,26.7553387091,2.11576226631,0.424687916018,10,3,0.714285714286,1.91109562208,0.924858571087,2.85643754621,7.37973158772,-2.04844381561,1,0.205123536441,0.20706058403,0.220206103467,0.0919146806472,4,3
v3,perpetual,baseline,T3,H1,USDRUBF,23,22,64,27.7780237436,2.19561272857,0.434031620993,13,9,0.565217391304,1.20774016276,0.74370486259,2.7087878851,6.83311140798,-2.18318094409,2,0.338042300945,0.40616721318,0.750877298122,0.363557991358,7,7
v3,perpetual,baseline,T3,H1,CNYRUBF,23,21,52,26.6944517108,2.11808286388,0.513354840593,10,11,0.434782608696,1.16062833525,0,3.69651568015,15.0918375114,-2.83525573256,6,0.324855863113,0.39505437488,0.750256813463,0.363257566566,10,6
v3,perpetual,baseline,T3,H1,GLDRUBF,18,14,41,13.9365869262,2.06392794434,0.339916754296,6,8,0.333333333333,0.774254829231,0,2.3072529995,6.41788781819,-1.65873334217,3,0.169600111057,0.196097322336,0.330172444805,0.159862112139,3,6
v3,perpetual,baseline,T3,H1,IMOEXF,14,12,27,13.7641557815,2.54740564919,0.509783547462,7,5,0.5,0.983153984391,0.74715286674,1.85900649396,4.90675221839,-2.0004639751,4,0.167501724885,0.178483530157,0.234051147114,0.113322329937,3,4
v3,perpetual,walk_forward,T2,M30,USDRUBF,12,12,48,22.9135864875,2.10537164366,0.477366385156,8,4,0.666666666667,1.90946554062,1.41184834856,4.32209210625,12.4070901558,-3.02416706705,2,0.373199909968,0.472531011017,2.0991907311,0.260608939153,2,5
v3,perpetual,walk_forward,T2,M30,CNYRUBF,12,12,42,-3.36370960406,0.840780498736,-0.0800883239062,6,6,0.5,-0.280309133672,0.0840907680505,1.63806974524,1.36821554858,-4.21782128928,3,-0.0547856671011,0.0910915732238,2.47999724736,0.307885054064,4,1
v3,perpetual,walk_forward,T2,M30,GLDRUBF,12,12,49,15.0185447965,1.67808705868,0.306500914215,6,6,0.5,1.25154539971,0.165614742922,3.1343141452,6.73647181017,-2.35386695463,2,0.244611185987,0.357229579046,2.20148381357,0.273308352936,3,3
v3,perpetual,walk_forward,T2,M30,IMOEXF,12,12,54,26.8291989396,2.17734854541,0.496837017401,9,3,0.75,2.2357665783,2.49805867253,2.89129718841,7.46788872865,-1.94681440926,1,0.436974571146,0.485161280626,1.27427343711,0.158197653846,3,3
v3,perpetual,walk_forward,T2,H1,USDRUBF,12,10,24,24.8675297733,3.60731945789,1.03614707389,6,4,0.5,2.07229414777,0.0341479600963,6.97718785227,23.9789058939,-1.58672165566,2,0.514785687446,0.516534761149,0.529972548971,0.247585680468,2,3
v3,perpetual,walk_forward,T2,H1,CNYRUBF,12,10,17,10.4712291173,2.98575160524,0.615954653962,7,3,0.583333333333,0.872602426446,0.405442109911,1.63855036305,4.66148629012,-1.05519075196,1,0.216766157665,0.228076667031,0.314973076706,0.147145024166,3,3
v3,perpetual,walk_forward,T2,H1,GLDRUBF,12,10,24,-0.316717361884,0.974176663187,-0.0131965567452,5,5,0.416666666667,-0.0263931134903,0,1.24025573856,1.8827162213,-2.16269826094,2,-0.00655640372606,0.100587920577,0.923756603583,0.431548591959,5,1
v3,perpetual,walk_forward,T2,H1,IMOEXF,12,10,20,13.2845263882,2.90350425721,0.66422631941,7,3,0.583333333333,1.10704386568,0.610290493384,1.83526995405,5.10841310731,-1.00006607866,2,0.275004558615,0.286159414721,0.37185997114,0.173720703407,2,5
v3,perpetual,walk_forward,T3,M30,USDRUBF,12,12,42,13.7022379297,1.7632770654,0.326243760231,8,4,0.666666666667,1.14185316081,0.794243698136,3.4974217449,8.08808052959,-3.4752220837,2,0.29362436843,0.34569319797,0.48442065568,0.238605767299,2,2
v3,perpetual,walk_forward,T3,M30,CNYRUBF,12,11,43,8.28497826791,1.35462665454,0.192673913207,5,6,0.416666666667,0.690414855659,-0.38684508345,4.20137914294,10.2933432909,-5.24964929374,3,0.177538262279,0.348846833449,0.805265822937,0.396640951018,5,4
v3,perpetual,walk_forward,T3,M30,GLDRUBF,12,11,43,6.07178691064,1.30287321179,0.141204346759,6,5,0.5,0.505982242553,0.264990096211,3.08435873801,6.53480756637,-5.2589281867,2,0.130111928141,0.247463892161,0.560125800823,0.275895020005,3,2
v3,perpetual,walk_forward,T3,M30,IMOEXF,12,11,43,18.6068713999,2.13934767108,0.432717939533,7,4,0.583333333333,1.55057261666,1.25232623622,2.26608847963,5.55965932533,-1.25186682666,1,0.39872544115,0.339144169734,0.180401244578,0.0888582616774,2,4
