generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,total_net_R,positive_R_contribution,negative_R_contribution,worst_month_R,monthly_equity_drawdown_contribution,months_contributing_to_portfolio_drawdown,months_offsetting_portfolio_loss,offset_R_during_other_instrument_losses
v2,quarterly,walk_forward,T3,H1,CNY,17.4769559152,24.5635416518,-7.08658573657,-2.79466687934,-7.08658573657,4,0,0
v2,quarterly,walk_forward,T3,H1,GD,3.25529177797,7.06368888103,-3.80839710306,-2.00041665661,-1.00022435685,1,1,7.04333370194
v2,quarterly,walk_forward,T3,H1,BR,-1.95290132581,1.59892919375,-3.55183051956,-3.10554537355,-3.55183051956,2,0,0
v2,quarterly,walk_forward,T3,H1,MIX,9.5706963825,10.0609989122,-0.490302529723,-0.490302529723,3.09844511735,0,3,3.09844511735
v2,quarterly,walk_forward,T3,H1,NG,-7.05575526148,4.20513458666,-11.2608898481,-3.31978508186,-2.21107490124,2,2,3.67337033624
v2,quarterly,true_oos,T2,M30,Si,29.6960830685,46.377771674,-16.6816886055,-2.9741741642,-2.14061824005,10,5,38.1789559781
v2,quarterly,true_oos,T2,M30,CNY,-13.1330483326,9.85398990924,-22.9870382418,-3.07201571044,-11.6573038599,11,2,6.27742360066
v2,quarterly,true_oos,T2,M30,GD,105.774063445,124.655832144,-18.8817686992,-3.20546011832,-3.16774891554,9,3,98.4343609458
v2,quarterly,true_oos,T2,M30,BR,9.43464816726,22.6024682589,-13.1678200917,-2.29330065984,-3.22805523419,8,3,12.3288229613
v2,quarterly,true_oos,T2,M30,MIX,3.51439477544,23.0177798945,-19.5033851191,-4.11030440377,6.73800726836,8,5,12.9696359071
v2,quarterly,true_oos,T2,M30,NG,4.72518760305,27.3143644767,-22.5891768736,-4.15267621069,-13.1570701798,8,3,4.62110116246
v2,quarterly,true_oos,T2,H1,Si,21.9404984704,32.8136725362,-10.8731740658,-2.7384577864,2.25636575645,7,1,5.29245974647
v2,quarterly,true_oos,T2,H1,CNY,-3.45167247899,15.1055224723,-18.5571949513,-3.10428712441,-6.98711887759,11,0,0
v2,quarterly,true_oos,T2,H1,GD,21.2495728232,34.4681598268,-13.2185870036,-5.83438308724,3.35269293482,6,3,5.65978942324
v2,quarterly,true_oos,T2,H1,BR,13.3486280406,22.6852812673,-9.33665322671,-2.36260499568,3.88922957069,8,5,12.0869189074
v2,quarterly,true_oos,T2,H1,MIX,-7.08929275863,7.12160130355,-14.2108940622,-2.35146967045,-8.33227336521,10,2,1.60230027099
v2,quarterly,true_oos,T2,H1,NG,-7.2652993506,10.8103552019,-18.0756545525,-5.72531307471,-9.77000818754,9,5,5.01752870828
v2,quarterly,true_oos,T3,M30,Si,43.2095577297,53.5366152082,-10.3270574786,-1.74464845238,0.741449465397,5,2,8.91058331022
v2,quarterly,true_oos,T3,M30,CNY,25.0591013172,49.5411579383,-24.4820566211,-5.8781565416,-9.27635478321,4,3,6.27415560072
v2,quarterly,true_oos,T3,M30,GD,28.6553701066,50.6568203112,-22.0014502047,-6.16038374503,-7.00500520332,4,3,7.1756266908
v2,quarterly,true_oos,T3,M30,BR,36.8571536176,60.9550788925,-24.0979252748,-5.1171060388,-16.2806977634,6,3,22.9134627471
v2,quarterly,true_oos,T3,M30,MIX,27.8966176909,44.1871270468,-16.290509356,-3.8895726868,-3.2480800427,4,3,8.12191620332
v2,quarterly,true_oos,T3,M30,NG,-5.9275138932,22.7194014761,-28.6469153693,-5.66451695239,3.31297255081,3,2,7.70172244157
v2,quarterly,true_oos,T3,H1,Si,19.9543328006,29.8201664154,-9.86583361481,-1.62781463209,-3.80786124838,7,3,4.89176521328
v2,quarterly,true_oos,T3,H1,CNY,12.9080765721,25.0658611446,-12.1577845726,-2.98991559929,-5.85704933122,5,3,7.71185360074
v2,quarterly,true_oos,T3,H1,GD,9.98324390325,29.4214295061,-19.4381856028,-6.47973911248,-7.48228144093,6,0,0
v2,quarterly,true_oos,T3,H1,BR,15.0463714746,32.0917597,-17.0453882255,-4.53823897091,-5.41397806695,6,3,10.6225366057
v2,quarterly,true_oos,T3,H1,MIX,-1.48460886357,13.5751549641,-15.0597638276,-3.45815163511,-7.91105551388,5,4,8.68726393328
v2,quarterly,true_oos,T3,H1,NG,7.92785250827,20.2114053425,-12.2835528342,-2.92439704212,2.80087232968,4,3,6.9858860105
v3,perpetual,baseline,T2,M30,USDRUBF,36.876023063,55.4921019457,-18.6160788827,-3.72888852856,-12.7973681347,7,3,7.61051632014
v3,perpetual,baseline,T2,M30,CNYRUBF,19.6990374886,34.0773370197,-14.3782995311,-4.21782128928,-8.13952259422,7,5,13.2782538381
v3,perpetual,baseline,T2,M30,GLDRUBF,14.0484750416,30.9990674402,-16.9505923986,-2.98806209101,-2.98131436284,4,2,4.18709909171
v3,perpetual,baseline,T2,M30,IMOEXF,26.288102252,33.6726623824,-7.38456013042,-2.3167691024,9.88626853524,2,3,13.8105377324
v3,perpetual,baseline,T2,H1,USDRUBF,38.7344649929,48.7527074092,-10.0182424163,-1.58672165566,-7.54620852043,9,1,1.95611247845
v3,perpetual,baseline,T2,H1,CNYRUBF,14.7120219567,28.8162477898,-14.1042258331,-2.42363017969,-7.64928918521,9,2,4.74523641316
v3,perpetual,baseline,T2,H1,GLDRUBF,14.5354572799,20.6854425629,-6.14998528294,-2.16269826094,3.35347486013,3,4,5.54528723466
v3,perpetual,baseline,T2,H1,IMOEXF,12.5049445225,18.5174439212,-6.01249939862,-2.67510625101,-0.651120098661,4,3,8.04462295614
v3,perpetual,baseline,T3,M30,USDRUBF,64.3068456211,70.0912554038,-5.78440978272,-2.41659146903,-5.26571964498,4,6,23.5892062115
v3,perpetual,baseline,T3,M30,CNYRUBF,25.5929295381,44.7309284233,-19.1379988852,-5.30877145858,-6.72238367476,4,1,1.9842246136
v3,perpetual,baseline,T3,M30,GLDRUBF,13.7801310255,30.6723872854,-16.8922562599,-5.2589281867,-8.27476137603,3,1,1.89604733302
