year,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor,win_rate,max_winning_streak,max_losing_streak
2023,0,,,0,0,,,0,0
2024,12,2.05013573992,0.561102842166,6.733234106,-4.23677803561,1.58923456679,0.333333333333,2,5
