omitted_fold,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor,win_rate,max_winning_streak,max_losing_streak
WF01,9,3.1340360329,0.994526008976,8.95073408078,-2.01927806082,4.43264068206,0.444444444444,2,2
WF02,8,0.37641674364,-0.342385944757,-2.73908755805,-3.70009347883,-0.740275231889,0.25,1,4
WF03,10,2.41239800325,0.761775480211,7.61775480211,-4.23677803561,1.79800658379,0.3,2,5
WF04,9,2.2122216571,0.707811221461,6.37030099315,-4.23677803561,1.50357203979,0.333333333333,2,5
