direction,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,5,0.628006898168,-0.180029093773,-0.900145468863,-1.86115138964,-0.483649784683,0.2,1,3
SHORT,7,2.9121767689,1.09048279641,7.63337957486,-2.9736994539,2.56696404367,0.428571428571,2,3
