trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe,net_R,fold,fold_start_state
T2-H4-WF01-000001,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-01-18 16:00:00+03:00,2024-01-19 16:00:00+03:00,2024-01-19 16:00:00+03:00,88.5,89.3169808838,0.816980883791,816.980883791,2024-01-25 20:00:00+03:00,89.2777440332,ATR_TRAILING_STOP,13,-0.951973355386,0.00244803769547,-0.954421393081,0.734411308641,0.979215078188,2024-01-17 12:00:00+03:00,3,1224.01884774,USDRUBF,T2,H4,-0.954421393081,WF01,FLAT
T2-H4-WF01-000002,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-03-18 17:00:00+03:00,2024-03-19 12:00:00+03:00,2024-03-19 12:00:00+03:00,12.767,12.6582874896,0.108712510446,108.712510446,2024-03-21 16:00:00+03:00,12.6855534906,ATR_TRAILING_STOP,7,-0.749191690214,0.0183971466743,-0.767588836888,0.00919857333714,0.956651627063,2024-03-18 13:00:00+03:00,2,9198.57333714,CNYRUBF,T2,H4,-0.767588836888,WF01,FLAT
T2-H4-WF01-000003,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-03-18 17:00:00+03:00,2024-03-19 12:00:00+03:00,2024-03-19 12:00:00+03:00,92.24,91.3479532834,0.89204671665,892.04671665,2024-03-21 16:00:00+03:00,91.8,EMA50_TREND_LOSS,7,-0.493247709775,0.00224203504443,-0.49548974482,0.0112101752222,0.863183492107,2024-03-18 13:00:00+03:00,2,1110.31829116,USDRUBF,T2,H4,-0.49548974482,WF01,FLAT
T2-H4-WF02-000001,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-06-07 20:00:00+03:00,2024-06-10 17:00:00+03:00,2024-06-10 17:00:00+03:00,12.212,12.3304268211,0.118426821125,118.426821125,2024-06-13 14:00:00+03:00,12.3304268211,INITIAL_STOP,5,-1,0.0168880662421,-1.01688806624,0.498197954141,0.481309887899,2024-06-07 16:00:00+03:00,2,8444.03312103,CNYRUBF,T2,H4,-1.01688806624,WF02,FLAT
T2-H4-WF02-000002,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-06-07 20:00:00+03:00,2024-06-10 17:00:00+03:00,2024-06-10 17:00:00+03:00,88.88,89.7168219816,0.836821981596,836.821981596,2024-06-13 14:00:00+03:00,89.7168219816,INITIAL_STOP,5,-1,0.00238999457948,-1.00238999458,0.609448617766,0.537748780382,2024-06-07 16:00:00+03:00,2,1194.99728974,USDRUBF,T2,H4,-1.00238999458,WF02,FLAT
T2-H4-WF02-000003,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-06-13 22:00:00+03:00,2024-06-14 13:00:00+03:00,2024-06-14 13:00:00+03:00,12.16,12.2518535768,0.0918535767642,91.8535767642,2024-06-20 13:00:00+03:00,11.3561601725,ATR_TRAILING_STOP,12,8.75131764961,0.0217737846522,8.72954386496,0.500797047001,14.3162634088,2024-06-13 14:00:00+03:00,1,10776.1848173,CNYRUBF,T2,H4,8.72954386496,WF02,FLAT
T2-H4-WF02-000004,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-06-17 14:00:00+03:00,2024-06-17 18:00:00+03:00,2024-06-17 18:00:00+03:00,88.35,89.8882158997,1.53821589968,1538.21589968,2024-06-20 13:00:00+03:00,84.0993617605,ATR_TRAILING_STOP,8,2.76335606751,0.00130020759792,2.76205585991,0.0260041519583,5.05780755589,2024-06-13 14:00:00+03:00,1,643.587223522,USDRUBF,T2,H4,2.76205585991,WF02,FLAT
T2-H4-WF03-000001,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-07-26 17:00:00+03:00,2024-07-29 18:00:00+03:00,2024-07-29 18:00:00+03:00,11.802,11.911380398,0.109380397959,109.380397959,2024-08-05 18:00:00+03:00,11.911380398,INITIAL_STOP,15,-1,0.0182848118796,-1.01828481188,0.859386158342,0.658253227666,2024-07-26 13:00:00+03:00,3,9142.40593981,CNYRUBF,T2,H4,-1.01828481188,WF03,FLAT
T2-H4-WF03-000002,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-07-26 17:00:00+03:00,2024-07-29 18:00:00+03:00,2024-07-29 18:00:00+03:00,86.44,87.4879119457,1.04791194572,1047.91194572,2024-08-08 13:00:00+03:00,86.2978269852,ATR_TRAILING_STOP,23,0.135672673076,0.00190855730595,0.13376411577,0.572567191784,1.63181649658,2024-07-26 13:00:00+03:00,3,954.278652973,USDRUBF,T2,H4,0.13376411577,WF03,FLAT
T2-H4-WF04-000001,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-10-14 18:00:00+03:00,2024-10-15 13:00:00+03:00,2024-10-15 13:00:00+03:00,96.41,95.0634380594,1.3465619406,1346.5619406,2024-10-18 13:00:00+03:00,95.6066579191,ATR_TRAILING_STOP,9,-0.596587543914,0.0014852640192,-0.598072807933,0.341610724416,0.586679287584,2024-10-10 17:00:00+03:00,2,742.6320096,USDRUBF,T2,H4,-0.598072807933,WF04,FLAT
