symbol,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor,win_rate,max_winning_streak,max_losing_streak
Si,7,1.44751605817,0.195013045964,1.36509132174,-2.45230113248,0.556657297778,0.428571428571,2,3
CNY,5,2.59699561444,1.07362855685,5.36814278425,-1.78447690313,3.0082444748,0.2,1,2
