outcome_group,dimension,category,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
all,ALL,ALL,1131,0.374889478338,1.15749204634,0.0773919100962,87.5302503188,0.0773919100962,-0.408844712557,-42.6941794806,101.41025641
all,ema_position,above_all,634,0.381703470032,1.07206803641,0.0354443210224,22.4716995282,0.0354443210224,-0.428304731918,-43.3715952865,99.7555205047
all,ema_position,below_all,478,0.364016736402,1.27434048745,0.135460788072,64.7502566986,0.135460788072,-0.393283678434,-30.0042709086,103.79707113
all,ema_position,mixed,19,0.421052631579,1.03881875823,0.0162260048406,0.308294091972,0.0162260048406,-0.295187210579,-5.18568308888,96.5789473684
all,volatility,low_volatility,240,0.341666666667,1.03736648098,0.020236642476,4.85679419425,0.020236642476,-0.463402950434,-20.9670005807,114.604166667
all,volatility,normal_volatility,377,0.376657824934,1.25177928814,0.126418157156,47.6596452479,0.126418157156,-0.50395399651,-27.2426994254,84.7480106101
all,volatility,high_volatility,514,0.389105058366,1.14804554272,0.0681202546238,35.0138108766,0.0681202546238,-0.364482549358,-21.6414515676,107.470817121
all,candle_quality,strong_body,849,0.373380447585,1.18242356676,0.0901706255527,76.5548610943,0.0901706255527,-0.418140485823,-45.1401279891,104.25795053
all,candle_quality,weak_body,13,0.153846153846,0.40115333053,-0.408231155766,-5.30700502496,-0.408231155766,-0.674195527115,-5.30700502496,108.461538462
all,candle_quality,long_wick,115,0.321739130435,0.904543554138,-0.0520320339619,-5.98368390562,-0.0520320339619,-0.544452159807,-21.4916760645,90.8260869565
all,candle_quality,neutral,154,0.441558441558,1.34481367045,0.144584923085,22.2660781551,0.144584923085,-0.171279820656,-17.0009056946,93.0194805195
all,instrument,USDRUBF,604,0.402317880795,1.36026628195,0.162185403288,97.9599835858,0.162185403288,-0.331807137293,-24.9726410236,91.7715231788
all,instrument,CNYRUBF,527,0.343453510436,0.963258218331,-0.0197907652126,-10.429733267,-0.0197907652126,-0.513918132575,-31.5930828032,112.457305503
all,session,Session_A,30,0.233333333333,0.412250170924,-0.37526147187,-11.2578441561,-0.37526147187,-0.994248586268,-13.029477157,39.8333333333
all,session,Session_B,818,0.382640586797,1.27449100465,0.133231745739,108.983568015,0.133231745739,-0.40800197238,-24.3146215479,78.4657701711
all,session,Session_C,283,0.367491166078,0.926957514573,-0.0360264082686,-10.19547354,-0.0360264082686,-0.368592670804,-28.0671125969,174.25795053
all,instrument_session,USDRUBF|Session_A,14,0.285714285714,0.148609477089,-0.566377398387,-7.92928357741,-0.566377398387,-1.0116315838,-9.02305903256,29.2857142857
all,instrument_session,USDRUBF|Session_B,435,0.411494252874,1.53815872638,0.240095622752,104.441595897,0.240095622752,-0.349466933276,-17.6691854422,80.6436781609
all,instrument_session,USDRUBF|Session_C,155,0.387096774194,1.02112632944,0.00933981461986,1.44767126608,0.00933981461986,-0.253970170592,-11.5770205244,128.64516129
all,instrument_session,CNYRUBF|Session_A,16,0.1875,0.661759479534,-0.208035036169,-3.3285605787,-0.208035036169,-0.591442176983,-7.63759025706,49.0625
all,instrument_session,CNYRUBF|Session_B,383,0.349869451697,1.02237792255,0.0118589350333,4.54197211776,0.0118589350333,-0.512357218777,-21.7195856516,75.9921671018
all,instrument_session,CNYRUBF|Session_C,128,0.34375,0.836146543423,-0.0909620687976,-11.6431448061,-0.0909620687976,-0.470714534889,-21.7007444369,229.4921875
all,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
winners,ALL,ALL,424,1,DATA_UNAVAILABLE,1.51723098528,643.30593776,1.51723098528,0.986465460303,0,151.768867925
winners,ema_position,above_all,242,1,DATA_UNAVAILABLE,1.38133880313,334.283990357,1.38133880313,0.901851627147,0,153.326446281
winners,ema_position,below_all,174,1,DATA_UNAVAILABLE,1.72857338432,300.771768871,1.72857338432,1.17416915638,0,149.827586207
winners,ema_position,mixed,8,1,DATA_UNAVAILABLE,1.03127231649,8.25017853189,1.03127231649,0.929021172526,0,146.875
winners,volatility,low_volatility,82,1,DATA_UNAVAILABLE,1.64431818481,134.834091155,1.64431818481,1.1034029587,0,128.841463415
winners,volatility,normal_volatility,142,1,DATA_UNAVAILABLE,1.66866908951,236.951010711,1.66866908951,1.07176135448,0,132.992957746
winners,volatility,high_volatility,200,1,DATA_UNAVAILABLE,1.35760417947,271.520835894,1.35760417947,0.893170852815,0,174.5
