dimension,category,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
candle_quality,strong_body,849,0.373380447585,1.18242356676,0.0901706255527,76.5548610943,0.0901706255527,-0.418140485823,-45.1401279891,104.25795053
candle_quality,weak_body,13,0.153846153846,0.40115333053,-0.408231155766,-5.30700502496,-0.408231155766,-0.674195527115,-5.30700502496,108.461538462
candle_quality,long_wick,115,0.321739130435,0.904543554138,-0.0520320339619,-5.98368390562,-0.0520320339619,-0.544452159807,-21.4916760645,90.8260869565
candle_quality,neutral,154,0.441558441558,1.34481367045,0.144584923085,22.2660781551,0.144584923085,-0.171279820656,-17.0009056946,93.0194805195
