strategy_id,instrument,exit_configuration,friction_scenario,trades,wins,losses,win_rate,gross_pnl_price,net_pnl_price,profit_factor_ATR,expectancy_ATR,max_drawdown_ATR,net_result_ATR,profit_factor_R,expectancy_R,max_drawdown_R,net_result_R,average_holding_bars,median_holding_bars,max_consecutive_losses,sample_flag
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,40483,18250,22226,0.4508065113751451,-8.788736202645769,-8.788736202645769,0.7787952357920868,-0.06402202633605333,2594.3022438362896,-2591.803692162447,0.7787952357920868,-0.12804405267210667,5188.604487672579,-5183.607384324894,1.545735246893758,1.0,18,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,GROSS,35138,13492,21639,0.38397176845580283,-3.4836500326540563,-3.4836500326540563,0.8837423303068324,-0.03788173385973598,1348.966729847882,-1331.0883643634027,0.8837423303068324,-0.07576346771947196,2697.933459695764,-2662.1767287268053,1.8306961124708292,1.0,22,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_0.5_TARGET_2.0,GROSS,30849,10176,20666,0.3298648254400467,-1.4751663191732494,-1.4751663191732494,0.929028047517591,-0.02519414905157954,802.4498395116082,-777.2143040921771,0.929028047517591,-0.05038829810315908,1604.8996790232163,-1554.4286081843543,2.144672436707835,1.0,20,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_1.0_TARGET_1.0,GROSS,21441,10340,11091,0.48225362623011986,-3.1166080768385704,-3.1166080768385704,0.9065405182585512,-0.049697247706265185,1080.5586880700396,-1065.5586880700318,0.9065405182585512,-0.049697247706265185,1080.5586880700396,-1065.5586880700318,3.325404598666107,2.0,16,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,16230,6266,9950,0.3860751694393099,-2.6857192854672967,-2.6857192854672967,0.918310828070181,-0.05142933998973241,856.7583804443534,-834.698188033357,0.918310828070181,-0.05142933998973241,856.7583804443534,-834.698188033357,4.497104128157733,3.0,20,BETTER_SAMPLE
MOM-01,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,13106,4240,8850,0.3235159468945521,-2.0304579053036402,-2.0304579053036402,0.9290898320212404,-0.049141857817525274,674.2869522714466,-644.0531885564862,0.9290898320212404,-0.049141857817525274,674.2869522714466,-644.0531885564862,5.635739356020143,3.0,18,BETTER_SAMPLE
MOM-01,CNYRUBF,TIME_15,GROSS,5027,2297,2430,0.4569325641535707,-1.121000000000091,-1.121000000000091,0.9548791914446425,-0.04856837653165483,317.0185316580363,-244.15322882462883,,,,,14.870101452158345,15.0,13,BETTER_SAMPLE
MOM-01,CNYRUBF,TIME_30,GROSS,2582,1205,1286,0.4666924864446166,-0.5900000000000016,-0.5900000000000016,0.9407166304131399,-0.0904107871554764,317.316707362473,-233.4406524354401,,,,,29.446553059643687,30.0,9,BETTER_SAMPLE
MOM-01,CNYRUBF,TIME_60,GROSS,1327,599,689,0.45139412207987945,-1.640000000000006,-1.640000000000006,0.851198150442719,-0.32672922113686625,538.9232679546147,-433.5696764486215,,,,,57.75885455915599,60.0,8,BETTER_SAMPLE
MOM-02,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,38069,17118,20944,0.4496572013974625,-8.665074871951143,-8.665074871951143,0.7749231861940193,-0.06530126162115436,2488.452617205758,-2485.9537286557256,0.7749231861940193,-0.13060252324230873,4976.905234411516,-4971.907457311451,1.557619060127663,1.0,15,BETTER_SAMPLE
MOM-02,CNYRUBF,STOP_0.5_TARGET_1.5,GROSS,33112,12736,20369,0.3846339695578642,-3.798235479919194,-3.798235479919194,0.8864248337876707,-0.036959290996534847,1258.6835181645617,-1223.796043477262,0.8864248337876707,-0.07391858199306969,2517.3670363291235,-2447.592086954524,1.8351956994443102,1.0,19,BETTER_SAMPLE
MOM-02,CNYRUBF,STOP_0.5_TARGET_2.0,GROSS,28857,9483,19368,0.32862043871504315,-1.9608033628973889,-1.9608033628973889,0.9238529768391336,-0.027079253928809496,808.0114393417334,-781.4260306236556,0.9238529768391336,-0.05415850785761899,1616.0228786834668,-1562.8520612473112,2.1541393769276085,1.0,23,BETTER_SAMPLE
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.0,GROSS,20300,9715,10578,0.4785714285714286,-3.5025399575408933,-3.5025399575408933,0.8930309430519,-0.057308941249665034,1178.1922395221513,-1163.3715073682001,0.8930309430519,-0.057308941249665034,1178.1922395221513,-1163.3715073682001,3.3114285714285714,2.0,17,BETTER_SAMPLE
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,15512,5969,9535,0.3847988653945333,-2.9327099649645163,-2.9327099649645163,0.9117894060235595,-0.055752211727900056,887.8783166135037,-864.8283083231856,0.9117894060235595,-0.055752211727900056,887.8783166135037,-864.8283083231856,4.464543579164518,3.0,20,BETTER_SAMPLE
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,12572,4020,8545,0.31975819280941775,-2.8705768996927308,-2.8705768996927308,0.9099923359171485,-0.06294520913130575,804.3471691987764,-791.3471691987759,0.9099923359171485,-0.06294520913130575,804.3471691987764,-791.3471691987759,5.614937957365575,3.0,25,BETTER_SAMPLE
MOM-02,CNYRUBF,TIME_15,GROSS,4941,2190,2433,0.4432301153612629,-2.63299999999996,-2.63299999999996,0.8844126340432211,-0.13042275842156328,756.9718312100792,-644.4188493609443,,,,,14.879579032584497,15.0,11,BETTER_SAMPLE
MOM-02,CNYRUBF,TIME_30,GROSS,2548,1158,1286,0.45447409733124017,-1.3400000000000425,-1.3400000000000425,0.919442538466865,-0.12414483672768278,476.1790841132339,-316.32104398213573,,,,,29.49882260596546,30.0,8,BETTER_SAMPLE
MOM-02,CNYRUBF,TIME_60,GROSS,1317,594,678,0.4510250569476082,-1.0780000000000403,-1.0780000000000403,0.9231217083723916,-0.16306510348357708,410.3330151338658,-214.75674128787102,,,,,57.68413059984814,60.0,10,BETTER_SAMPLE
NR-01,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,13128,6083,7041,0.46336075563680684,-2.0949700035518806,-2.0949700035518806,0.7923847017893516,-0.060699887485724566,804.3464033830301,-796.8681229125921,0.7923847017893516,-0.12139977497144913,1608.6928067660601,-1593.7362458251841,1.6646099939061547,1.0,17,BETTER_SAMPLE
NR-01,CNYRUBF,STOP_0.5_TARGET_1.5,GROSS,12513,4995,7514,0.39918484775833135,-0.5002680328981519,-0.5002680328981519,0.9150154101741714,-0.0278034123161979,370.2453760190194,-347.9040983125843,0.9150154101741714,-0.0556068246323958,740.4907520380387,-695.8081966251686,1.9626788140334053,1.0,17,BETTER_SAMPLE
NR-01,CNYRUBF,STOP_0.5_TARGET_2.0,GROSS,11874,4094,7776,0.3447869294256358,0.25720473637060515,0.25720473637060515,0.9665479396034391,-0.011929217729171942,198.62920121234473,-141.64753131618764,0.9665479396034391,-0.023858435458343884,397.25840242468945,-283.2950626323753,2.28937173656729,2.0,23,BETTER_SAMPLE
NR-01,CNYRUBF,STOP_1.0_TARGET_1.0,GROSS,9724,4754,4964,0.48889345948169477,-0.5373850901132577,-0.5373850901132577,0.9194720933593005,-0.042801316324873974,437.0862392471069,-416.19999994307454,0.9194720933593005,-0.042801316324873974,437.0862392471069,-416.19999994307454,3.686651583710407,2.0,13,BETTER_SAMPLE
NR-01,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,8355,3347,5001,0.4005984440454817,0.5550141990598068,0.5550141990598068,0.9640538801073486,-0.02237367818309162,253.42689879964013,-186.9320812197305,0.9640538801073486,-0.02237367818309162,253.42689879964013,-186.9320812197305,4.948773189706762,3.0,15,BETTER_SAMPLE
NR-01,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,7292,2464,4818,0.337904552934723,0.43231092226977985,0.43231092226977985,0.981876221117926,-0.012413689868262833,244.0139835383431,-90.52062651937258,0.981876221117926,-0.012413689868262833,244.0139835383431,-90.52062651937258,6.236423477783872,4.0,21,BETTER_SAMPLE
NR-01,CNYRUBF,TIME_15,GROSS,4187,1928,1999,0.46047289228564603,0.2740000000000009,0.2740000000000009,1.0321351167497037,0.03374337102089434,178.73649036661376,141.28349446448462,,,,,14.873178887031287,15.0,13,BETTER_SAMPLE
NR-01,CNYRUBF,TIME_30,GROSS,2331,1115,1114,0.47833547833547835,0.8369999999999855,0.8369999999999855,1.0545908858473394,0.07909192362728511,134.80298261729615,184.3632739752016,,,,,29.465036465036466,30.0,8,BETTER_SAMPLE
NR-01,CNYRUBF,TIME_60,GROSS,1253,591,621,0.47166799680766164,0.8340000000000334,0.8340000000000334,1.0287353655485767,0.05618231436667366,152.11135280709425,70.3964399014421,,,,,58.06145251396648,60.0,8,BETTER_SAMPLE
PD-01,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,474,237,237,0.5,-0.007635931488554348,-0.007635931488554348,0.989444145259006,-0.0026671173889837975,16.363941333920287,-1.2642136423783201,0.989444145259006,-0.005334234777967595,32.727882667840575,-2.5284272847566402,1.5590717299578059,1.0,8,BETTER_SAMPLE
PD-01,CNYRUBF,STOP_0.5_TARGET_1.5,GROSS,470,199,271,0.42340425531914894,0.06462948162390525,0.06462948162390525,1.087358236545567,0.025512187139040195,11.846352234995162,11.990727955348891,1.087358236545567,0.05102437427808039,23.692704469990325,23.981455910697782,1.874468085106383,1.0,10,BETTER_SAMPLE
PD-01,CNYRUBF,STOP_0.5_TARGET_2.0,GROSS,460,165,295,0.358695652173913,0.07639360755688607,0.07639360755688607,1.0994853071338044,0.03245604729098956,10.404784850819333,14.929781753855197,1.0994853071338044,0.06491209458197912,20.809569701638665,29.859563507710394,2.1978260869565216,1.0,10,BETTER_SAMPLE
PD-01,CNYRUBF,STOP_1.0_TARGET_1.0,GROSS,407,219,188,0.538083538083538,0.1289977537310225,0.1289977537310225,1.1638256730633576,0.07574321466789924,13.281463062868939,30.827488369834988,1.1638256730633576,0.07574321466789924,13.281463062868939,30.827488369834988,3.7027027027027026,2.0,8,BETTER_SAMPLE
PD-01,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,377,165,212,0.4376657824933687,0.2400377762354058,0.2400377762354058,1.1637723223062193,0.09238603662295376,16.49999999999968,34.82953580685357,1.1637723223062193,0.09238603662295376,16.49999999999968,34.82953580685357,5.172413793103448,3.0,9,BETTER_SAMPLE
PD-01,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,368,140,228,0.3804347826086957,0.32786712948678165,0.32786712948678165,1.2247868326651847,0.13879322065972796,16.999999999999705,51.07590520277989,1.2247868326651847,0.13879322065972796,16.999999999999705,51.07590520277989,6.728260869565218,4.0,13,BETTER_SAMPLE
PD-01,CNYRUBF,TIME_15,GROSS,289,141,137,0.48788927335640137,-0.39399999999999125,-0.39399999999999125,0.864763917446729,-0.17414285037373464,76.0771973369619,-50.327283758009315,,,,,14.972318339100346,15.0,7,BETTER_SAMPLE
PD-01,CNYRUBF,TIME_30,GROSS,223,106,114,0.47533632286995514,-0.611999999999993,-0.611999999999993,0.7895429089862696,-0.4055648290534249,117.57374762713707,-90.44095687891375,,,,,29.986547085201792,30.0,8,BETTER_SAMPLE
