strategy_id,instrument,exit_configuration,friction_scenario,month,trades,net_result_ATR,expectancy_ATR,net_result_R,expectancy_R
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.0,STRESS,2026-05,2245,-4110.313213348569,-1.8308744825606096,-4110.313213348569,-1.8308744825606096
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,BASE,2026-01,3181,-2305.5560598799525,-0.7247897076013683,-2305.5560598799525,-0.7247897076013683
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,BASE,2026-02,3037,-2310.534581347502,-0.760795054773626,-2310.534581347502,-0.760795054773626
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,BASE,2026-03,3768,-2026.2330401308725,-0.537747622115412,-2026.2330401308725,-0.537747622115412
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,BASE,2026-04,3802,-3010.840945705348,-0.7919097700434897,-3010.840945705348,-0.7919097700434897
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,BASE,2026-05,1724,-1587.993832384176,-0.9211101115917494,-1587.993832384176,-0.9211101115917494
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,2026-01,3181,-257.9766141999694,-0.08109921854761691,-257.9766141999694,-0.08109921854761691
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,2026-02,3037,-115.21168800221454,-0.037936018439978444,-115.21168800221454,-0.037936018439978444
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,2026-03,3768,-104.80816320110664,-0.027815329936599426,-104.80816320110664,-0.027815329936599426
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,2026-04,3802,-302.81345469435985,-0.07964583237621248,-302.81345469435985,-0.07964583237621248
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,2026-05,1724,-84.01838822553533,-0.04873456393592537,-84.01838822553533,-0.04873456393592537
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,STRESS,2026-01,3181,-4353.135505563572,-1.368480196656263,-4353.135505563572,-1.368480196656263
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,STRESS,2026-02,3037,-4505.857474696689,-1.4836540911085574,-4505.857474696689,-1.4836540911085574
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,STRESS,2026-03,3768,-3947.657917064051,-1.0476799142951303,-3947.657917064051,-1.0476799142951303
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,STRESS,2026-04,3802,-5718.868436721147,-1.5041737077120323,-5718.868436721147,-1.5041737077120323
MOM-02,CNYRUBF,STOP_1.0_TARGET_1.5,STRESS,2026-05,1724,-3091.969276545488,-1.7934856592491228,-3091.969276545488,-1.7934856592491228
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,BASE,2026-01,2582,-1847.9643292538149,-0.7157104296103078,-1847.9643292538149,-0.7157104296103078
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,BASE,2026-02,2497,-1921.713349690885,-0.7696088705209791,-1921.713349690885,-0.7696088705209791
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,BASE,2026-03,3038,-1736.3105343440648,-0.5715307881316869,-1736.3105343440648,-0.5715307881316869
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,BASE,2026-04,3048,-2364.3460681627053,-0.7757040906045621,-2364.3460681627053,-0.7757040906045621
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,BASE,2026-05,1407,-1279.4588480865357,-0.9093524151290232,-1279.4588480865357,-0.9093524151290232
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,2026-01,2582,-201.9798817717697,-0.0782261354654414,-201.9798817717697,-0.0782261354654414
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,2026-02,2497,-122.16907759455204,-0.048926342648999616,-122.16907759455204,-0.048926342648999616
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,2026-03,3038,-202.23071427307462,-0.06656705538942549,-202.23071427307462,-0.06656705538942549
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,2026-04,3048,-197.5281163674934,-0.06480581245652671,-197.5281163674934,-0.06480581245652671
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,2026-05,1407,-67.43937919188602,-0.0479313284945885,-67.43937919188602,-0.0479313284945885
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,STRESS,2026-01,2582,-3493.9487767387836,-1.3531947237563067,-3493.9487767387836,-1.3531947237563067
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,STRESS,2026-02,2497,-3721.2576217904143,-1.4902913983942387,-3721.2576217904143,-1.4902913983942387
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,STRESS,2026-03,3038,-3270.39035441778,-1.0764945208748453,-3270.39035441778,-1.0764945208748453
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,STRESS,2026-04,3048,-4531.164019961766,-1.4866023687538603,-4531.164019961766,-1.4866023687538603
MOM-02,CNYRUBF,STOP_1.0_TARGET_2.0,STRESS,2026-05,1407,-2491.4783169833386,-1.7707735017649884,-2491.4783169833386,-1.7707735017649884
MOM-02,CNYRUBF,TIME_15,BASE,2026-01,1000,-903.0728154292524,-0.9030728154292524,0.0,
MOM-02,CNYRUBF,TIME_15,BASE,2026-02,990,-903.1266220598512,-0.9122491131917689,0.0,
MOM-02,CNYRUBF,TIME_15,BASE,2026-03,1190,-825.5268871291189,-0.693720073217747,0.0,
MOM-02,CNYRUBF,TIME_15,BASE,2026-04,1216,-1012.6500250912502,-0.8327714022131992,0.0,
MOM-02,CNYRUBF,TIME_15,BASE,2026-05,545,-433.8905118703856,-0.7961293795786891,0.0,
MOM-02,CNYRUBF,TIME_15,GROSS,2026-01,1000,-228.2407062678823,-0.22824070626788232,0.0,
MOM-02,CNYRUBF,TIME_15,GROSS,2026-02,990,-154.88576073052357,-0.15645026336416523,0.0,
MOM-02,CNYRUBF,TIME_15,GROSS,2026-03,1190,-194.97805080835806,-0.1638471015196286,0.0,
MOM-02,CNYRUBF,TIME_15,GROSS,2026-04,1216,-132.3441468520036,-0.1088356470822398,0.0,
MOM-02,CNYRUBF,TIME_15,GROSS,2026-05,545,66.02981529782338,0.12115562439967592,0.0,
MOM-02,CNYRUBF,TIME_15,STRESS,2026-01,1000,-1577.9049245918213,-1.5779049245918213,0.0,
MOM-02,CNYRUBF,TIME_15,STRESS,2026-02,990,-1651.3674833905081,-1.6680479630207152,0.0,
MOM-02,CNYRUBF,TIME_15,STRESS,2026-03,1190,-1456.075723451,-1.2235930449168066,0.0,
MOM-02,CNYRUBF,TIME_15,STRESS,2026-04,1216,-1892.9559033320606,-1.5567071573454445,0.0,
MOM-02,CNYRUBF,TIME_15,STRESS,2026-05,545,-933.8108390394826,-1.7134143835586837,0.0,
