trade_path_id,strategy_id,instrument,exit_configuration,signal_time,entry_time,entry_price_raw,side,ATR_at_entry,reference_level,risk_price,stop_price,target_price,exit_time,exit_price_raw,exit_reason,bars_held,gross_pnl_price,MFE,MAE,friction_scenario,entry_price_adjusted,exit_price_adjusted,net_pnl_price,pnl_atr,pnl_R
MOM-01:STOP_0.5_TARGET_1.0:CNYRUBF:14,MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.0041836734693879146,11.260816326530612,11.269183673469389,2026-01-05 09:18:00+03:00,11.269183673469389,TARGET,4,0.004183673469388083,0.006999999999999673,0.0030000000000001137,BASE,11.266,11.26818367346939,0.0021836734693891913,0.2609756097562593,0.5219512195125185
MOM-01:STOP_0.5_TARGET_1.0:CNYRUBF:14,MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.0041836734693879146,11.260816326530612,11.269183673469389,2026-01-05 09:18:00+03:00,11.269183673469389,TARGET,4,0.004183673469388083,0.006999999999999673,0.0030000000000001137,GROSS,11.265,11.269183673469389,0.004183673469388083,0.5000000000000201,1.0000000000000402
MOM-01:STOP_0.5_TARGET_1.0:CNYRUBF:14,MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.0041836734693879146,11.260816326530612,11.269183673469389,2026-01-05 09:18:00+03:00,11.269183673469389,TARGET,4,0.004183673469388083,0.006999999999999673,0.0030000000000001137,STRESS,11.267000000000001,11.267183673469388,0.000183673469386747,0.021951219512073804,0.04390243902414761
MOM-01:STOP_0.5_TARGET_1.5:CNYRUBF:14,MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.0041836734693879146,11.260816326530612,11.271275510204083,2026-01-05 09:18:00+03:00,11.271275510204083,TARGET,4,0.006275510204082124,0.006999999999999673,0.0030000000000001137,BASE,11.266,11.270275510204083,0.004275510204083233,0.5109756097562693,1.0219512195125386
MOM-01:STOP_0.5_TARGET_1.5:CNYRUBF:14,MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.0041836734693879146,11.260816326530612,11.271275510204083,2026-01-05 09:18:00+03:00,11.271275510204083,TARGET,4,0.006275510204082124,0.006999999999999673,0.0030000000000001137,GROSS,11.265,11.271275510204083,0.006275510204082124,0.7500000000000302,1.5000000000000604
MOM-01:STOP_0.5_TARGET_1.5:CNYRUBF:14,MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.0041836734693879146,11.260816326530612,11.271275510204083,2026-01-05 09:18:00+03:00,11.271275510204083,TARGET,4,0.006275510204082124,0.006999999999999673,0.0030000000000001137,STRESS,11.267000000000001,11.269275510204082,0.0022755102040807884,0.27195121951208384,0.5439024390241677
MOM-01:STOP_0.5_TARGET_2.0:CNYRUBF:14,MOM-01,CNYRUBF,STOP_0.5_TARGET_2.0,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.0041836734693879146,11.260816326530612,11.273367346938777,2026-01-05 09:38:00+03:00,11.273367346938777,TARGET,24,0.008367346938776166,0.008999999999998565,0.004000000000001336,BASE,11.266,11.272367346938777,0.006367346938777274,0.7609756097562793,1.5219512195125586
MOM-01:STOP_0.5_TARGET_2.0:CNYRUBF:14,MOM-01,CNYRUBF,STOP_0.5_TARGET_2.0,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.0041836734693879146,11.260816326530612,11.273367346938777,2026-01-05 09:38:00+03:00,11.273367346938777,TARGET,24,0.008367346938776166,0.008999999999998565,0.004000000000001336,GROSS,11.265,11.273367346938777,0.008367346938776166,1.0000000000000402,2.0000000000000804
MOM-01:STOP_0.5_TARGET_2.0:CNYRUBF:14,MOM-01,CNYRUBF,STOP_0.5_TARGET_2.0,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.0041836734693879146,11.260816326530612,11.273367346938777,2026-01-05 09:38:00+03:00,11.273367346938777,TARGET,24,0.008367346938776166,0.008999999999998565,0.004000000000001336,STRESS,11.267000000000001,11.271367346938776,0.00436734693877483,0.5219512195120939,1.0439024390241878
MOM-01:STOP_1.0_TARGET_1.0:CNYRUBF:14,MOM-01,CNYRUBF,STOP_1.0_TARGET_1.0,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.008367346938775829,11.256632653061224,11.273367346938777,2026-01-05 09:38:00+03:00,11.273367346938777,TARGET,24,0.008367346938776166,0.008999999999998565,0.004000000000001336,BASE,11.266,11.272367346938777,0.006367346938777274,0.7609756097562793,0.7609756097562793
MOM-01:STOP_1.0_TARGET_1.0:CNYRUBF:14,MOM-01,CNYRUBF,STOP_1.0_TARGET_1.0,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.008367346938775829,11.256632653061224,11.273367346938777,2026-01-05 09:38:00+03:00,11.273367346938777,TARGET,24,0.008367346938776166,0.008999999999998565,0.004000000000001336,GROSS,11.265,11.273367346938777,0.008367346938776166,1.0000000000000402,1.0000000000000402
MOM-01:STOP_1.0_TARGET_1.0:CNYRUBF:14,MOM-01,CNYRUBF,STOP_1.0_TARGET_1.0,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.008367346938775829,11.256632653061224,11.273367346938777,2026-01-05 09:38:00+03:00,11.273367346938777,TARGET,24,0.008367346938776166,0.008999999999998565,0.004000000000001336,STRESS,11.267000000000001,11.271367346938776,0.00436734693877483,0.5219512195120939,0.5219512195120939
MOM-01:STOP_1.0_TARGET_1.5:CNYRUBF:14,MOM-01,CNYRUBF,STOP_1.0_TARGET_1.5,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.008367346938775829,11.256632653061224,11.277551020408165,2026-01-05 09:39:00+03:00,11.277551020408165,TARGET,25,0.012551020408164248,0.013999999999999346,0.004000000000001336,BASE,11.266,11.276551020408165,0.010551020408165357,1.2609756097562994,1.2609756097562994
MOM-01:STOP_1.0_TARGET_1.5:CNYRUBF:14,MOM-01,CNYRUBF,STOP_1.0_TARGET_1.5,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.008367346938775829,11.256632653061224,11.277551020408165,2026-01-05 09:39:00+03:00,11.277551020408165,TARGET,25,0.012551020408164248,0.013999999999999346,0.004000000000001336,GROSS,11.265,11.277551020408165,0.012551020408164248,1.5000000000000604,1.5000000000000604
MOM-01:STOP_1.0_TARGET_1.5:CNYRUBF:14,MOM-01,CNYRUBF,STOP_1.0_TARGET_1.5,2026-01-05 09:14:00+03:00,2026-01-05 09:14:00+03:00,11.265,LONG,0.008367346938775829,,0.008367346938775829,11.256632653061224,11.277551020408165,2026-01-05 09:39:00+03:00,11.277551020408165,TARGET,25,0.012551020408164248,0.013999999999999346,0.004000000000001336,STRESS,11.267000000000001,11.275551020408164,0.008551020408162913,1.021951219512114,1.021951219512114
