direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,average_holding_hours,average_MAE_R,average_MFE_R
LONG,4,0.92003887839,-0.0536573830549,-0.21462953222,-2.12553424139,-0.100976746477,0.25,121,0.275918094534,1.34100831531
SHORT,5,2.4157280389,1.02318305848,5.11591529238,-2.02746583189,2.52330530652,0.2,117.4,0.53604474403,3.26962242296
