year,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,average_holding_hours,average_MAE_R,average_MFE_R
2023,2,0,-1.18426158507,-2.36852317014,-2.36852317014,-1,0,31.5,0.207074281588,0.213414153857
2024,7,2.85016358285,1.0385441329,7.2698089303,-1.78447690313,4.07391595685,0.285714285714,144,0.481392505015,3.04075958119
