split,dimension,category,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
train,portfolio,COMBINED,247,1.42485503256,0.221734274914,54.7683659038,-14.9618788316,3.66052729875,0.336032388664,89.7975708502,15,0.0895936010162,0.283557320278
train,strategy,T2,99,1.21035180633,0.121227788347,12.0015510464,-14.7115226349,0.81579258274,0.292929292929,97.3737373737,10,0.123425615344,0.426986218704
train,strategy,T3,148,1.59517344422,0.288964965253,42.7668148575,-16.0325643275,2.66749685103,0.364864864865,84.7297297297,7,0.143570567543,0.389580361282
train,instrument,USDRUBF,157,1.78719920306,0.367229459118,57.6550250815,-8.32994053251,6.92142097012,0.375796178344,82.2611464968,7,0.125721978703,0.350602051696
train,instrument,CNYRUBF,90,0.948146960582,-0.0320739908635,-2.88665917772,-21.3103835613,-0.135457870545,0.266666666667,102.944444444,11,0.205824490842,0.516841543936
train,direction,LONG,160,1.31453061957,0.152191114663,24.3505783461,-12.4657732193,1.95339494131,0.34375,91.9375,12,0.0724862477622,0.24308176206
train,direction,SHORT,87,1.59072921899,0.349629742043,30.4177875577,-10.0051985584,3.04019829095,0.32183908046,85.8620689655,5,0.200909864764,0.599072372133
test,portfolio,COMBINED,345,1.43343907447,0.206471784075,71.232765506,-25.3175436888,2.81357332219,0.382608695652,76.8550724638,13,0.0551086399643,0.172398824976
test,strategy,T2,138,1.35344969574,0.186272905517,25.7056609614,-23.4212239618,1.09753704603,0.326086956522,72.3913043478,14,0.131888641615,0.403732815251
test,strategy,T3,207,1.49693788051,0.219937703114,45.5271045446,-11.3419148743,4.01405803599,0.420289855072,79.8309178744,12,0.0512697042477,0.218190144939
test,instrument,USDRUBF,197,1.68912561179,0.296611980667,58.4325601915,-10.4785072904,5.576420245,0.416243654822,81.421319797,10,0.0531471706982,0.222513452884
test,instrument,CNYRUBF,148,1.16090588977,0.0864878737466,12.8002053145,-18.3330552741,0.698203606714,0.337837837838,70.777027027,10,0.140575186397,0.420934968576
test,direction,LONG,177,1.85740972647,0.370119123132,65.5110847944,-17.7844391803,3.68361825358,0.435028248588,85.0847457627,16,0.0914779822267,0.285567802123
test,direction,SHORT,168,1.06506538995,0.0340576232834,5.72168071161,-15.3528146394,0.372679593026,0.327380952381,68.1845238095,12,0.0693742760796,0.304191019364
