direction,total_trades,PF,expectancy,net_R,max_drawdown,win_rate,average_win,average_loss,recovery_factor
LONG,81,2.25113819384,0.592946813759,48.0286919145,-5.63351187602,0.407407407407,2.61868760784,-0.799749982173,8.52553309045
SHORT,91,1.363851565,0.192385060572,17.507040512,-15.5928171634,0.32967032967,2.18743089195,-0.788785020433,1.12276314976
