direction,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_hours,losing_streak,average_MAE_R,average_MFE_R
LONG,109,2.15185461525,0.486193245596,52.99506377,-16.2758385383,3.2560573543,0.385321100917,23.8027522936,17,0.422581207642,1.87445439756
SHORT,65,1.68180667909,0.380859211999,24.7558487799,-6.22546655818,3.976545139,0.276923076923,18.0846153846,9,0.461667283379,1.95999288176
