trade_id,symbol,direction,entry_time,exit_time,MAE,MFE,status
87,Si,LONG,2024-08-12 11:00:00+00:00,2024-08-12 19:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
88,Si,LONG,2024-08-13 08:00:00+00:00,2024-08-14 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
89,Si,LONG,2024-08-16 08:00:00+00:00,2024-08-21 14:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
90,Si,SHORT,2024-09-03 19:00:00+00:00,2024-09-04 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
91,CNY,LONG,2024-09-04 11:00:00+00:00,2024-09-05 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
92,CNY,LONG,2024-09-05 11:00:00+00:00,2024-09-10 15:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
93,Si,LONG,2024-09-06 14:00:00+00:00,2024-09-10 15:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
94,CNY,LONG,2024-09-20 16:00:00+00:00,2024-09-24 13:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
95,CNY,LONG,2024-09-26 10:00:00+00:00,2024-09-27 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
96,CNY,LONG,2024-10-02 10:00:00+00:00,2024-10-03 09:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
97,Si,LONG,2024-10-04 13:00:00+00:00,2024-10-09 13:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
98,Si,LONG,2024-10-15 08:00:00+00:00,2024-10-16 12:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
99,Si,LONG,2024-11-06 10:00:00+00:00,2024-11-07 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
100,CNY,LONG,2024-11-13 10:00:00+00:00,2024-11-15 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
101,Si,LONG,2024-11-14 10:00:00+00:00,2024-11-15 14:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
102,CNY,LONG,2024-11-19 14:00:00+00:00,2024-11-20 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
103,CNY,LONG,2024-11-21 10:00:00+00:00,2024-11-22 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
104,CNY,LONG,2024-11-22 11:00:00+00:00,2024-11-25 16:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
105,Si,LONG,2024-11-22 09:00:00+00:00,2024-11-26 10:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
106,CNY,LONG,2024-11-26 14:00:00+00:00,2024-11-27 14:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
107,Si,LONG,2024-11-26 15:00:00+00:00,2024-11-27 14:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
108,CNY,SHORT,2024-12-06 14:00:00+00:00,2024-12-09 13:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
109,Si,LONG,2024-12-11 08:00:00+00:00,2024-12-12 10:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
