month,return_R,trades,drawdown
2023-02,-2.8731807520498007,4,-2.8731807520498007
2023-03,-1.4811552167892503,3,-1.4811552167892503
2023-04,10.139103509952188,6,-1.3426608264285953
2023-05,5.853169123588771,5,0.0
2023-06,4.862738612138463,8,-3.0484581291666926
2023-07,-1.994439631600405,5,-2.747584198214155
2023-08,10.81487016817967,8,-1.3338901511942272
2023-09,-1.7541343422589952,3,-1.8497552730628002
2023-10,-4.300992552197593,6,-4.300992552197593
2023-11,-1.4884812626450112,3,-2.0
2023-12,-2.0099166545866893,5,-2.0099166545866893
2024-01,3.4555659858813,3,-1.0
2024-02,-3.6447344739173584,4,-3.6447344739173584
2024-03,-1.9614636956166447,4,-2.269419069390583
2024-04,-1.615071354048685,5,-1.7540259253639108
2024-05,0.6071728643792234,5,-1.9063075011217159
2024-06,22.882146215138665,7,-2.408484930371407
2024-08,-0.5716065133210093,5,-2.1700643722047888
2024-09,1.6782949508115286,6,-1.0
2024-10,2.830295912972163,3,0.0
2024-11,13.342571584869066,9,-0.9370905978067616
2024-12,-0.666237024611748,2,-0.9663216478038305
