generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,source_schema_id,source_path,source_row_number,source_trade_id,canonical_trade_key,direction,entry_time,exit_time,entry_date,exit_date,entry_year,entry_month,exit_year,exit_month,entry_weekday,exit_weekday,entry_hour,exit_hour,canonical_C1_R,gross_R,cost_R,MAE_R,MFE_R,exit_reason_raw,entry_price,exit_price,stop_raw,holding_source_value,holding_minutes,holding_hours,MAE_status,MFE_status,exit_reason_status,stop_status,holding_status
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,44,T2-H1-CNYRUBF-000011,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|44|T2-H1-CNYRUBF-000011,LONG,2025-08-19 00:00:00+03:00,2025-08-20 11:00:00+03:00,2025-08-19,2025-08-20,2025,8,2025,8,1,2,0,11,-0.367807929868,-0.320551898945,0.0472560309238,0.37804824739,0.637956417471,ATR_TRAILING_STOP,11.166,11.1524333973,,1 days 11:00:00,2100,35,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,47,T2-H1-CNYRUBF-000012,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|47|T2-H1-CNYRUBF-000012,LONG,2025-08-27 18:00:00+03:00,2025-08-28 16:00:00+03:00,2025-08-27,2025-08-28,2025,8,2025,8,2,3,18,16,-0.736018722047,-0.701735018333,0.0342837037145,0.565681111289,0.205702222287,ATR_TRAILING_STOP,11.263,11.2220630567,,0 days 22:00:00,1320,22,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,58,T2-H1-CNYRUBF-000013,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|58|T2-H1-CNYRUBF-000013,SHORT,2025-10-02 15:00:00+03:00,2025-10-02 17:00:00+03:00,2025-10-02,2025-10-02,2025,10,2025,10,3,3,15,17,-1.04887781657,-1,0.048877816571,0.513217073996,0.342144715997,INITIAL_STOP,11.357,11.3979183581,,0 days 02:00:00,120,2,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,60,T2-H1-CNYRUBF-000014,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|60|T2-H1-CNYRUBF-000014,SHORT,2025-10-02 20:00:00+03:00,2025-10-03 11:00:00+03:00,2025-10-02,2025-10-03,2025,10,2025,10,3,4,20,11,-1.02818440505,-1,0.0281844050525,0.775071138945,0.126829822736,INITIAL_STOP,11.307,11.3779612282,,0 days 15:00:00,900,15,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,68,T2-H1-CNYRUBF-000015,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|68|T2-H1-CNYRUBF-000015,SHORT,2025-10-28 14:00:00+03:00,2025-10-29 14:00:00+03:00,2025-10-28,2025-10-29,2025,10,2025,10,1,2,14,14,-0.611448263298,-0.592899168946,0.0185490943518,0.463727358794,0.398805528563,ATR_TRAILING_STOP,11.166,11.2299275598,,1 days 00:00:00,1440,24,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,73,T2-H1-CNYRUBF-000016,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|73|T2-H1-CNYRUBF-000016,LONG,2025-11-14 15:00:00+03:00,2025-11-17 11:00:00+03:00,2025-11-14,2025-11-17,2025,11,2025,11,4,0,15,11,-1.06855884464,-1,0.0685588446424,0.788426713387,1.30261804821,INITIAL_STOP,11.401,11.3718279798,,2 days 20:00:00,4080,68,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,78,T2-H1-CNYRUBF-000017,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|78|T2-H1-CNYRUBF-000017,SHORT,2025-11-25 19:00:00+03:00,2025-11-28 10:00:00+03:00,2025-11-25,2025-11-28,2025,11,2025,11,1,4,19,10,0.549116635077,0.592143672047,0.0430270369701,0.882054257887,1.82864907123,ATR_TRAILING_STOP,11.089,11.0614757402,,2 days 15:00:00,3780,63,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,85,T2-H1-CNYRUBF-000018,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|85|T2-H1-CNYRUBF-000018,LONG,2025-12-18 18:00:00+03:00,2025-12-19 13:00:00+03:00,2025-12-18,2025-12-19,2025,12,2025,12,3,4,18,13,0.723766945947,0.753338029477,0.0295710835306,0,2.39525776598,ATR_TRAILING_STOP,11.374,11.4249509926,,0 days 19:00:00,1140,19,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,88,T2-H1-CNYRUBF-000019,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|88|T2-H1-CNYRUBF-000019,SHORT,2025-12-26 13:00:00+03:00,2025-12-29 11:00:00+03:00,2025-12-26,2025-12-29,2025,12,2025,12,4,0,13,11,-0.598120184188,-0.580207787619,0.0179123965688,0.438853715935,0.304510741669,ATR_TRAILING_STOP,11.037,11.1017828207,,2 days 22:00:00,4200,70,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,97,T2-H1-CNYRUBF-000020,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|97|T2-H1-CNYRUBF-000020,LONG,2026-02-06 14:00:00+03:00,2026-02-10 12:00:00+03:00,2026-02-06,2026-02-10,2026,2,2026,2,4,1,14,12,0.182147048885,0.205274646045,0.0231275971603,0.277531165924,1.14481605944,ATR_TRAILING_STOP,11.115,11.1327514892,,3 days 22:00:00,5640,94,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
