generation,lifecycle_stage,strategy,timeframe,instrument,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,baseline,T2,H1,CNYRUBF,38,18,20,0.473684210526316,23.6608814487489,0.622654774967078,2.62628304230021,2.12277424786176,-0.72745275063814,-0.1976489863864,1.85764046467838,6.28675574227,-1.11000181043,42.5,30,0.42482153601335,0.47274911484,2.36944991891406,1.49670646611,false
v1,baseline,T2,H1,USDRUBF,41,17,24,0.414634146341463,35.9314659730244,0.876377218854254,2.92570592293802,3.21119530199991,-0.77745225670725,-0.536823426783,3.01927571149541,15.3747740568,-1.00795957259,41.1463414634146,24,0.472696754802366,0.469975254594,2.65743380568547,0.737228805514,false
v1,baseline,T2,M30,CNYRUBF,79,32,47,0.405063291139241,17.8362608802367,0.225775454180211,1.5158316838126,1.63793553034446,-0.73569523597417,-0.383789549466,1.51363483446216,6.08854267616,-1.09861697982,19.9810126582278,13.5,0.44676787712628,0.465620182127,1.70569841774444,1.09392294563,false
v1,baseline,T2,M30,USDRUBF,99,26,73,0.262626262626263,21.7814270962124,0.220014415113257,1.46660362726389,2.63316229151574,-0.639462910728722,-0.452487039916,2.19101338064414,14.7507391821,-1.01761798556,15.2777777777778,7.5,0.467524558895393,0.504963974662,1.65525573378143,0.888384564113,false
v1,baseline,T3,H1,CNYRUBF,52,21,31,0.403846153846154,27.8898641683297,0.536343541698649,2.17150788186078,2.46174633252343,-0.767961574666528,-0.402806124716717,2.46449300058527,13.9644679247218,-1.04752562596437,37.75,24.5,0.578810726377156,0.5938033872865,2.10112953762861,1.16600370155,false
v1,baseline,T3,H1,USDRUBF,62,29,33,0.467741935483871,27.6557296995208,0.446060156443885,2.09720158969765,1.8228077820785,-0.763808969113808,-0.24908462919652,1.8530852027187,9.38515743625346,-1.00566418470966,40.0806451612903,26,0.528701488274763,0.4909934355635,2.03822034189044,1.316461707125,false
v1,baseline,T3,M30,CNYRUBF,116,49,67,0.422413793103448,38.5837061342234,0.332618156329512,1.73885301885805,1.85315899815219,-0.779419175749758,-0.29132689364799,1.88568520979109,9.88766427080251,-1.09593625999077,19.1681034482759,15,0.582597421908757,0.5665277061875,1.73551314624105,1.056403755455,false
v1,baseline,T3,M30,USDRUBF,119,54,65,0.453781512605042,61.5076946846623,0.516871383904726,2.29212799300762,2.02054729262884,-0.732336294112234,-0.185549431756108,1.83874835743138,7.55020501831824,-1.00972241222042,20.3697478991597,15.5,0.587156616359932,0.570111828099,1.84395219278763,1.08759260592,false
v1,true_oos,T2,H1,CNYRUBF,34,12,22,0.352941176470588,8.380543839727,0.246486583521382,1.50074479734374,2.09305845231242,-0.760734435819182,-0.6003970791845,1.92148722269759,7.27638592676,-1.06840176724,36.2647058823529,21.5,0.5093287930246,0.533667962705,1.67425082002274,0.75122497559,false
v1,true_oos,T2,H1,USDRUBF,35,18,17,0.514285714285714,34.477142411118,0.985061211746229,3.50635405214636,2.67961317259328,-0.809170276209471,0.15071308202,2.89342063188775,12.9932280859,-1.01222370907,47.3714285714286,29,0.481066049623749,0.456609990615,2.51198476556053,1.05081370714,false
v1,true_oos,T2,M30,CNYRUBF,89,26,63,0.292134831460674,-1.5598192081559,-0.0175260585186056,0.96713948156647,1.76569471889405,-0.75345844284764,-0.593105759089,1.71056680319679,9.25352282824,-1.10376364805,16.8539325842697,14.5,0.511621331032822,0.488987717341,1.3799083776084,0.669097061986,false
v1,true_oos,T2,M30,USDRUBF,82,27,55,0.329268292682927,29.6736425076582,0.361873689117783,1.78619633249678,2.49692372456572,-0.686241782829385,-0.3737300314955,2.55642337240563,14.6116728165,-1.01830484393,20.4939024390244,16.25,0.454635202431993,0.4760077262635,1.72374564797553,0.7193387218365,false
v1,true_oos,T3,H1,CNYRUBF,49,23,26,0.469387755102041,27.8952337408866,0.56929048450789,2.80825837707615,1.88355690821056,-0.593329813382931,-0.05796599107,1.64283624041735,5.97370823147,-1.04792554046,28.469387755102,24,0.497120833006461,0.388736674453,1.99090856748774,1.28527629631,false
v1,true_oos,T3,H1,USDRUBF,48,20,28,0.416666666666667,29.3354483625295,0.611155174219364,2.56910937736915,2.4015526439548,-0.667700161305946,-0.2359431312275,1.98662832925486,7.23850694164,-1.00496643797,35.4375,25,0.551699460623265,0.623073791391,2.00441938483131,1.111498630145,false
v1,true_oos,T3,M30,CNYRUBF,85,33,52,0.388235294117647,28.3174490165258,0.333146459017951,1.73793126556361,2.0209560652433,-0.737963483394292,-0.249401726815,2.11118588609658,13.9157688444,-1.06645397314,13.2,11,0.588794045044229,0.639629314239,1.74255846884297,0.900386711329,false
v1,true_oos,T3,M30,USDRUBF,77,39,38,0.506493506493506,44.385578056504,0.576436078655896,2.5957393213485,1.85129830065368,-0.731975149183932,0.00555375725606,2.40006115354916,14.3471077532,-1.00788465818,18.0844155844156,16,0.531136122409866,0.521423568145,1.99120068177823,1.30232780568,false
v1,walk_forward,T2,H1,CNYRUBF,16,11,5,0.6875,16.2213733347243,1.01383583342027,5.70789925640227,1.78790349334266,-0.689113018409,1.115059895525,1.75355496577878,6.28675574227,-1.11000181041,55.6875,43.5,0.408898896052519,0.417467697395,2.98004360977456,2.70376517135,true
v1,walk_forward,T2,H1,USDRUBF,17,5,12,0.294117647058824,10.7331397264797,0.631361160381159,2.25603076111266,3.85568477077874,-0.712107010617833,-0.536823426783,3.77512093678239,15.3747740568,-1.00795957259,36.2352941176471,19,0.494383385112847,0.551212776858,2.05614402429518,0.583247618108,true
v1,walk_forward,T2,M30,CNYRUBF,28,11,17,0.392857142857143,-2.011170170536,-0.0718275060905714,0.855546691570673,1.08286011350891,-0.818978318772588,-0.404105051159,1.05117156717882,2.37372390176,-1.09861697982,8.75,5,0.461462971072821,0.5429662048365,1.31607688335468,0.8164015232025,true
v1,walk_forward,T2,M30,USDRUBF,39,10,29,0.256410256410256,9.70444560008463,0.248831938463708,1.55821675027599,2.7089172223366,-0.599473331837289,-0.452487039916,1.8870539721371,8.6411459116,-1.01761798556,15.6282051282051,16,0.48216948434288,0.513002730203,1.66272200852861,1.02600546041,false
v1,walk_forward,T3,H1,CNYRUBF,18,8,10,0.444444444444444,17.2496634007234,0.958314633373523,3.2057297253286,3.13375648887433,-0.78203885102712,-0.350290045702787,3.45211645142212,13.9644679247218,-1.04752562596437,44.1666666666667,25,0.607311932249056,0.5938033872865,2.58639786358422,1.1053264817165,true
v1,walk_forward,T3,H1,USDRUBF,16,9,7,0.5625,15.6620414783771,0.97887759239857,3.60766507911326,2.4075774216449,-0.858022188060999,0.561064234670362,2.54497925373439,9.38515743625346,-1.00519192299244,54.6875,67,0.492981028549106,0.3889016325855,2.42577248932463,1.84849677153,true
v1,walk_forward,T3,M30,CNYRUBF,29,12,17,0.413793103448276,6.083988900565,0.209792720709138,1.51032965079505,1.5004727528105,-0.701275537244765,-0.299543044085,1.68959298194386,7.69567657866,-1.09593625999,19.448275862069,17.5,0.547723508198517,0.496638265179,1.50105240734166,0.902385249723,true
v1,walk_forward,T3,M30,USDRUBF,31,13,18,0.419354838709677,15.4421964346924,0.498135368861046,2.18924823709136,2.18669500400928,-0.721379923190459,-0.194817663812,1.85045079368178,6.4126142904,-1.00972241222,19.5806451612903,16.5,0.649540529832077,0.705689485372,1.76052227926493,0.998439470402,false
v2,baseline,T2,H1,BR,129,48,81,0.372093023255814,20.934712421145,0.162284592411977,1.36745038072622,1.62307518081934,-0.703369089607202,-0.334958972624,1.43430746986638,6.48032455554,-2.35439614092,40.3875968992248,22,0.443664000446853,0.460819346342,1.6752204032832,1.10375253665,false
v2,baseline,T2,H1,CNY,54,23,31,0.425925925925926,64.1037778885066,1.18710699793531,3.84079403437888,3.7682270262367,-0.727917539191529,-0.266968419363,3.9986904940577,21.5671653981,-1.08797009552,51.1111111111111,24.5,0.422743104527724,0.439700368704,2.62893775567315,0.9089879929555,false
v2,baseline,T2,H1,GD,114,39,75,0.342105263157895,15.34378947589,0.134594644525351,1.2782062565257,1.80759890916177,-0.735367573085588,-0.5229952129295,1.59786522713237,6.92923456476,-1.00051775412,36.9649122807018,21.5,0.520188335216816,0.5206677879065,1.61529821193836,0.857289230118,false
v2,baseline,T2,H1,MIX,154,47,107,0.305194805194805,-7.9871337532332,-0.0518645048911247,0.891279816416508,1.39314716010897,-0.686589254937895,-0.4572861734035,1.20827363932067,5.19302104038,-1.00000211784,36.6038961038961,21,0.474325339842144,0.4619608698695,1.29722914344794,0.854840929292,false
v2,baseline,T2,H1,NG,130,52,78,0.4,48.9816271308664,0.376781747160511,1.85768337909915,2.04020856152998,-0.732169462419135,-0.254164649245,1.86030595215935,8.47093425463,-2.59521059978,45.7307692307692,26.5,0.437282232854483,0.447888879849,1.7315506941795,0.953042645312,false
