generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,source_schema_id,source_path,source_row_number,source_trade_id,canonical_trade_key,direction,entry_time,exit_time,entry_date,exit_date,entry_year,entry_month,exit_year,exit_month,entry_weekday,exit_weekday,entry_hour,exit_hour,canonical_C1_R,gross_R,cost_R,MAE_R,MFE_R,exit_reason_raw,entry_price,exit_price,stop_raw,holding_source_value,holding_minutes,holding_hours,MAE_status,MFE_status,exit_reason_status,stop_status,holding_status
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,12,T2-CNY-H1-000011,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|12|T2-CNY-H1-000011,SHORT,2023-09-21 20:00:00+03:00,2023-09-22 10:00:00+03:00,2023-09-21,2023-09-22,2023,9,2023,9,3,4,20,10,-1.05838181852,-1,0.0583818185229,0.583818185229,0.583818185229,INITIAL_STOP,13.13,13.1642572405,13.1642572405,5,840,14,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,13,T2-CNY-H1-000012,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|13|T2-CNY-H1-000012,LONG,2023-10-04 22:00:00+03:00,2023-10-06 12:00:00+03:00,2023-10-04,2023-10-06,2023,10,2023,10,2,4,22,12,3.05315716846,3.09921658752,0.0460594190603,0.690891285905,5.5731897063,ATR_TRAILING_STOP,13.62,13.7545747146,13.5765778284,20,2280,38,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,14,T2-CNY-H1-000013,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|14|T2-CNY-H1-000013,LONG,2023-10-10 11:00:00+03:00,2023-10-10 13:00:00+03:00,2023-10-10,2023-10-10,2023,10,2023,10,1,1,11,13,-0.547624793186,-0.538573143712,0.00905164947415,0.357540154229,0.0407324226337,EMA50_TREND_LOSS,13.752,13.633,13.5310457965,2,120,2,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,15,T2-CNY-H1-000014,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|15|T2-CNY-H1-000014,LONG,2023-10-10 17:00:00+03:00,2023-10-11 12:00:00+03:00,2023-10-10,2023-10-11,2023,10,2023,10,1,2,17,12,-0.402713760029,-0.376732227124,0.0259815329051,0.766455220701,1.48094737559,EMA50_TREND_LOSS,13.71,13.681,13.6330222479,10,1140,19,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,16,T2-CNY-H1-000015,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|16|T2-CNY-H1-000015,SHORT,2023-10-19 21:00:00+03:00,2023-10-23 10:00:00+03:00,2023-10-19,2023-10-23,2023,10,2023,10,3,0,21,10,2.14557371665,2.18021340472,0.0346396880707,0.207838128424,3.61984740339,ATR_TRAILING_STOP,13.209,13.0831204944,13.2667372405,19,5100,85,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,17,T2-CNY-H1-000016,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|17|T2-CNY-H1-000016,SHORT,2023-10-30 11:00:00+03:00,2023-10-30 20:00:00+03:00,2023-10-30,2023-10-30,2023,10,2023,10,0,0,11,20,-0.361246526583,-0.339373325582,0.0218732010015,0,1.19208945458,ATR_TRAILING_STOP,12.754,12.7850309703,12.8454360911,9,540,9,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,18,T2-CNY-H1-000017,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|18|T2-CNY-H1-000017,SHORT,2023-11-21 19:00:00+03:00,2023-11-22 14:00:00+03:00,2023-11-21,2023-11-22,2023,11,2023,11,1,2,19,14,-1.05352305685,-1,0.0535230568538,0.749322795953,1.33807642134,INITIAL_STOP,12.3,12.3373670735,12.3373670735,10,1140,19,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,19,T2-CNY-H1-000018,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|19|T2-CNY-H1-000018,SHORT,2023-11-30 13:00:00+03:00,2023-11-30 16:00:00+03:00,2023-11-30,2023-11-30,2023,11,2023,11,3,3,13,16,-0.984902722977,-0.923346302791,0.061556420186,0.769455252325,0.0923346302791,EMA50_TREND_LOSS,12.394,12.424,12.4264905184,3,180,3,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,20,T2-CNY-H1-000019,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|20|T2-CNY-H1-000019,LONG,2024-02-03 00:00:00+03:00,2024-02-05 16:00:00+03:00,2024-02-03,2024-02-05,2024,2,2024,2,5,0,0,16,-1.11000181043,-0.955596211741,0.154405598693,0,6.09902114836,ATR_TRAILING_STOP,12.598,12.5856222596,12.5850471018,7,3840,64,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,21,T2-CNY-H1-000020,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|21|T2-CNY-H1-000020,LONG,2024-02-19 10:00:00+03:00,2024-02-21 16:00:00+03:00,2024-02-19,2024-02-21,2024,2,2024,2,0,2,10,16,1.18231378242,1.22388023764,0.0415664552249,0.0207832276125,2.3277214926,ATR_TRAILING_STOP,12.724,12.7828878812,12.6758842781,36,3240,54,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,22,T2-CNY-H1-000021,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|22|T2-CNY-H1-000021,SHORT,2024-03-29 16:00:00+03:00,2024-04-01 10:00:00+03:00,2024-03-29,2024-04-01,2024,3,2024,4,4,0,16,10,-0.915091192665,-0.858701373881,0.0563898187847,0.563898187847,1.04321164752,ATR_TRAILING_STOP,12.682,12.7124559012,12.7174673954,9,3960,66,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,23,T2-CNY-H1-000022,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|23|T2-CNY-H1-000022,SHORT,2024-04-26 13:00:00+03:00,2024-04-27 10:00:00+03:00,2024-04-26,2024-04-27,2024,4,2024,4,4,5,13,10,1.36394109806,1.40291084371,0.0389697456587,0.0584546184881,2.96170067006,ATR_TRAILING_STOP,12.655,12.583,12.7063218643,12,1260,21,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,24,T2-CNY-H1-000023,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|24|T2-CNY-H1-000023,SHORT,2024-05-22 15:00:00+03:00,2024-05-27 16:00:00+03:00,2024-05-22,2024-05-27,2024,5,2024,5,2,0,15,16,6.28675574227,6.35058197815,0.0638262358786,0.702088594664,8.80802055124,ATR_TRAILING_STOP,12.428,12.2290040263,12.4593350768,46,7260,121,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,25,T2-CNY-H1-000024,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|25|T2-CNY-H1-000024,LONG,2024-07-16 14:00:00+03:00,2024-07-17 18:00:00+03:00,2024-07-16,2024-07-17,2024,7,2024,7,1,2,14,18,-0.981029682636,-0.941054991668,0.0399746909685,0.599620364527,0.279822836779,ATR_TRAILING_STOP,12.05,12.0029174601,11.9999683437,18,1680,28,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,26,T2-CNY-H1-000025,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|26|T2-CNY-H1-000025,SHORT,2024-08-01 12:00:00+03:00,2024-08-02 11:00:00+03:00,2024-08-01,2024-08-02,2024,8,2024,8,3,4,12,11,-0.328153599747,-0.294650979539,0.0335026202085,0.335026202085,0.787311574899,ATR_TRAILING_STOP,11.777,11.7945897275,11.8366968233,13,1380,23,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,27,T2-CNY-H1-000026,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|27|T2-CNY-H1-000026,SHORT,2024-08-23 18:00:00+03:00,2024-08-27 11:00:00+03:00,2024-08-23,2024-08-27,2024,8,2024,8,4,1,18,11,2.07386215506,2.11244395729,0.0385818022312,0.270072615618,4.28258004766,ATR_TRAILING_STOP,11.855,11.7454953198,11.9068379102,21,5340,89,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,28,T2-CNY-H1-000027,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|28|T2-CNY-H1-000027,LONG,2024-09-02 16:00:00+03:00,2024-09-03 20:00:00+03:00,2024-09-02,2024-09-03,2024,9,2024,9,0,1,16,20,0.250349708843,0.273044582013,0.0226948731704,0.590066702429,1.69076805119,ATR_TRAILING_STOP,12.018,12.0420622259,11.9298743698,18,1680,28,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v1,perpetual,baseline,T2,H1,CNYRUBF,V1_T2_MTF_BASELINE,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,29,T2-CNY-H1-000028,v1|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv|29|T2-CNY-H1-000028,LONG,2024-09-05 13:00:00+03:00,2024-09-10 18:00:00+03:00,2024-09-05,2024-09-10,2024,9,2024,9,3,1,13,18,2.47072723722,2.48691966298,0.0161924257599,0,3.27087000349,ATR_TRAILING_STOP,12.315,12.6221707352,12.1914854612,47,7500,125,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
