lifecycle_stage,strategy,timeframe,normalized_trade_count,Stage3A1_trade_count,trade_count_match,normalized_net_R,Stage3A1_net_R,net_R_delta,normalized_expectancy_R,Stage3A1_expectancy_R,expectancy_delta,normalized_PF,Stage3A1_PF,PF_delta,normalized_win_rate,Stage3A1_win_rate,win_rate_delta,status
baseline,T2,H1,707,707,true,194.36818518782,194.368185188,-1.8007995095104e-10,0.274919639586733,0.274919639587,-2.67397215480969e-13,1.61480664821287,1.61480664821,2.86637380497723e-12,0.370579915134371,0.370579915134,3.70536934468646e-13,PASS
baseline,T2,M30,1438,1438,true,179.500078995144,179.500078995,1.44325440487592e-10,0.124826202361018,0.124826202361,1.83048021185073e-14,1.26342603406161,1.26342603406,1.61026747491633e-12,0.349791376912378,0.349791376912,3.78308495641022e-13,PASS
baseline,T3,H1,741,741,true,151.550692518305,151.550692518,3.04822833641083e-10,0.204521852251424,0.204521852251,4.23522328318882e-13,1.47227192074294,1.47227192074,2.93831625697294e-12,0.406207827260459,0.40620782726,4.58855176077577e-13,PASS
baseline,T3,M30,1563,1563,true,257.573978294096,257.573978294,9.56674739427399e-11,0.164794611832435,0.164794611832,4.34874358745674e-13,1.36949736406822,1.36949736407,-1.78368431136278e-12,0.401151631477927,0.401151631478,-7.29416527178728e-14,PASS
walk_forward,T2,H1,117,117,true,33.5255220369588,33.525522037,-4.12043732467282e-11,0.28654292339281,0.286542923393,-1.89792626059671e-13,1.67624286881242,1.67624286881,2.42161846131239e-12,0.376068376068376,0.376068376068,3.76088049591772e-13,PASS
walk_forward,T2,M30,210,210,true,14.0841726475909,14.0841726476,-9.12159237032029e-12,0.0670674887980518,0.0670674887981,-4.81975570565396e-14,1.13601833651767,1.13601833652,-2.3268054150094e-12,0.4,0.4,0,PASS
walk_forward,T3,H1,95,95,true,29.0909635943158,29.0909635943,1.57989177296258e-11,0.306220669413851,0.306220669414,-1.49491530265777e-13,1.60681155026869,1.60681155027,-1.30873090142813e-12,0.4,0.4,0,PASS
walk_forward,T3,M30,324,324,true,29.5074559538598,29.5074559539,-4.01989552756277e-11,0.0910723949193204,0.0910723949193,2.03725925018716e-14,1.18734689622014,1.18734689622,1.3855583347322e-13,0.37962962962963,0.37962962963,-3.70370401014952e-13,PASS
true_oos,T2,H1,297,297,true,38.7324347460096,38.732434746,9.59943236011895e-12,0.130412238202053,0.130412238202,5.25135490647699e-14,1.26998883491067,1.26998883491,6.70574706873595e-13,0.367003367003367,0.367003367003,3.66984220789845e-13,PASS
true_oos,T2,M30,437,437,true,140.01132872641,140.011328726,4.09642098020413e-10,0.320392056582173,0.320392056582,1.73083769539062e-13,1.63039345829348,1.63039345829,3.47921691457032e-12,0.334096109839817,0.33409610984,-1.83075776760688e-13,PASS
true_oos,T3,H1,327,327,true,64.3352683951956,64.3352683952,-4.43378667114303e-12,0.19674394004647,0.196743940046,4.69652094992057e-13,1.40704236492239,1.40704236492,2.39053221662289e-12,0.373088685015291,0.373088685015,2.90545365544403e-13,PASS
true_oos,T3,M30,698,698,true,155.750286568777,155.750286569,-2.23081997319241e-10,0.223137946373606,0.223137946374,-3.94101418166315e-13,1.45560747392065,1.45560747392,6.53033183084517e-13,0.392550143266476,0.392550143266,4.75619543749417e-13,PASS
