generation,lifecycle_stage,strategy,timeframe,trades,trades_with_MAE,trades_with_MFE,avg_MAE,median_MAE,p25_MAE,p75_MAE,avg_MFE,median_MFE,p25_MFE,p75_MFE,winner_avg_MAE,loser_avg_MAE,winner_avg_MFE,loser_avg_MFE
v1,baseline,T2,H1,79,79,79,0.449668168549421,0.470999231521,0.2533999966265,0.609691558541,2.51890991078276,1.19208945458,0.3180873806955,3.116285336775,0.368471525271494,0.5142564075205,4.89171663477229,0.631450016700186
v1,baseline,T2,M30,178,178,178,0.458312323728202,0.4812996019145,0.236721138544,0.667800273407,1.67764321711333,1.008943342625,0.33315848806475,1.97190776748,0.339897801556664,0.515546009444446,3.84735714382872,0.628948152534218
v1,baseline,T3,H1,114,114,114,0.551558333724977,0.551073658931,0.2037224701765,0.96245610743525,2.06691576450785,1.26522441427,0.41716863303475,2.40357477108,0.254716826134948,0.783465761529687,3.992100718752,0.562865019004605
v1,baseline,T3,M30,235,235,235,0.584906120375522,0.570111828099,0.257510907787,0.991472358363,1.79042483364123,1.06017583613,0.326723167842,2.54777440084,0.316637467131851,0.794236963436871,3.47791900333058,0.473668019413939
v1,true_oos,T2,H1,69,69,69,0.494992618835762,0.49850805773,0.352970566563,0.68599039595,2.09918832862886,0.959519536098,0.403301675691,2.20417181531,0.39476141817522,0.572093542420795,4.1420336105033,0.527768881033144
v1,true_oos,T2,M30,171,171,171,0.484294649481547,0.484311246401,0.306673430994,0.6984850381665,1.54478940784293,0.70613160406,0.2335402614865,1.69391958766,0.386412642568655,0.528258601739033,3.83897578190225,0.514349765256966
v1,true_oos,T3,H1,97,97,97,0.524128813682817,0.466572969169,0.217119802436,0.885623072785,1.99759433277116,1.26532670585,0.466126038036,2.90616942449,0.316069369944028,0.689805778141483,3.78128395231023,0.577248894990041
v1,true_oos,T3,M30,162,162,162,0.561388736137773,0.5829049223525,0.24675219951725,0.94937461293325,1.86074026141096,1.088189456805,0.41533750271975,2.176017276715,0.286522191377197,0.781281971946233,3.51186966133139,0.539836741474623
v1,walk_forward,T2,H1,33,33,33,0.4529363601139,0.474498999074,0.238787177634,0.672596284286,2.504095338467,1.51246555955,0.370203087118,2.90306188486,0.391207279466106,0.511034318370647,4.32980014509687,0.785784932227124
v1,walk_forward,T2,M30,67,67,67,0.473516016110616,0.513002730203,0.195330594003,0.694529523217,1.51785538905294,0.988936085728,0.1788966331165,1.801085216455,0.375837021223524,0.518108600732985,3.55483119779,0.587931650281672
v1,walk_forward,T3,H1,34,34,34,0.553509154037315,0.5218877826685,0.1862676516055,0.964488919117,2.51080945216794,1.39956442914,0.322521485226,2.5799852033,0.272331329864571,0.834686978210059,4.53675752706059,0.484861377275294
v1,walk_forward,T3,M30,60,60,60,0.600328969375857,0.5852115207625,0.31695582341175,0.98782041112825,1.63511184116868,0.9504123600625,0.33771229602775,2.0693654862575,0.409759436268376,0.736450064452629,3.2766800094616,0.462563149530883
v2,baseline,T2,H1,707,707,707,0.456169058364585,0.453725631785,0.230729583359,0.6896521072455,1.69777956581222,0.953004600772,0.331418641852,2.24330107093,0.360071853685089,0.512747637299479,3.61104946090245,0.571315043309656
v2,baseline,T2,M30,1438,1438,1438,0.452245873880867,0.4500602374375,0.2136143825365,0.6949911240895,1.52385914837455,0.862892701696,0.28912064922375,1.9953847256225,0.338478617782025,0.513449007375751,3.31056505316669,0.562668699058572
