generation,lifecycle_stage,strategy,timeframe,exit_reason,eligible_trades,median_retention_ratio,mean_retention_ratio,p25,p75,share_retention_ge_0_5,share_retention_ge_0_25,share_retention_le_0,share_retention_lt_0
v1,baseline,T2,H1,ATR_TRAILING_STOP,58,0.231155303066199,-0.193637088486731,-0.526818663862352,0.55920423761497,0.362068965517241,0.5,0.396551724137931,0.396551724137931
v1,baseline,T2,H1,EMA50_TREND_LOSS,6,-2.38097826086784,-5.03527735401081,-8.62173913043434,-1.36874999999956,0,0,1,1
v1,baseline,T2,H1,INITIAL_STOP,11,-4.43381790350541,-6.71509582537263,-7.9637735757576,-2.60402027808955,0,0,1,1
v1,baseline,T2,M30,ATR_TRAILING_STOP,115,-0.00943440123598122,-0.571083238409033,-0.431096311731157,0.439407083665947,0.208695652173913,0.365217391304348,0.504347826086956,0.504347826086956
v1,baseline,T2,M30,EMA50_TREND_LOSS,16,-1.1100000000003,-4.73715956409399,-2.06749999999691,-0.597500000000041,0,0,0.9375,0.9375
v1,baseline,T2,M30,INITIAL_STOP,33,-3.52530007842727,-7.25615106846314,-7.17813894580835,-2.31754642089608,0,0,1,1
v1,baseline,T3,H1,ATR_TRAILING_STOP,111,-0.264090142213878,-1.59256144568475,-2.24834659665206,0.432481047609216,0.216216216216216,0.36036036036036,0.54954954954955,0.54954954954955
v1,baseline,T3,M30,ATR_TRAILING_STOP,216,-0.0529264036567643,-2.00049611582076,-1.85181474230833,0.476219498205127,0.226851851851852,0.361111111111111,0.523148148148148,0.523148148148148
v1,true_oos,T2,H1,ATR_TRAILING_STOP,49,0.211835591515502,-0.389476957860918,-0.975439666980861,0.499478830228482,0.244897959183673,0.448979591836735,0.408163265306122,0.408163265306122
v1,true_oos,T2,H1,EMA50_TREND_LOSS,4,-5.80833333333721,-7.11545698924154,-12.3124999999977,-0.611290322581036,0,0,0.75,0.75
v1,true_oos,T2,H1,INITIAL_STOP,14,-2.84567309672259,-3.40731385975896,-4.67109841656079,-1.79314398544296,0,0,1,1
v1,true_oos,T2,M30,ATR_TRAILING_STOP,104,0.00895610308915996,-0.299248246904755,-0.682547087657906,0.37598448809595,0.182692307692308,0.346153846153846,0.490384615384615,0.490384615384615
v1,true_oos,T2,M30,EMA50_TREND_LOSS,19,-1.5000000000011,-3.57976570202425,-4.93333333334455,-0.801131221719998,0,0,1,1
v1,true_oos,T2,M30,INITIAL_STOP,36,-4.94516746871537,-6.36883647762032,-7.6908517687872,-2.71994251191721,0,0,1,1
v1,true_oos,T3,H1,ATR_TRAILING_STOP,92,-0.0423605118629746,-1.81301811834718,-0.834842714815871,0.476109601087044,0.206521739130435,0.369565217391304,0.532608695652174,0.532608695652174
v1,true_oos,T3,M30,ATR_TRAILING_STOP,161,-0.125955880150825,-2.21695318844412,-2.22266743441392,0.382500920850105,0.167701863354037,0.335403726708075,0.552795031055901,0.552795031055901
v1,walk_forward,T2,H1,ATR_TRAILING_STOP,26,0.239146667447739,-0.0672940170876143,-0.420278335473289,0.50200946177466,0.269230769230769,0.5,0.384615384615385,0.384615384615385
v1,walk_forward,T2,H1,EMA50_TREND_LOSS,1,-2.27499999999616,-2.27499999999616,-2.27499999999616,-2.27499999999616,0,0,1,1
v1,walk_forward,T2,H1,INITIAL_STOP,4,-5.61304273188386,-9.90416627145143,-11.4259450036325,-4.09126399970278,0,0,1,1
v1,walk_forward,T2,M30,ATR_TRAILING_STOP,44,-0.0230857814456998,-1.05189222492767,-0.427935888755194,0.40335263371149,0.181818181818182,0.386363636363636,0.522727272727273,0.522727272727273
v1,walk_forward,T2,M30,EMA50_TREND_LOSS,2,-11.4199999999779,-11.4199999999779,-16.2099999999689,-6.62999999998688,0,0,1,1
v1,walk_forward,T2,M30,INITIAL_STOP,13,-5.24653748072328,-8.43101596839962,-7.08988645656789,-2.22599742785184,0,0,1,1
v1,walk_forward,T3,H1,ATR_TRAILING_STOP,34,-0.0481942884738661,-1.50041115723745,-3.05749906633146,0.538245310161068,0.294117647058824,0.411764705882353,0.5,0.5
v1,walk_forward,T3,M30,ATR_TRAILING_STOP,57,-0.205714285714387,-2.67042093276056,-2.27941696829326,0.476201520118441,0.210526315789474,0.333333333333333,0.56140350877193,0.56140350877193
v2,baseline,T2,H1,ATR_TRAILING_STOP,461,0.135503256571724,-0.335039871974868,-0.463960615367322,0.509871838513309,0.251626898047722,0.446854663774403,0.438177874186551,0.438177874186551
v2,baseline,T2,H1,EMA50_TREND_LOSS,72,-1.62658262728317,-4.07971367266593,-4.0252626663791,-0.701394908165363,0,0,0.958333333333333,0.958333333333333
