generation,lifecycle_stage,strategy,timeframe,exit_reason,eligible_trades,median_retention_ratio,mean_retention_ratio,p25,p75,share_retention_ge_0_5,share_retention_ge_0_25,share_retention_le_0,share_retention_lt_0
v2,baseline,T2,H1,INITIAL_STOP,145,-3.84810890170667,-12.0001203953516,-7.96998026354605,-2.22278494998737,0,0,1,1
v2,baseline,T2,M30,ATR_TRAILING_STOP,933,0.0707041626272004,-0.567225458689618,-0.559439493478219,0.449398455149151,0.220793140407288,0.39978563772776,0.463022508038585,0.463022508038585
v2,baseline,T2,M30,EMA50_TREND_LOSS,131,-1.83486456169908,-7.48677913437633,-3.98410125808924,-0.859414697898515,0,0.00763358778625954,0.984732824427481,0.984732824427481
v2,baseline,T2,M30,INITIAL_STOP,275,-4.25042774337844,-9.90704228327681,-9.54229463121294,-2.1163465434388,0,0,1,1
v2,baseline,T3,H1,ATR_TRAILING_STOP,722,-0.278892062265209,-3.20991312391639,-2.11343341308806,0.383954088433829,0.174515235457064,0.314404432132964,0.583102493074792,0.583102493074792
v2,baseline,T3,M30,ATR_TRAILING_STOP,1497,-0.256561532797699,-3.03594425349005,-2.1855577322418,0.344126416384563,0.162992651970608,0.31062124248497,0.581162324649299,0.581162324649299
v2,true_oos,T2,H1,ATR_TRAILING_STOP,191,0.126230687785054,-0.39158818369941,-0.471422769837833,0.422329849007896,0.198952879581152,0.43979057591623,0.429319371727749,0.429319371727749
v2,true_oos,T2,H1,EMA50_TREND_LOSS,26,-2.75949270937793,-4.94919388600988,-4.48447756214541,-1.44472026885876,0,0,1,1
v2,true_oos,T2,H1,INITIAL_STOP,59,-5.11968291792159,-9.50752722247364,-10.4242348835344,-2.71891798619163,0,0,1,1
v2,true_oos,T2,M30,ATR_TRAILING_STOP,284,0.0406446023536753,-0.34643696376455,-0.681688982506448,0.443424588620602,0.221830985915493,0.369718309859155,0.485915492957746,0.485915492957746
v2,true_oos,T2,M30,EMA50_TREND_LOSS,29,-2.18871216533335,-8.64209802923535,-4.00001030167902,-1.46113578413301,0,0,1,1
v2,true_oos,T2,M30,INITIAL_STOP,97,-4.10993845023456,-11.5610716346633,-8.66851419905016,-1.75678023373615,0,0,1,1
v2,true_oos,T3,H1,ATR_TRAILING_STOP,308,-0.35051620182303,-4.02439404471764,-2.27150842631426,0.38664977303578,0.191558441558442,0.295454545454545,0.603896103896104,0.603896103896104
v2,true_oos,T3,M30,ATR_TRAILING_STOP,671,-0.423983270631058,-3.22796639005315,-2.69666175329665,0.390951615253143,0.193740685543964,0.312965722801788,0.591654247391952,0.591654247391952
v2,walk_forward,T2,H1,ATR_TRAILING_STOP,87,0.0308744631027771,-0.47475361537129,-0.590550353312686,0.481338598996866,0.252873563218391,0.413793103448276,0.494252873563218,0.494252873563218
v2,walk_forward,T2,H1,EMA50_TREND_LOSS,7,-0.803791963641009,-1.48770966357529,-1.29124262795672,-0.660902734351133,0,0,1,1
v2,walk_forward,T2,H1,INITIAL_STOP,17,-7.08764109109228,-18.0001654407232,-12.0131404646343,-3.03003798085666,0,0,1,1
v2,walk_forward,T2,M30,ATR_TRAILING_STOP,147,0.109750566066359,-0.640196502346456,-0.791413013133584,0.408469144804798,0.17687074829932,0.380952380952381,0.435374149659864,0.435374149659864
v2,walk_forward,T2,M30,EMA50_TREND_LOSS,17,-1.25122354243393,-4.68492859004818,-2.83334284555886,-0.723029217699216,0,0,0.941176470588235,0.941176470588235
v2,walk_forward,T2,M30,INITIAL_STOP,32,-5.3566725735317,-15.0827557885677,-25.8922966006382,-2.29797739014036,0,0,1,1
v2,walk_forward,T3,H1,ATR_TRAILING_STOP,91,-0.454821351436714,-4.20530863307534,-2.96985196324534,0.414315629264353,0.230769230769231,0.32967032967033,0.582417582417582,0.582417582417582
v2,walk_forward,T3,M30,ATR_TRAILING_STOP,307,-0.301851082675583,-2.82135109753589,-2.19068561897772,0.312631764458243,0.123778501628664,0.283387622149837,0.599348534201954,0.599348534201954
v3,baseline,T2,H1,ATR_TRAILING_STOP,129,0.116096965489024,-0.293120678134021,-0.487038251986382,0.524387075144119,0.27906976744186,0.449612403100775,0.457364341085271,0.457364341085271
v3,baseline,T2,H1,EMA50_TREND_LOSS,11,-1.06666666666713,-3.13996284922536,-2.38097826086976,-0.695614464858713,0,0,1,1
v3,baseline,T2,H1,INITIAL_STOP,24,-3.08647998758374,-7.22690387019387,-6.48175643862299,-1.77736020077424,0,0,1,1
v3,baseline,T2,M30,ATR_TRAILING_STOP,241,0.109846153846017,-0.352385852419476,-0.441497461259642,0.490510608196396,0.240663900414938,0.419087136929461,0.443983402489627,0.443983402489627
v3,baseline,T2,M30,EMA50_TREND_LOSS,31,-1.17085365853492,-4.52620870634773,-3.37599999999512,-0.613333333334087,0,0,0.967741935483871,0.967741935483871
v3,baseline,T2,M30,INITIAL_STOP,63,-3.39315772520851,-13.7160583176845,-7.21359430738874,-1.90863771568218,0,0,1,1
v3,baseline,T3,H1,ATR_TRAILING_STOP,177,-0.0462992247667146,-1.46998519052999,-1.45721404570565,0.442191816116418,0.192090395480226,0.344632768361582,0.519774011299435,0.519774011299435
v3,baseline,T3,M30,ATR_TRAILING_STOP,371,-0.106896484467449,-2.43209369424528,-1.7251939778117,0.437723310202391,0.188679245283019,0.355795148247978,0.53099730458221,0.53099730458221
v3,true_oos,T2,H1,ATR_TRAILING_STOP,108,0.197224011571774,-0.163121266020393,-0.613660099959385,0.544710517435494,0.287037037037037,0.472222222222222,0.425925925925926,0.425925925925926
v3,true_oos,T2,H1,EMA50_TREND_LOSS,9,-9.66799999999272,-7.90385031530702,-10.7500000000073,-0.595072463767608,0,0,0.888888888888889,0.888888888888889
v3,true_oos,T2,H1,INITIAL_STOP,42,-4.63043588018513,-8.61976201276678,-9.52891672189368,-2.14839933750133,0,0,1,1
v3,true_oos,T2,M30,ATR_TRAILING_STOP,206,0.0966922230909341,-0.256647092243386,-0.532692237795894,0.446537530308435,0.218446601941748,0.393203883495146,0.436893203883495,0.436893203883495
v3,true_oos,T2,M30,EMA50_TREND_LOSS,41,-1.5000000000011,-3.7679080363389,-6.19999999998241,-0.717647058822923,0,0,1,1
v3,true_oos,T2,M30,INITIAL_STOP,83,-3.32786542991722,-7.39433272185134,-8.26105282360087,-2.06903689293421,0,0,1,1
v3,true_oos,T3,H1,ATR_TRAILING_STOP,194,-0.234161263718285,-3.29872512786848,-1.88602048092417,0.48702369955276,0.231958762886598,0.345360824742268,0.556701030927835,0.556701030927835
v3,true_oos,T3,M30,ATR_TRAILING_STOP,356,-0.231221085950573,-3.09375100000719,-2.16397560339494,0.432474074058545,0.188202247191011,0.342696629213483,0.542134831460674,0.542134831460674
v3,walk_forward,T2,H1,ATR_TRAILING_STOP,59,0.283006954528892,-0.0130471800680154,-0.272776623086324,0.520917594358209,0.288135593220339,0.525423728813559,0.355932203389831,0.355932203389831
v3,walk_forward,T2,H1,EMA50_TREND_LOSS,4,-1.25782282805767,-1.30292457192322,-1.78713028169112,-0.773617118289772,0,0,1,1
v3,walk_forward,T2,H1,INITIAL_STOP,16,-2.84273773909599,-8.11415333205034,-6.33649315155423,-2.06141628747096,0,0,1,1
v3,walk_forward,T2,M30,ATR_TRAILING_STOP,124,0.198389887851418,-0.291089438295265,-0.285905234609783,0.492026372883979,0.241935483870968,0.451612903225806,0.403225806451613,0.403225806451613
v3,walk_forward,T2,M30,EMA50_TREND_LOSS,13,-1.72222222222247,-3.39167925980958,-3.00099999999486,-1.00036363636361,0,0,1,1
v3,walk_forward,T2,M30,INITIAL_STOP,40,-3.54066864210349,-16.4012907616496,-6.90451419947631,-1.87250473592704,0,0,1,1
v3,walk_forward,T3,H1,ATR_TRAILING_STOP,64,0.0842552792924744,-0.660594301691584,-0.611897038350483,0.501807068512809,0.25,0.390625,0.4375,0.4375
v3,walk_forward,T3,M30,ATR_TRAILING_STOP,160,-0.312815359163396,-4.5881792682769,-2.07029334333286,0.417460929688582,0.175,0.3375,0.575,0.575
