generation,lifecycle_stage,strategy,timeframe,holding_bucket,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,baseline,T2,H1,12–24h,22,3,19,0.136363636363636,-12.305583514301,-0.5593447051955,0.160642854387455,0.785046854398667,-0.771617056710369,-0.74025867922,0.598962084166233,1.36394109806,-1.05838181852,17.9545454545455,18,0.439369789135509,0.4590579168685,0.787143186132773,0.518283019544,true
v1,baseline,T2,H1,1–3h,2,0,2,0,-1.555100161786,-0.777550080893,0,NA,-0.777550080893,-0.777550080893,0.229925287707,-0.547624793186,-1.0074753686,2,2,0.664669036373,0.664669036373,0.02036621131685,0.02036621131685,true
v1,baseline,T2,H1,24–48h,18,10,8,0.555555555555556,8.27157794664295,0.459532108146831,2.8482833474476,1.27468538604068,-0.559409489220475,0.127540433414875,1.18354957017755,3.05315716846,-0.99386164346,34.9444444444444,34,0.538294897859033,0.594843533478,2.02337209622461,1.60161680391,true
v1,baseline,T2,H1,3–6h,7,0,7,0,-7.107621568087,-1.01537450972671,0,NA,-1.01537450972671,-1.00648577298,0.0214701266796596,-0.984902722977,-1.05287252496,3.85714285714286,4,0.562366272816714,0.560435195281,0.175950163844057,0.156863259681,true
v1,baseline,T2,H1,48–96h,18,14,4,0.777777777777778,29.9605872441404,1.66447706911891,11.2975086686071,2.34786327589481,-0.72737465459675,1.60939676176,1.8879267266027,5.24876730599,-1.11000181043,71.1666666666667,69.5,0.396401019501194,0.351039506453,4.24699512884667,3.261454633405,true
v1,baseline,T2,H1,6–12h,4,0,4,0,-2.499688834216,-0.624922208554,0,NA,-0.624922208554,-0.5652413675215,0.237160943135061,-0.361246526583,-1.00795957259,9,9,0.2978521126895,0.32009783695,0.749454430815525,0.8829652028715,true
v1,baseline,T2,H1,>96h,8,8,0,1,44.82817630938,5.6035220386725,NA,5.6035220386725,NA,4.768564427575,4.05857639630633,15.3747740568,1.53944286776,116.25,117,0.32197662608975,0.279903419954,8.06749018910375,7.840289123395,true
v1,baseline,T2,M30,12–24h,54,22,32,0.407407407407407,16.7157061423873,0.309550113747913,2.31678099384844,1.33682167726919,-0.396699086172963,-0.1630945022585,1.15255783682625,4.95467216217,-1.02749233241,18.4814814814815,19,0.40394079046653,0.3789726543085,1.73342919049944,1.19929437727,false
v1,baseline,T2,M30,1–3h,37,1,36,0.027027027027027,-29.803665251766,-0.805504466263946,0.039966262820059,1.2407283956,-0.862344267982389,-1.00634362784,0.420362622492955,1.2407283956,-1.07079919273,1.81081081081081,2,0.552468994773276,0.597096289876,0.477358911739638,0.29566648315,false
v1,baseline,T2,M30,24–48h,16,14,2,0.875,56.6418077389846,3.54011298368654,178.404769012066,4.06864912948314,-0.159640036889685,2.725718267865,3.84669892548731,14.7507391821,-0.310245648333,33.3125,30.75,0.353174184761813,0.3402544690635,5.52127866653781,4.165308803135,true
