generation,lifecycle_stage,strategy,timeframe,exit_reason,trades,share,net_R,expectancy_R,avg_MAE_R,avg_MFE_R,median_MFE_R,avg_holding_hours,median_holding_hours,p75_holding_hours,p90_holding_hours,share_reached_0_5R,share_reached_1R,share_reached_2R,share_finished_negative
v1,true_oos,T2,H1,INITIAL_STOP,15,0.217391304347826,-15.31089266436,-1.020726177624,0.662556506280733,0.4246958141168,0.342144715991,14.0666666666667,5,10.5,46.6,0.333333333333333,0.0666666666666667,0,1
v1,true_oos,T2,M30,ATR_TRAILING_STOP,104,0.608187134502924,88.1708151990003,0.847796299990388,0.447969562913169,2.36421914708353,1.36948577293,28.1923076923077,20.75,30.75,67.35,0.913461538461538,0.615384615384615,0.326923076923077,0.490384615384615
v1,true_oos,T2,M30,EMA50_TREND_LOSS,21,0.12280701754386,-12.677754380538,-0.603702589549429,0.388618931468905,0.371481808330252,0.32200826414,6.47619047619048,3.5,14.5,17,0.380952380952381,0.0476190476190476,0,1
v1,true_oos,T2,M30,INITIAL_STOP,46,0.269005847953216,-47.37923751896,-1.02998342432522,0.610098977337565,0.22780607542432,0.1548892958655,2.44565217391304,1.5,3,5,0.108695652173913,0,0,1
v1,true_oos,T3,H1,ATR_TRAILING_STOP,97,1,57.2306821034161,0.59000703199398,0.524128813682817,1.99759433277116,1.26532670585,31.9175257731959,24,39,66.8,0.742268041237113,0.556701030927835,0.371134020618557,0.556701030927835
v1,true_oos,T3,M30,ATR_TRAILING_STOP,162,1,72.7030270730298,0.448784117734752,0.561388736137773,1.86074026141096,1.088189456805,15.5216049382716,14.25,22.375,25.4,0.709876543209877,0.512345679012346,0.290123456790123,0.555555555555556
v1,walk_forward,T2,H1,ATR_TRAILING_STOP,26,0.787878787878788,33.616890397378,1.29295732297608,0.410535248793758,3.13933682504219,2.37186152787,55.1538461538462,45.5,69.75,107.5,0.923076923076923,0.730769230769231,0.538461538461538,0.384615384615385
v1,walk_forward,T2,H1,EMA50_TREND_LOSS,1,0.0303030303030303,-0.577438206774,-0.577438206774,0.44418323598,0.253818991989,0.253818991989,19,19,19,19,0,0,0,1
v1,walk_forward,T2,H1,INITIAL_STOP,6,0.181818181818182,-6.0849391294,-1.01415652156667,0.638133363190167,0.12642828772085,0.09394812983705,9,7.5,14.75,16.5,0,0,0,1
v1,walk_forward,T2,M30,ATR_TRAILING_STOP,44,0.656716417910448,28.4889322059506,0.647475731953423,0.429430982362689,2.18766698517652,1.47427490805,18.2954545454545,17.5,20.125,37.15,0.909090909090909,0.704545454545455,0.340909090909091,0.522727272727273
v1,walk_forward,T2,M30,EMA50_TREND_LOSS,6,0.0895522388059701,-3.228389414822,-0.538064902470333,0.161653400060333,0.0615900555307667,0,0.833333333333333,0.5,0.875,1.5,0,0,0,1
v1,walk_forward,T2,M30,INITIAL_STOP,17,0.253731343283582,-17.56726736158,-1.03336866832824,0.697687615005353,0.298201375623253,0.158955432388,2.61764705882353,2.5,3,4,0.176470588235294,0.117647058823529,0,1
v1,walk_forward,T3,H1,ATR_TRAILING_STOP,34,1,32.9117048791005,0.967991319973545,0.553509154037315,2.51080945216794,1.39956442914,49.1176470588235,36.5,74,95.8,0.647058823529412,0.558823529411765,0.352941176470588,0.5
v1,walk_forward,T3,M30,ATR_TRAILING_STOP,60,1,21.5261853352574,0.358769755587624,0.600328969375857,1.63511184116868,0.9504123600625,19.5166666666667,17.25,23,40.35,0.683333333333333,0.483333333333333,0.266666666666667,0.583333333333333
v2,baseline,T2,H1,ATR_TRAILING_STOP,462,0.653465346534653,405.76495212099,0.878279117145001,0.400782505268332,2.40325391275948,1.6579957635,55.9523809523809,41,90,117.9,0.876623376623377,0.688311688311688,0.422077922077922,0.439393939393939
v2,baseline,T2,H1,EMA50_TREND_LOSS,79,0.111739745403112,-41.5033548954705,-0.525358922727475,0.457114952147894,0.466289324767072,0.269159953435,21.0632911392405,16,22.5,64,0.329113924050633,0.151898734177215,0,0.962025316455696
v2,baseline,T2,H1,INITIAL_STOP,166,0.234794908062235,-169.8934120377,-1.02345428938373,0.60986702174764,0.320421618540735,0.2299221061175,13.6144578313253,5,16,22.5,0.192771084337349,0.0662650602409639,0.00602409638554217,1
v2,baseline,T2,M30,ATR_TRAILING_STOP,934,0.649513212795549,630.121536091405,0.674648325579663,0.404972826238372,2.17683511063591,1.541213645695,28.3559957173448,19.5,27.875,69,0.870449678800857,0.683083511777302,0.382226980728051,0.463597430406852
v2,baseline,T2,M30,EMA50_TREND_LOSS,154,0.107093184979138,-89.830970864011,-0.583317992623448,0.475479055997649,0.362464085880477,0.289339766411,7.56493506493506,2.75,10.5,17.5,0.279220779220779,0.0584415584415584,0.00649350649350649,0.987012987012987
v2,baseline,T2,M30,INITIAL_STOP,350,0.243393602225313,-360.79048623225,-1.03082996066357,0.56817477802974,0.292359979437349,0.1735472909915,6.26857142857143,2,4,14.5,0.191428571428571,0.0485714285714286,0.00285714285714286,1
v2,baseline,T3,H1,ATR_TRAILING_STOP,741,1,151.550692518305,0.204521852251424,0.593902739650715,1.59062742566393,1.03236937869,39.693657219973,24,64,95,0.699055330634278,0.522267206477733,0.276653171390013,0.593792172739541
v2,baseline,T3,M30,ATR_TRAILING_STOP,1563,1,257.573978294096,0.164794611832435,0.608210785410455,1.51626541681315,0.999071071607,21.2789507357646,14.5,24,65.5,0.680742162507997,0.499040307101727,0.259117082533589,0.598848368522073
v2,true_oos,T2,H1,ATR_TRAILING_STOP,191,0.643097643097643,140.786815638943,0.737103746800749,0.368912321074201,2.19529991610364,1.52709378647,42.1413612565445,28,63,76,0.879581151832461,0.68586387434555,0.371727748691099,0.429319371727749
v2,true_oos,T2,H1,EMA50_TREND_LOSS,29,0.0976430976430976,-17.4730922972635,-0.602520424043569,0.438757788377645,0.294209355855179,0.194614001036,17.1379310344828,7,21,52.2,0.206896551724138,0.0344827586206897,0,1
v2,true_oos,T2,H1,INITIAL_STOP,77,0.259259259259259,-84.58128859567,-1.09845829345026,0.541639926505162,0.251967260185222,0.156143689288,10.2337662337662,6,13,18,0.155844155844156,0.051948051948052,0,1
v2,true_oos,T2,M30,ATR_TRAILING_STOP,286,0.654462242562929,284.571940650319,0.995006785490625,0.421526681049963,2.50541365175044,1.32182058288,23.1381118881119,18.5,24,62.5,0.86013986013986,0.632867132867133,0.335664335664336,0.48951048951049
v2,true_oos,T2,M30,EMA50_TREND_LOSS,35,0.080091533180778,-21.487258737039,-0.613921678201114,0.478130158734314,0.260627306002911,0.232086870705,7.48571428571429,3,11,17.3,0.228571428571429,0.0285714285714286,0,1
v2,true_oos,T2,M30,INITIAL_STOP,116,0.265446224256293,-123.07335318687,-1.06097718264543,0.594051373897277,0.331607906120796,0.185900092662,4.76724137931035,2,5,12.75,0.232758620689655,0.0689655172413793,0.00862068965517241,1
v2,true_oos,T3,H1,ATR_TRAILING_STOP,327,1,64.3352683951956,0.19674394004647,0.623839471517699,1.56088321150715,0.841757744697,31.6269113149847,23,44.5,70.4,0.651376146788991,0.44954128440367,0.244648318042813,0.62691131498471
v2,true_oos,T3,M30,ATR_TRAILING_STOP,698,1,155.750286568777,0.223137946373606,0.632964211196967,1.57825788803423,0.902874011925,17.7901146131805,14.75,22.375,43.5,0.653295128939828,0.467048710601719,0.265042979942693,0.607449856733524
v2,walk_forward,T2,H1,ATR_TRAILING_STOP,88,0.752136752136752,58.9760499884227,0.670182386232076,0.43134487058665,2.13470460974815,1.307965631235,50.3181818181818,29.5,73.5,107.5,0.829545454545455,0.659090909090909,0.340909090909091,0.5
v2,walk_forward,T2,H1,EMA50_TREND_LOSS,9,0.0769230769230769,-5.0536755297639,-0.5615195033071,0.375876833791722,0.568568844913556,0.558472651964,19.2222222222222,15,20,35.8,0.555555555555556,0.222222222222222,0,1
v2,walk_forward,T2,H1,INITIAL_STOP,20,0.170940170940171,-20.3968524217,-1.019842621085,0.62948632572065,0.218300074987485,0.138645619045,11.35,4,16,19.2,0.1,0.05,0,1
v2,walk_forward,T2,M30,ATR_TRAILING_STOP,148,0.704761904761905,74.6716863667549,0.504538421396992,0.400315545391048,1.98563429457279,1.45422993578,25.4121621621622,19,24.125,65.3,0.837837837837838,0.668918918918919,0.337837837837838,0.439189189189189
v2,walk_forward,T2,M30,EMA50_TREND_LOSS,20,0.0952380952380952,-10.383721906144,-0.5191860953072,0.382047134628945,0.469684817903225,0.3701337499015,6.05,2.25,6.625,18.25,0.35,0.1,0.05,0.95
v2,walk_forward,T2,M30,INITIAL_STOP,42,0.2,-50.20379181302,-1.19532837650048,0.528878875527786,0.228917695938952,0.09842746304405,3.51190476190476,2,3.375,11.45,0.166666666666667,0.0238095238095238,0,1
v2,walk_forward,T3,H1,ATR_TRAILING_STOP,95,1,29.0909635943158,0.306220669413851,0.631313689500322,1.71858101089117,0.936814998537,40.5157894736842,24,63.5,95.6,0.610526315789474,0.494736842105263,0.305263157894737,0.6
v2,walk_forward,T3,M30,ATR_TRAILING_STOP,324,1,29.5074559538598,0.0910723949193204,0.630582176592398,1.46412718222874,0.9091208557445,21.3101851851852,15.75,23.125,66,0.654320987654321,0.475308641975309,0.231481481481481,0.62037037037037
v3,baseline,T2,H1,ATR_TRAILING_STOP,129,0.732954545454545,121.616440051163,0.942763101171805,0.393759561812315,2.61123336512739,1.72168622097,44.3333333333333,28,67,101,0.868217054263566,0.697674418604651,0.465116279069767,0.457364341085271
v3,baseline,T2,H1,EMA50_TREND_LOSS,14,0.0795454545454545,-7.714214820098,-0.551015344292714,0.418862035851086,0.371835750449171,0.2977972543345,14.8571428571429,11,19,20.7,0.285714285714286,0.0714285714285714,0,1
v3,baseline,T2,H1,INITIAL_STOP,33,0.1875,-33.41533647893,-1.01258595390697,0.591655895589939,0.300219253925412,0.161584946654,10.5454545454545,5,16,18,0.212121212121212,0.0606060606060606,0,1
v3,baseline,T2,M30,ATR_TRAILING_STOP,244,0.666666666666667,203.387157697398,0.833553924989337,0.391836244663451,2.35576039416845,1.54927402746,25.6311475409836,18.5,25.625,68.5,0.901639344262295,0.721311475409836,0.413934426229508,0.450819672131148
v3,baseline,T2,M30,EMA50_TREND_LOSS,41,0.112021857923497,-22.3357865242122,-0.544775281078347,0.444305016867244,0.336869313675237,0.262414500632,5.9390243902439,3.5,8,17,0.292682926829268,0.0487804878048781,0,0.975609756097561
v3,baseline,T2,M30,INITIAL_STOP,81,0.221311475409836,-84.13973332799,-1.03876213985173,0.608263258342895,0.306032365231313,0.199088638872,3.2716049382716,2,3.5,7,0.209876543209877,0.037037037037037,0.0123456790123457,1
v3,baseline,T3,H1,ATR_TRAILING_STOP,184,1,82.1732181620042,0.446593576967414,0.532499353348179,2.0001842584676,1.252126204345,38.0326086956522,25,49,91.1000000000001,0.744565217391304,0.543478260869565,0.33695652173913,0.53804347826087
v3,baseline,T3,M30,ATR_TRAILING_STOP,398,1,130.435244893839,0.327726745964419,0.573185970605492,1.74105370326695,1.01328815445,19.855527638191,14.5,23,64.15,0.688442211055276,0.507537688442211,0.298994974874372,0.562814070351759
v3,true_oos,T2,H1,ATR_TRAILING_STOP,108,0.627906976744186,125.22821798513,1.15952053689935,0.443323222979894,2.73845768774829,1.749764808665,47.6666666666667,38.5,70,90.9,0.87962962962963,0.694444444444444,0.407407407407407,0.425925925925926
v3,true_oos,T2,H1,EMA50_TREND_LOSS,12,0.0697674418604651,-6.976246668632,-0.581353889052667,0.42508609553825,0.300936979672983,0.0745948541394,13,6,17.25,27.3,0.333333333333333,0.0833333333333333,0,0.916666666666667
v3,true_oos,T2,H1,INITIAL_STOP,52,0.302325581395349,-52.7162388901,-1.01377382480962,0.522361447222596,0.275276348446608,0.1607646597695,10.5384615384615,5,10.5,17,0.192307692307692,0.0384615384615385,0,1
v3,true_oos,T2,M30,ATR_TRAILING_STOP,206,0.570637119113573,172.538954951484,0.837567742482933,0.420901803164683,2.39399437189529,1.57061613578,26.0218446601942,19.5,25.5,65.5,0.912621359223301,0.694174757281553,0.393203883495146,0.436893203883495
v3,true_oos,T2,M30,EMA50_TREND_LOSS,48,0.132963988919668,-28.876920184924,-0.601602503852583,0.401897304581238,0.383483296650977,0.2268427454865,5.19791666666667,3.5,6.125,14.5,0.333333333333333,0.0833333333333333,0,1
v3,true_oos,T2,M30,INITIAL_STOP,107,0.296398891966759,-110.47904543681,-1.03251444333467,0.610748724281495,0.288534171116635,0.158188386856,3.16355140186916,2,3.75,6.5,0.205607476635514,0.0373831775700935,0,1
v3,true_oos,T3,H1,ATR_TRAILING_STOP,199,1,84.4310545202659,0.424276655880733,0.492061497759671,1.56242506876079,0.842305550803,36.572864321608,25,47.5,73.2,0.653266331658292,0.4321608040201,0.281407035175879,0.5678391959799
v3,true_oos,T3,M30,ATR_TRAILING_STOP,369,1,156.472159178471,0.424043791811574,0.588314720911727,1.83023475680961,0.956816540222,18.6111111111111,16,23.5,44.2,0.685636856368564,0.490514905149051,0.300813008130081,0.558265582655827
v3,walk_forward,T2,H1,ATR_TRAILING_STOP,59,0.694117647058824,71.8885216280136,1.21844951911887,0.352335011533788,3.09032290848536,2.11604432489,46.7796610169492,30,69,111,0.949152542372881,0.830508474576271,0.542372881355932,0.355932203389831
v3,walk_forward,T2,H1,EMA50_TREND_LOSS,6,0.0705882352941176,-3.433246547025,-0.5722077578375,0.3484778092755,0.3054790431355,0.297160761807,17,4.5,15.5,45.5,0.166666666666667,0,0,1
v3,walk_forward,T2,H1,INITIAL_STOP,20,0.235294117647059,-20.14870716403,-1.0074353582015,0.65055097734115,0.3173181028348,0.2591523826145,10.9,5.5,16,17.1,0.2,0.05,0,1
v3,walk_forward,T2,M30,ATR_TRAILING_STOP,124,0.642487046632124,125.565178178729,1.01262240466717,0.409883728472032,2.59833455985918,1.63209270243,25,19,25.5,66.05,0.951612903225806,0.774193548387097,0.435483870967742,0.403225806451613
v3,walk_forward,T2,M30,EMA50_TREND_LOSS,19,0.0984455958549223,-11.678826544356,-0.614675081281895,0.366018545701158,0.329724130129621,0.185607918265,3.13157894736842,2,4,5.6,0.263157894736842,0.105263157894737,0,1
v3,walk_forward,T2,M30,INITIAL_STOP,50,0.259067357512953,-52.48873101478,-1.0497746202956,0.60939441037557,0.353197826023078,0.199273254492,3.86,2,4,12.65,0.22,0.06,0.02,1
v3,walk_forward,T3,H1,ATR_TRAILING_STOP,66,1,38.2931490926962,0.580199228677215,0.431011340235605,1.89788954035485,1.30386876181,46.2575757575758,33.5,72.75,94.5,0.803030303030303,0.560606060606061,0.318181818181818,0.454545454545455
v3,walk_forward,T3,M30,ATR_TRAILING_STOP,171,1,46.6658745082077,0.272899850925191,0.591681619886866,1.71686915227532,0.874115763011,21.3859649122807,15.5,22.75,68,0.660818713450292,0.456140350877193,0.274853801169591,0.60233918128655
