generation,lifecycle_stage,strategy,timeframe,exit_reason,trades,share,net_R,expectancy_R,avg_MAE_R,avg_MFE_R,median_MFE_R,avg_holding_hours,median_holding_hours,p75_holding_hours,p90_holding_hours,share_reached_0_5R,share_reached_1R,share_reached_2R,share_finished_negative
v1,baseline,T2,H1,ATR_TRAILING_STOP,58,0.734177215189873,78.4727230793024,1.3529779841259,0.41241418256354,3.32244681614729,2.333999900435,53,42.5,70.75,104,0.879310344827586,0.706896551724138,0.551724137931034,0.396551724137931
v1,baseline,T2,H1,EMA50_TREND_LOSS,6,0.0759493670886076,-3.585533829679,-0.597588971613167,0.490164665488,0.410503060934133,0.2703114687405,13,17.5,19,19,0.166666666666667,0.166666666666667,0,1
v1,baseline,T2,H1,INITIAL_STOP,15,0.189873417721519,-15.29484182785,-1.01965612185667,0.577518315586067,0.255263283312693,0.148098396735,10,11,16,17,0.133333333333333,0.0666666666666667,0,1
v1,baseline,T2,M30,ATR_TRAILING_STOP,115,0.646067415730337,93.2812373928868,0.811141194720755,0.394040095320363,2.43754246022722,1.467373258,24.8347826086957,19,26.5,66.4,0.930434782608696,0.756521739130435,0.382608695652174,0.504347826086956
v1,baseline,T2,M30,EMA50_TREND_LOSS,21,0.117977528089888,-10.4751831930877,-0.49881824728989,0.408147306423619,0.345150934798781,0.329632359054,6.33333333333333,3.5,9,17.5,0.285714285714286,0.0476190476190476,0,0.952380952380952
v1,baseline,T2,M30,INITIAL_STOP,42,0.235955056179775,-43.18836622335,-1.02829443388929,0.659378314925767,0.263212859268262,0.1920863984075,2.42857142857143,2,3,4,0.142857142857143,0.0476190476190476,0,1
v1,baseline,T3,H1,ATR_TRAILING_STOP,114,1,55.5455938678506,0.487242051472373,0.551558333724977,2.06691576450785,1.26522441427,39.0175438596491,25,64.75,88.4,0.692982456140351,0.543859649122807,0.324561403508772,0.56140350877193
v1,baseline,T3,M30,ATR_TRAILING_STOP,235,1,100.091400818886,0.42592085454845,0.584906120375522,1.79042483364123,1.06017583613,19.7765957446809,15,23,63.1,0.685106382978723,0.506382978723404,0.314893617021277,0.561702127659575
v1,true_oos,T2,H1,ATR_TRAILING_STOP,49,0.710144927536232,60.496958196375,1.23463179992602,0.454551376250298,2.79127005769571,1.52324446419,52.7755102040816,41,70,94,0.775510204081633,0.653061224489796,0.408163265306122,0.408163265306122
v1,true_oos,T2,H1,EMA50_TREND_LOSS,5,0.072463768115942,-2.32837928117,-0.465675856234,0.3886251338384,0.34026492731,0.0614251366994,18.8,5,21,45.6,0.4,0,0,0.8
