lifecycle_stage,strategy,timeframe,normalized_trade_count,Stage3A1_trade_count,trade_count_match,normalized_net_R,Stage3A1_net_R,net_R_delta,normalized_expectancy_R,Stage3A1_expectancy_R,expectancy_delta,normalized_PF,Stage3A1_PF,PF_delta,normalized_win_rate,Stage3A1_win_rate,win_rate_delta,status
baseline,T2,H1,79,79,true,59.5923474217733,59.5923474218,-2.66524580183614e-11,0.754333511668017,0.754333511668,1.70974345792274e-14,2.79452271776578,2.79452271777,-4.21973567199529e-12,0.443037974683544,0.443037974684,-4.55746551608627e-13,PASS
baseline,T2,M30,178,178,true,39.6176879764491,39.6176879764,4.91340301778109e-11,0.222571280766568,0.222571280767,-4.3184900100357e-13,1.48755149674497,1.48755149674,4.96713781217295e-12,0.325842696629214,0.325842696629,2.13495887635418e-13,PASS
baseline,T3,H1,114,114,true,55.5455938678506,55.5455938679,-4.94395635541878e-11,0.487242051472373,0.487242051472,3.7336800318144e-13,2.133294331716,2.13329433172,-3.99902333469981e-12,0.43859649122807,0.438596491228,7.01660951563099e-14,PASS
baseline,T3,M30,235,235,true,100.091400818886,100.091400819,-1.14198428491363e-10,0.42592085454845,0.425920854548,4.50250947636732e-13,2.00268933088816,2.00268933089,-1.84474657771716e-12,0.438297872340426,0.43829787234,4.25548485338823e-13,PASS
walk_forward,T2,H1,33,33,true,26.954513061204,26.9545130612,3.98969746129296e-12,0.816803426097091,0.816803426097,9.05941988094128e-14,3.2479236097358,3.24792360974,-4.19841938992249e-12,0.484848484848485,0.484848484848,4.84834394853806e-13,PASS
walk_forward,T2,M30,67,67,true,7.69327542954863,7.69327542955,-1.36868294475789e-12,0.114825006411174,0.114825006411,1.73597247687951e-13,1.24573377987136,1.24573377987,1.35624844688209e-12,0.313432835820896,0.313432835821,-1.04471986617227e-13,PASS
walk_forward,T3,H1,34,34,true,32.9117048791005,32.9117048791,5.40012479177676e-13,0.967991319973545,0.967991319974,-4.54747350886464e-13,3.38032767202098,3.38032767202,9.77440350879988e-13,0.5,0.5,0,PASS
walk_forward,T3,M30,60,60,true,21.5261853352574,21.5261853353,-4.25686152993876e-11,0.358769755587624,0.358769755588,-3.76143560743003e-13,1.86427903046997,1.86427903047,-3.48610029732299e-14,0.416666666666667,0.416666666667,-3.33288951992472e-13,PASS
true_oos,T2,H1,69,69,true,42.857686250845,42.8576862508,4.49986714556871e-11,0.621125887693406,0.621125887693,4.05786515500495e-13,2.40553629687693,2.40553629688,-3.06954461848363e-12,0.434782608695652,0.434782608696,-3.47832873615062e-13,PASS
true_oos,T2,M30,171,171,true,28.1138232995023,28.1138232995,2.29860575018392e-12,0.164408323388902,0.164408323389,-9.76441150157825e-14,1.32993115826284,1.32993115826,2.84106072001578e-12,0.309941520467836,0.309941520468,-1.63757896132211e-13,PASS
true_oos,T3,H1,97,97,true,57.2306821034161,57.2306821034,1.61008983923239e-11,0.59000703199398,0.590007031994,-1.95399252334028e-14,2.67722820365194,2.67722820365,1.93844940099552e-12,0.443298969072165,0.443298969072,1.64923630308067e-13,PASS
true_oos,T3,M30,162,162,true,72.7030270730298,72.703027073,2.9757529773633e-11,0.448784117734752,0.448784117735,-2.48412401759879e-13,2.098412951334,2.09841295133,3.99591471023086e-12,0.444444444444444,0.444444444444,4.4442227675745e-13,PASS
