generation,lifecycle_stage,strategy,timeframe,losing_trades,avg_final_loss_R,median_final_loss_R,avg_MAE_R,median_MAE_R,avg_MFE_R,median_MFE_R,share_MFE_ge_0_5,share_MFE_ge_1_0,share_MFE_ge_2_0,average_holding_hours,median_holding_hours
v1,baseline,T2,H1,44,-0.754725208494018,-0.7662562174755,0.5142564075205,0.562166691564,0.631450016700186,0.356937249679,0.431818181818182,0.181818181818182,0.0227272727272727,21.4318181818182,17
v1,baseline,T2,M30,120,-0.677153904783189,-0.722238624302,0.515546009444446,0.5305049782425,0.628948152534218,0.5416990374735,0.516666666666667,0.275,0.00833333333333333,9.48333333333333,4
v1,baseline,T3,H1,64,-0.765820387428407,-0.925103852822879,0.783465761529687,0.9241002072075,0.562865019004605,0.439509333869,0.453125,0.1875,0,24.734375,18
v1,baseline,T3,M30,132,-0.75623442342825,-0.916814844621481,0.794236963436871,0.9260379395455,0.473668019413939,0.379353939892,0.439393939393939,0.121212121212121,0,11.25,4.5
v1,true_oos,T2,H1,39,-0.781847494450846,-0.79166359114,0.572093542420795,0.549176862923,0.527768881033144,0.42337903269,0.384615384615385,0.128205128205128,0,22.4871794871795,19
v1,true_oos,T2,M30,118,-0.722128643686589,-0.782531821488,0.528258601739033,0.505198717942,0.514349765256966,0.4558393217405,0.466101694915254,0.127118644067797,0.00847457627118644,11.2838983050847,4.5
v1,true_oos,T3,H1,54,-0.63189221600968,-0.63083515873,0.689805778141483,0.7906267910875,0.577248894990041,0.5351027262995,0.537037037037037,0.203703703703704,0,22.4444444444444,19.5
v1,true_oos,T3,M30,90,-0.735435075616584,-0.8994094913295,0.781281971946233,0.9174544971295,0.539836741474623,0.499450154785,0.477777777777778,0.133333333333333,0,11.1388888888889,6.25
v1,walk_forward,T2,H1,17,-0.705344071732882,-0.654206329977,0.511034318370647,0.551212776858,0.785784932227124,0.370203087118,0.470588235294118,0.176470588235294,0.0588235294117647,24.2352941176471,17
v1,walk_forward,T2,M30,46,-0.680594740052508,-0.74757909227,0.518108600732985,0.5608363742125,0.587931650281672,0.428054836111,0.478260869565217,0.260869565217391,0,7.75,3.5
v1,walk_forward,T3,H1,17,-0.813326107452835,-0.995517131736329,0.834686978210059,0.966321647804,0.484861377275294,0.310980536244,0.294117647058824,0.117647058823529,0,34,22
