generation,lifecycle_stage,strategy,timeframe,losing_trades,avg_final_loss_R,median_final_loss_R,avg_MAE_R,median_MAE_R,avg_MFE_R,median_MFE_R,share_MFE_ge_0_5,share_MFE_ge_1_0,share_MFE_ge_2_0,average_holding_hours,median_holding_hours
v1,walk_forward,T3,M30,35,-0.711614935731122,-0.851468109765,0.736450064452629,0.839983874325,0.462563149530883,0.373346438084,0.457142857142857,0.114285714285714,0,12.2142857142857,4.5
v2,baseline,T2,H1,445,-0.710438704418639,-0.776497416294,0.512747637299479,0.521093000434,0.571315043309656,0.44681416504,0.451685393258427,0.186516853932584,0.00449438202247191,22.3325842696629,18
v2,baseline,T2,M30,935,-0.728776465835391,-0.822498772022,0.513449007375751,0.527147768896,0.562668699058572,0.423105250923,0.449197860962567,0.181818181818182,0.0171122994652406,11.9994652406417,4.5
v2,baseline,T3,H1,440,-0.729311604097112,-0.8294584211065,0.780170495114597,0.8570368072755,0.56529253889908,0.487492473287,0.493181818181818,0.2,0,24.4113636363636,18
v2,baseline,T3,M30,936,-0.744757340664071,-0.8754123916665,0.791840525615081,0.8929826728305,0.537751146932262,0.4563895416985,0.467948717948718,0.169871794871795,0.00320512820512821,12.5753205128205,5.25
v2,true_oos,T2,H1,188,-0.763081885007152,-0.802407641165,0.489470197893084,0.4996080697045,0.534117342324929,0.3558477629555,0.409574468085106,0.159574468085106,0.0212765957446809,19.1595744680851,15.5
v2,true_oos,T2,M30,291,-0.763235373652465,-0.851330665982,0.525129726076181,0.579050242386,0.547475035624272,0.442655605529,0.463917525773196,0.168384879725086,0.0206185567010309,10.0068728522337,4.5
v2,true_oos,T3,H1,205,-0.771002245914566,-0.867890668137,0.817503375865595,0.889620282943,0.505080244646249,0.417455771748,0.44390243902439,0.151219512195122,0,20.3756097560976,17
v2,true_oos,T3,M30,424,-0.806254511957607,-0.9638424914245,0.818879375999725,0.953449010636,0.499497154466362,0.400825078044,0.429245283018868,0.139150943396226,0.00235849056603774,10.2971698113208,5.5
v2,walk_forward,T2,H1,73,-0.679125426254323,-0.692722071391,0.491643763167519,0.541732527306,0.592950158054778,0.493761704339,0.493150684931507,0.232876712328767,0,21.1643835616438,20
v2,walk_forward,T2,M30,126,-0.821794699586179,-0.7894046426855,0.48594693772559,0.5028261997435,0.51285101483266,0.409023175333,0.428571428571429,0.150793650793651,0.00793650793650794,10.8611111111111,5
v2,walk_forward,T3,H1,57,-0.841064712974614,-0.996568865128,0.852622678675526,0.976198543722,0.466281024244763,0.333063582242,0.350877192982456,0.157894736842105,0,28.5087719298246,19
v2,walk_forward,T3,M30,201,-0.7835905820374,-0.861975578411,0.809247939175055,0.882438913867,0.535675260994138,0.422483062808,0.447761194029851,0.164179104477612,0.00497512437810945,14.2064676616915,5
v3,baseline,T2,H1,106,-0.667514666325326,-0.679394117423,0.483343769678033,0.475569495617,0.656815280702269,0.4924496479125,0.5,0.216981132075472,0.0283018867924528,18.0566037735849,16
v3,baseline,T2,M30,231,-0.692669630951883,-0.74256211702,0.507518384993243,0.512715251882,0.593807663346137,0.498240584538,0.497835497835498,0.220779220779221,0.012987012987013,9.01948051948052,4
v3,baseline,T3,H1,99,-0.698006737072005,-0.79053955723,0.743338365201169,0.832927778519,0.581768218357778,0.539685994322,0.525252525252525,0.161616161616162,0,25,19
v3,baseline,T3,M30,224,-0.757002638996982,-0.890781237911,0.780349404174501,0.9170460381295,0.548055999707686,0.430686128502,0.446428571428571,0.138392857142857,0.00446428571428571,10.90625,4.75
v3,true_oos,T2,H1,109,-0.79361362743822,-0.970078277792,0.501681313283156,0.518971576741,0.528944703884297,0.398805528563,0.422018348623853,0.146788990825688,0.018348623853211,18.2477064220184,12
v3,true_oos,T2,M30,245,-0.762414378845709,-0.840803276553,0.532669024742507,0.533853122948,0.520162767821166,0.44166099421,0.448979591836735,0.155102040816327,0.00816326530612245,9.53877551020408,4
v3,true_oos,T3,H1,113,-0.599928743597597,-0.654613771807,0.650375546306783,0.708873599,0.430792913161924,0.379650385948,0.389380530973451,0.0353982300884956,0,24.7079646017699,21
v3,true_oos,T3,M30,206,-0.777798775624116,-0.93870601517,0.812874461492138,0.9430774563135,0.479808394247824,0.4178696903805,0.436893203883495,0.106796116504854,0,10.5703883495146,6
v3,walk_forward,T2,H1,47,-0.72456433064823,-0.905196713122,0.500974898325,0.448727177575,0.710315926205851,0.446117593544,0.48936170212766,0.25531914893617,0.0425531914893617,15.9574468085106,14
v3,walk_forward,T2,M30,119,-0.729342539723623,-0.797598920252,0.510096104011185,0.522860046376,0.609943134535323,0.513719455431,0.504201680672269,0.243697478991597,0.00840336134453781,9.02100840336134,4
v3,walk_forward,T3,H1,30,-0.55539545493945,-0.525631947804,0.596627351362067,0.5783405031115,0.533427961328133,0.523036299836,0.566666666666667,0.0666666666666667,0.0333333333333333,31.0666666666667,21
v3,walk_forward,T3,M30,103,-0.754299431888598,-0.866855686237,0.787586166496078,0.928759308066,0.579245371188925,0.35866454601,0.436893203883495,0.106796116504854,0.00970873786407767,12.1116504854369,6
