generation,lifecycle_stage,strategy,timeframe,entry_weekday,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,baseline,T2,H1,0,15,6,9,0.4,1.0500086697532,0.0700005779835466,1.19999019800514,1.05005155593667,-0.583366740651867,-0.361246526583,0.910415848726382,1.70081629548,-1.037932284,31.2,29,0.400564570379107,0.470999231521,1.41308389080382,1.08200271816,true
v1,baseline,T2,H1,1,15,9,6,0.6,22.83212630733,1.522141753822,6.95929186520804,2.96260835589989,-0.638558149294833,1.04780600863,2.15850778124336,5.24876730599,-1.05352305685,42,42,0.483181803986613,0.552636894235,3.81628258134098,2.72919955843,true
v1,baseline,T2,H1,2,14,5,9,0.357142857142857,18.7470641493227,1.33907601066591,3.42083315490192,5.29822375153935,-0.860450512041556,-0.7247311338775,4.39397856866495,15.3747740568,-1.05287252496,39.6428571428571,22.5,0.561252771144893,0.6230263989925,3.20912739614693,0.9010652779715,true
v1,baseline,T2,H1,3,21,5,16,0.238095238095238,2.027039784991,0.0965257040471905,1.15820411587368,2.967970598048,-0.800800825328063,-0.752976588235,1.80723443235986,5.44288989305,-1.05838181852,34.7619047619048,17,0.412199620591619,0.427808890038,1.43260528958615,0.317579943993,true
v1,baseline,T2,H1,4,12,9,3,0.75,14.2443378316964,1.18702815264137,6.79181744291072,1.85596975774938,-0.819796662682667,1.0084940098835,2.00811199910124,6.53259188453,-1.0074753686,65.5,70.5,0.449451872979167,0.383641593884,2.91546379709083,2.352080878365,true
v1,baseline,T2,H1,5,2,1,1,0.5,0.69177067868,0.34588533934,1.62321581116342,1.80177248911,-1.11000181043,0.34588533934,1.45588714977,1.80177248911,-1.11000181043,66.5,66.5,0.180218197858,0.180218197858,5.277662838605,5.277662838605,true
v1,baseline,T2,M30,0,28,10,18,0.357142857142857,-2.20572341891537,-0.0787758363898347,0.834596301886524,1.1129670191221,-0.740855200563132,-0.3255086490655,1.15597636656589,3.6801160293,-1.09128445245,13.5892857142857,15.25,0.508105683438475,0.5137475943745,1.32254518234289,0.957789215749,true
v1,baseline,T2,M30,1,40,17,23,0.425,50.2746044162372,1.25686511040593,4.29722868370599,3.85424339977753,-0.662936233912209,-0.255689269908,3.17312713343516,14.7507391821,-1.05681080967,17.1125,13.75,0.4681828085382,0.4565106897325,2.8252263947995,1.167126029395,false
v1,baseline,T2,M30,2,36,9,27,0.25,1.207701411599,0.0335472614333056,1.07284685467785,1.97625959670822,-0.614023516991667,-0.4141255462615,1.43308852085813,6.08854267616,-1.09861697982,12,13.5,0.487219301309972,0.461365255187,1.64920080797241,0.973324681402,false
v1,baseline,T2,M30,3,37,12,25,0.324324324324324,-2.0386193625279,-0.0550978206088622,0.876711634732097,1.20806297633643,-0.6614150031426,-0.41762592859,1.13398187891076,4.21550944669,-1.09111661805,17.3243243243243,10.5,0.452186190906635,0.501188532911,1.22992765509339,0.759319870163,false
v1,baseline,T2,M30,4,34,10,24,0.294117647058824,-5.0276770096448,-0.147872853224847,0.703712845964909,1.19412564765817,-0.707038895259438,-0.5144232021815,1.03928441180531,3.18808072179,-1.07487115857,27.8823529411765,5.5,0.361230229578065,0.425393058352,1.24876539584058,1.136732674607,false
v1,baseline,T2,M30,5,3,0,3,0,-2.592598060299,-0.864199353433,0,NA,-0.864199353433,-1.0123556642,0.236010598637326,-0.531106170129,-1.04913622597,1.66666666666667,1.5,0.690903476485333,0.926674814848,0.414531988183267,0.18533496297,true
v1,baseline,T3,H1,0,19,8,11,0.421052631578947,20.6314704488004,1.08586686572634,3.64506484955497,3.55393213422572,-0.709089693182301,-0.363135872886562,3.79166937101908,13.9644679247218,-1.00452899369115,23.7368421052632,19,0.444911911918279,0.343641487789,2.70969787262521,1.33536537918,true
v1,baseline,T3,H1,1,23,6,17,0.260869565217391,-5.10776250195813,-0.222076630519919,0.591968591959098,1.23504993192523,-0.736356593735853,-0.713426521315167,1.00781121716034,2.51028100018397,-1.00566418470966,20.5217391304348,22,0.593213170580948,0.734710947,1.13905018305213,0.762638482739,true
v1,baseline,T3,H1,2,27,17,10,0.62962962962963,28.9882741755126,1.07363978427825,4.85945269791384,2.14701498427796,-0.751098055721261,0.399123769166272,2.00796774494908,5.22433723942161,-1.04112615254922,33.1851851851852,31,0.469660752710767,0.436607271371,3.10993085021126,2.03786878157,true
v1,baseline,T3,H1,3,19,5,14,0.263157894736842,-2.91041395146481,-0.153179681656043,0.757552606188726,1.81877943859149,-0.857450796030161,-0.936628395227634,1.26089698047537,2.86446280794682,-1.04752562596437,43.6842105263158,20,0.701980274016105,0.911109816608,1.16598679392945,0.434612100715,true
v1,baseline,T3,H1,4,26,14,12,0.538461538461538,13.9440256969604,0.536308680652324,2.51909532577172,1.65165643373063,-0.764930364605696,0.269539668023148,1.49175459868052,3.81828711383638,-1.02110342882343,69.1923076923077,70.5,0.567767510205446,0.543983063234,1.99323466628666,1.545795911425,true
v1,baseline,T3,M30,0,54,23,31,0.425925925925926,26.1079261430492,0.48348011376017,2.21966459096954,2.06581524392016,-0.690510466681116,-0.190183547783701,1.74783577465261,7.064062190526,-1.04654090708808,15.2685185185185,17.25,0.563551829499367,0.527915734326,1.7953076068204,1.094535245975,false
v1,baseline,T3,M30,1,51,26,25,0.509803921568627,30.5561601064071,0.599140394243277,2.43660645122114,1.99330155869788,-0.850787216789507,0.000439890044521551,2.14209265404224,7.69567657865381,-1.05703393038575,13.5392156862745,12,0.591247903939504,0.547416339321,2.020231632626,1.11628257395,false
v1,baseline,T3,M30,2,36,19,17,0.527777777777778,20.8297569497718,0.578604359715884,2.75813189721335,1.71986428936986,-0.696921444015032,0.0543662802939107,1.52129228318961,4.91048512617811,-1.03227999590001,17.3194444444444,18.25,0.519234153434533,0.4737387302475,1.93043322758575,1.584909672005,false
v1,baseline,T3,M30,3,42,11,31,0.261904761904762,-6.50648552217448,-0.154916321956535,0.73273130227294,1.62162499605942,-0.785301950929937,-0.685447224754591,1.19673190289903,3.53277229621701,-1.09593625999077,16.6547619047619,7.5,0.663795726291895,0.743229216278,1.18160770370866,0.6485357904515,false
v1,baseline,T3,M30,4,52,24,28,0.461538461538462,29.1040431418322,0.559693137342926,2.38885555644776,2.08581071335105,-0.748407642092613,-0.0749091456515494,2.22186761656882,9.88766427080251,-1.05713615285933,34.7980769230769,9.5,0.582608583970469,0.5342043608035,1.95477484855023,1.26107887983,false
v1,true_oos,T2,H1,0,15,7,8,0.466666666666667,10.850359768361,0.723357317890733,2.63222519095967,2.49970675190114,-0.830948436868375,-0.201299514311,2.35724887051961,7.27638592676,-1.03796632804,28.2666666666667,20,0.4495912317144,0.510095659348,2.18060531527093,1.38862762794,true
v1,true_oos,T2,H1,1,10,5,5,0.5,-0.598278889228,-0.0598278889228,0.819623002698813,0.5437091724302,-0.6633649502758,-0.134823605324,0.705178692943693,1.532253889,-0.807636567066,32.4,24.5,0.5126798737047,0.424149628611,1.12251495535956,0.798178662154,true
v1,true_oos,T2,H1,2,10,5,5,0.5,12.307003180415,1.2307003180415,4.45267041543385,3.1742982891808,-0.7128976530978,0.00304525774300002,2.25750409373796,5.02164235881,-1.00183290169,28.4,24.5,0.4731188592428,0.5080099496645,2.79833352265776,1.15177269408,true
v1,true_oos,T2,H1,3,16,4,12,0.25,10.419943420217,0.651246463763563,2.12430679764536,4.92195650800225,-0.772323550982667,-0.6445541905765,3.53425416947852,12.9932280859,-1.04887781657,41.125,19,0.429974660525438,0.4858481941915,2.1593675141664,0.7221294654395,true
v1,true_oos,T2,H1,4,18,9,9,0.5,9.87865877108,0.548814376171111,2.28373141545978,1.95265865900622,-0.855029906664,-0.144557351897,2.11077567929347,6.72281966529,-1.06840176724,66.7222222222222,70,0.592946684781644,0.6782367508455,2.132030552194,1.222224818545,true
v1,true_oos,T2,M30,0,28,8,20,0.285714285714286,-3.6092048783469,-0.128900174226675,0.727133508163712,1.2022242943852,-0.661349961671425,-0.3947516862975,1.00753314121633,2.31476290693,-1.07661287982,11.8035714285714,10.75,0.525057820977107,0.4646291381375,1.27917624051455,0.766454581692,true
v1,true_oos,T2,M30,1,35,12,23,0.342857142857143,3.0595964947634,0.0874170427075257,1.19713442740069,1.54832937526052,-0.674798087320122,-0.451799929962,1.67146791496817,7.51582096323,-1.07069677097,14.2285714285714,17,0.474589869236466,0.450655749839,1.41546783916677,0.727602616073,false
v1,true_oos,T2,M30,2,29,13,16,0.448275862068966,28.2936990871396,0.975644796108262,3.66695930490588,2.99251323254862,-0.663060808499525,-0.057770057443,2.59441736182784,9.25352282824,-1.07358241004,16.6724137931034,17.5,0.412197201691141,0.390306619492,2.57149925959013,1.08153505004,true
v1,true_oos,T2,M30,3,37,9,28,0.243243243243243,-5.8887200231445,-0.159154595220122,0.706473154227079,1.57480299749311,-0.716498107163661,-0.698006791099,1.32802440700307,4.49507951357,-1.10376364805,12.4459459459459,4.5,0.521341004977195,0.529311287653,1.18946136420005,0.491250065697,false
v1,true_oos,T2,M30,4,42,11,31,0.261904761904762,6.2584526190907,0.149010776645017,1.24264241167424,2.91375976324927,-0.83202918634359,-0.7836058211255,3.04806647404487,14.6116728165,-1.07031539183,33.5238095238095,6,0.482352014702619,0.4882415864165,1.43374120553288,0.63989887807,false
v1,true_oos,T3,H1,0,23,12,11,0.521739130434783,29.0036088593443,1.2610264721454,5.32046958505803,2.97638979118417,-0.610278966805973,1.06206423737,2.18854961282389,5.97370823147,-1.03206134373,32,27,0.459209119813752,0.296147494683,2.7303343133817,2.44369106788,true
v1,true_oos,T3,H1,1,22,7,15,0.318181818181818,6.8362444792188,0.310738385419036,1.73256762636568,2.30973427168683,-0.622126361505933,-0.4298152891995,2.08924522993132,7.23850694164,-1.02918688957,33.7727272727273,24,0.611077041370964,0.624028721628,1.59635274847249,0.621269986887,true
v1,true_oos,T3,H1,2,25,11,14,0.44,7.8728702690729,0.314914810762916,1.87883232041675,1.53010914931136,-0.639880740953721,-0.0130290712596,1.20028664693157,2.40794778134,-1.04792554046,21.52,21,0.514044913316996,0.536072664605,1.80030478975446,1.49547260351,true
v1,true_oos,T3,H1,3,23,12,11,0.521739130434783,16.0813082169371,0.699187313779874,3.63164045228733,1.84933854330192,-0.555523118425991,0.155107110438,1.5832103230886,3.95369550349,-1.03134633743,38.4347826086956,25,0.458640847563909,0.34940352159,2.1310467738937,1.46295483616,true
v1,true_oos,T3,H1,4,3,1,2,0.333333333333333,-1.561663697067,-0.520554565689,0.221676263491994,0.444781209873,-1.00322245347,-1.00147846897,0.682596958273745,0.444781209873,-1.00496643797,45.3333333333333,59,0.811709311487,1,0.609168353737367,0.0248321898721,true
v1,true_oos,T3,H1,5,1,0,1,0,-1.00168602409,-1.00168602409,0,NA,-1.00168602409,-1.00168602409,0,-1.00168602409,-1.00168602409,59,59,1,1,0,0,true
v1,true_oos,T3,M30,0,35,21,14,0.6,58.4949242077524,1.67128354879292,6.94584502235625,3.25394637618976,-0.702710692302329,0.280012477862,3.88511155999659,14.3471077532,-1.05003981445,18.4857142857143,16.5,0.472132703573383,0.30352123264,3.17292606050572,1.78756048616,false
v1,true_oos,T3,M30,1,38,19,19,0.5,7.6832853013781,0.202191718457318,1.54083385152302,1.15208707228411,-0.747703635369474,0.0082669753146,1.22594017596643,3.70063880268,-1.06645397314,14.9210526315789,17,0.56512109828845,0.6030264704955,1.49488754069334,1.296027708715,false
v1,true_oos,T3,M30,2,28,11,17,0.392857142857143,8.507774299133,0.303849082111893,1.68362604186181,1.90480407431427,-0.732062971666118,-0.275212809589,1.52553796568359,3.69773071329,-1.06384648697,11.1785714285714,8.75,0.543900125297204,0.6316202446295,1.82532591140661,0.889856912896,true
v1,true_oos,T3,M30,3,38,17,21,0.447368421052632,8.6416959870863,0.227413052291745,1.59019078658747,1.36964138411337,-0.697247978230524,-0.0762005906213,1.46594618883732,6.17237031272,-1.0453936522,13,12.75,0.577769743917737,0.571535412661,1.66132055367762,1.25824325851,false
v1,true_oos,T3,M30,4,23,4,19,0.173913043478261,-10.62465272232,-0.461941422709565,0.294397449760842,1.10822681443875,-0.792503156846053,-0.944717639081,0.844743658142347,2.12701504011,-1.05969923102,21.4565217391304,5.5,0.685272831178,0.983405567906,0.840977266321491,0.507393530553,true
v1,walk_forward,T2,H1,0,6,3,3,0.5,1.556399855867,0.259399975977833,2.05466425687812,1.01071000633767,-0.491910054382,-0.095973200778,0.85167451611986,1.59946652775,-0.577438206774,45.8333333333333,43,0.43126986940075,0.5171249692045,1.4734367928245,1.386385384695,true
v1,walk_forward,T2,H1,1,4,2,2,0.5,1.820675419952,0.455168854988,3.15093516007527,1.33356651151,-0.423228801534,0.4644445878835,0.926668690862417,1.61932701439,-0.727540770205,40.75,46,0.55254139779925,0.500388736689,1.679559528463,1.733214181972,true
v1,walk_forward,T2,H1,2,8,4,4,0.5,19.9747577432573,2.49684471790716,6.76771064054618,5.85949040036157,-0.86580096454725,-0.197727136386355,5.39051349424317,15.3747740568,-1.05287252496,52.75,41,0.557962558626813,0.628625053372,4.50714822557988,1.188403981282,true
v1,walk_forward,T2,H1,3,6,1,5,0.166666666666667,-1.080429752033,-0.180071625338833,0.695752748948372,2.47072723722,-0.7102313978506,-0.604279021939,1.20981479163594,2.47072723722,-1.00795957259,35,20,0.272910675004,0.2869066898585,0.849210661465517,0.3967964194525,true
v1,walk_forward,T2,H1,4,7,5,2,0.714285714285714,3.9913391154607,0.570191302208671,3.58456402826175,1.10712758217074,-0.7721493976965,0.65304692177,1.04283876316378,2.07386215506,-1.00747536861,43.4285714285714,21,0.526787737343243,0.551212776858,2.19550169256571,2.41600156314,true
v1,walk_forward,T2,H1,5,2,1,1,0.5,0.6917706787,0.34588533935,1.62321581119267,1.80177248911,-1.11000181041,0.34588533935,1.45588714976,1.80177248911,-1.11000181041,66.5,66.5,0.180218197858,0.180218197858,5.27766283861,5.27766283861,true
v1,walk_forward,T2,M30,0,13,5,8,0.384615384615385,1.77171746611463,0.136285958931895,1.3974236547823,1.2459449088886,-0.557250884791046,-0.157452774499,1.22549337730083,3.6801160293,-1.05979174723,15.9230769230769,16.5,0.493649061794308,0.587819724738,1.582825709008,1.08174303767,true
v1,walk_forward,T2,M30,1,14,8,6,0.571428571428571,17.836876477406,1.274062605529,4.8842328731874,2.80362497854175,-0.765353891821333,0.863370869752,2.54084092198193,8.6411459116,-1.05681080967,16.1428571428571,14,0.453791314136429,0.489811138787,2.80303225792021,2.51634394092,true
v1,walk_forward,T2,M30,2,11,2,9,0.181818181818182,-1.769359609316,-0.160850873574182,0.765140686137684,2.88217018783,-0.837077776108444,-1.00589628093,1.47251454101379,3.3906164739,-1.09861697982,10.0909090909091,7.5,0.667835291234545,0.773539942061,1.33677531624076,0.386769971031,true
v1,walk_forward,T2,M30,3,17,4,13,0.235294117647059,-4.81709777062,-0.283358692389412,0.412053831912973,0.8439988653815,-0.630237940934308,-0.586302999484,0.67947880221109,1.38740375571,-1.04827625142,12.4117647058824,14.5,0.457472646316547,0.552826790198,0.979820527454329,0.872230469282,true
v1,walk_forward,T2,M30,4,12,2,10,0.166666666666667,-5.328861134036,-0.444071761169667,0.183995916524355,0.6007866310005,-0.6530434396037,-0.5144232021815,0.561787942197666,0.711353997607,-1.07487115857,8.29166666666667,2.25,0.3193194739345,0.4026957712605,0.876303982765658,0.2643322278395,true
v1,walk_forward,T3,H1,0,8,5,3,0.625,24.1809941833732,3.02262427292165,10.8920591897253,5.32509591501985,-0.814828463908689,0.846156391923565,5.20519969896383,13.9644679247218,-1.00452899369115,36.75,32.5,0.340086115153213,0.169101522633,4.96730846540337,2.029171480725,true
v1,walk_forward,T3,H1,1,6,2,4,0.333333333333333,1.69737043455263,0.282895072425438,1.51406453238234,2.49961649888648,-0.825465640805084,-0.655151130555475,1.57399424549081,2.51028100018397,-1.00408756690294,21.8333333333333,23.5,0.563956872556667,0.6469741091665,1.766379857362,0.58881018192,true
v1,walk_forward,T3,H1,2,3,1,2,0.333333333333333,-1.85428595593485,-0.618095318644952,0.0938427519661009,0.192032119606805,-1.02315903777083,-1.00519192299244,0.573034418320415,0.192032119606805,-1.04112615254922,9.66666666666667,4,0.876123167746667,1,0.660185500900333,0.143941533922,true
v1,walk_forward,T3,H1,3,7,2,5,0.285714285714286,-1.58878699035275,-0.226969570050393,0.579839966187777,1.09629917249273,-0.756277067067643,-0.412253888053556,0.895536564320698,1.37280213482249,-1.04752562596437,53.4285714285714,28,0.668079078843714,0.870369835423,1.05961292620629,0.886177126923,true
