generation,lifecycle_stage,strategy,timeframe,threshold_R,trades_total,trades_reached_threshold,reached_share,reached_and_finished_positive,reached_and_finished_nonpositive,reached_and_finished_negative,reached_and_finished_below_0_25R,reached_and_finished_below_0_5R,mean_final_R_after_reach,median_final_R_after_reach,total_final_R_after_reach
v2,true_oos,T2,H1,2,297,71,0.239057239057239,67,4,4,6,7,2.32223956050296,1.47157506967,164.87900879571
v2,true_oos,T2,M30,0.5,437,281,0.643020594965675,146,135,135,156,178,0.999466117537042,0.0821127076519,280.849979027909
v2,true_oos,T2,M30,1,437,190,0.434782608695652,141,49,49,68,88,1.76474155986876,0.6034789339165,335.300896375065
v2,true_oos,T2,M30,2,437,97,0.221967963386728,91,6,6,7,11,3.47334439392473,1.64550421513,336.914406210699
v2,true_oos,T3,H1,0.5,327,213,0.651376146788991,122,91,91,108,122,0.833390161518646,0.229676537702,177.512104403472
v2,true_oos,T3,H1,1,327,147,0.44954128440367,116,31,31,42,56,1.44649662117729,0.999907355025,212.635003313062
v2,true_oos,T3,H1,2,327,80,0.244648318042813,80,0,0,0,2,2.56207898490333,2.03680010801,204.966318792266
v2,true_oos,T3,M30,0.5,698,456,0.653295128939828,274,182,182,220,259,0.8616686772857,0.27384442186,392.920916842279
v2,true_oos,T3,M30,1,698,326,0.467048710601719,267,59,59,91,130,1.4431529237898,0.8684753770825,470.467853155473
v2,true_oos,T3,M30,2,698,185,0.265042979942693,184,1,1,5,15,2.49101969406085,1.87381710642,460.838643401257
v2,walk_forward,T2,H1,0.5,117,80,0.683760683760684,44,36,36,42,47,0.841341971799923,0.1155894246675,67.3073577439938
v2,walk_forward,T2,H1,1,117,61,0.521367521367521,44,17,17,23,28,1.25360015152602,0.742983272821,76.4696092430874
v2,walk_forward,T2,H1,2,117,30,0.256410256410256,30,0,0,0,1,2.60309902091313,2.32429113856,78.092970627394
v2,walk_forward,T2,M30,0.5,210,138,0.657142857142857,84,54,54,70,88,0.57821839509447,0.2448909327905,79.7941385230369
v2,walk_forward,T2,M30,1,210,102,0.485714285714286,83,19,19,34,52,1.04533041798516,0.4863357674475,106.623702634486
v2,walk_forward,T2,M30,2,210,51,0.242857142857143,50,1,1,3,6,2.08932420389855,1.48930150599,106.555534398826
v2,walk_forward,T3,H1,0.5,95,58,0.610526315789474,38,20,20,24,29,1.14439112558672,0.4941782319735,66.3746852840298
v2,walk_forward,T3,H1,1,95,47,0.494736842105263,38,9,9,13,18,1.55620976273176,1.10633643136,73.1418588483928
v2,walk_forward,T3,H1,2,95,29,0.305263157894737,29,0,0,1,2,2.55439955257386,2.03759703303,74.077587024642
v2,walk_forward,T3,M30,0.5,324,212,0.654320987654321,122,90,90,111,133,0.66885811960685,0.210334345927,141.797921356652
v2,walk_forward,T3,M30,1,324,154,0.475308641975309,121,33,33,53,75,1.15787056085298,0.552162356587,178.312066371358
v2,walk_forward,T3,M30,2,324,75,0.231481481481481,74,1,1,2,6,2.27564420821379,1.57882255894,170.673315616034
v3,baseline,T2,H1,0.5,176,123,0.698863636363636,70,53,53,60,64,1.01622046243408,0.433607756998,124.995116879392
v3,baseline,T2,H1,1,176,93,0.528409090909091,70,23,23,30,34,1.51628229680828,0.989840605871,141.01425360317
v3,baseline,T2,H1,2,176,60,0.340909090909091,57,3,3,5,6,2.40277846822033,1.89403669181,144.16670809322
v3,baseline,T2,M30,0.5,366,249,0.680327868852459,134,115,115,137,151,0.795848863991568,0.138520345167,198.166367133901
v3,baseline,T2,M30,1,366,181,0.494535519125683,130,51,51,70,83,1.30200942581025,0.71298695581,235.663706071655
v3,baseline,T2,M30,2,366,102,0.278688524590164,99,3,3,7,11,2.40169947312519,1.701686224465,244.973346258769
v3,baseline,T3,H1,0.5,184,137,0.744565217391304,85,52,52,63,74,0.924367036073666,0.386004357282,126.638283942092
v3,baseline,T3,H1,1,184,100,0.543478260869565,84,16,16,26,37,1.47294532689281,0.868499130426,147.294532689281
v3,baseline,T3,H1,2,184,62,0.33695652173913,62,0,0,2,5,2.30476966953974,1.6845327572,142.895719511464
v3,baseline,T3,M30,0.5,398,274,0.688442211055276,174,100,100,122,147,0.9125695779289,0.418467819259,250.044064352519
v3,baseline,T3,M30,1,398,202,0.507537688442211,171,31,31,50,75,1.441452766267,0.8064898585675,291.173458785934
v3,baseline,T3,M30,2,398,119,0.298994974874372,118,1,1,1,7,2.35243733198439,1.82758100504,279.940042506142
v3,true_oos,T2,H1,0.5,172,109,0.633720930232558,63,46,46,53,58,1.1336919827017,0.348287544569,123.572426114485
v3,true_oos,T2,H1,1,172,78,0.453488372093023,62,16,16,22,27,1.85133941514526,0.7457625495095,144.40447438133
v3,true_oos,T2,H1,2,172,44,0.255813953488372,42,2,2,4,4,3.18411850891866,2.1888833396,140.101214392421
v3,true_oos,T2,M30,0.5,361,226,0.626038781163435,116,110,110,128,145,0.67260374411893,0.0366438433713,152.008446170878
v3,true_oos,T2,M30,1,361,151,0.418282548476454,113,38,38,53,70,1.33775493328183,0.659406963006,202.000994925557
v3,true_oos,T2,M30,2,361,81,0.224376731301939,79,2,2,6,8,2.54925481736243,1.61137336698,206.489640206357
v3,true_oos,T3,H1,0.5,199,130,0.653266331658292,86,44,44,61,65,1.05191864837485,0.556884071404,136.74942428873
v3,true_oos,T3,H1,1,199,86,0.4321608040201,82,4,4,17,21,1.76367073991862,1.39963390177,151.675683633002
v3,true_oos,T3,H1,2,199,56,0.281407035175879,56,0,0,0,0,2.52147514249775,1.9260350194,141.202607979874
v3,true_oos,T3,M30,0.5,369,253,0.685636856368564,163,90,90,115,137,1.0547012441499,0.354034599553,266.839414769924
v3,true_oos,T3,M30,1,369,181,0.490514905149051,159,22,22,44,65,1.70812927941097,0.980113398573,309.171399573385
v3,true_oos,T3,M30,2,369,111,0.300813008130081,111,0,0,1,6,2.69929440734754,1.77266417236,299.621679215577
v3,walk_forward,T2,H1,0.5,85,61,0.717647058823529,38,23,23,28,29,1.13418314301609,0.765987691334,69.1851717239816
v3,walk_forward,T2,H1,1,85,50,0.588235294117647,38,12,12,17,18,1.52711962777047,0.986539937948,76.3559813885236
v3,walk_forward,T2,H1,2,85,32,0.376470588235294,30,2,2,4,4,2.41788995315475,1.744246682615,77.372478500952
v3,walk_forward,T2,M30,0.5,193,134,0.694300518134715,74,60,60,70,79,0.867268502283754,0.1880408822355,116.213979306023
v3,walk_forward,T2,M30,1,193,101,0.523316062176166,72,29,29,37,46,1.33610610044889,0.71298695581,134.946716145337
v3,walk_forward,T2,M30,2,193,55,0.284974093264249,54,1,1,3,5,2.54660884205189,1.606388674,140.063486312854
v3,walk_forward,T3,H1,0.5,66,53,0.803030303030303,36,17,17,22,30,0.931241407811513,0.35941121026,49.3557946140102
v3,walk_forward,T3,H1,1,66,37,0.560606060606061,35,2,2,6,14,1.47099306487851,0.735187035892,54.426743400505
v3,walk_forward,T3,H1,2,66,21,0.318181818181818,20,1,1,3,3,2.24456843463157,2.01798101676,47.135937127263
v3,walk_forward,T3,M30,0.5,171,113,0.660818713450292,68,45,45,53,58,0.908249918048935,0.474843865761,102.63224073953
v3,walk_forward,T3,M30,1,171,78,0.456140350877193,67,11,11,18,23,1.55898549280546,0.875141834539,121.600868438826
v3,walk_forward,T3,M30,2,171,47,0.274853801169591,46,1,1,1,4,2.42941238268945,1.78733165087,114.182381986404
