generation,lifecycle_stage,strategy,timeframe,holding_bucket,trades,net_R,expectancy,win_rate,avg_MAE,avg_MFE,avg_giveback,share_MFE_ge_1R_final_le_0
v1,baseline,T2,H1,12–24h,22,-12.305583514301,-0.5593447051955,0.136363636363636,0.439369789135509,0.787143186132773,1.34648789132827,0.136363636363636
v1,baseline,T2,H1,1–3h,2,-1.555100161786,-0.777550080893,0,0.664669036373,0.02036621131685,0.79791629220985,0
v1,baseline,T2,H1,24–48h,18,8.27157794664295,0.459532108146831,0.555555555555556,0.538294897859033,2.02337209622461,1.56383998807778,0.0555555555555556
v1,baseline,T2,H1,3–6h,7,-7.107621568087,-1.01537450972671,0,0.562366272816714,0.175950163844057,1.19132467357077,0
v1,baseline,T2,H1,48–96h,18,29.9605872441404,1.66447706911891,0.777777777777778,0.396401019501194,4.24699512884667,2.58251805972776,0.111111111111111
v1,baseline,T2,H1,6–12h,4,-2.499688834216,-0.624922208554,0,0.2978521126895,0.749454430815525,1.37437663936952,0.5
v1,baseline,T2,H1,>96h,8,44.82817630938,5.6035220386725,1,0.32197662608975,8.06749018910375,2.46396815043125,0
v1,baseline,T2,M30,12–24h,54,16.7157061423873,0.309550113747913,0.407407407407407,0.40394079046653,1.73342919049944,1.42387907675153,0.222222222222222
v1,baseline,T2,M30,1–3h,37,-29.803665251766,-0.805504466263946,0.027027027027027,0.552468994773276,0.477358911739638,1.28286337800358,0.162162162162162
v1,baseline,T2,M30,24–48h,16,56.6418077389846,3.54011298368654,0.875,0.353174184761813,5.52127866653781,1.98116568285127,0.0625
v1,baseline,T2,M30,3–6h,28,-19.846294446272,-0.708796230224,0.0357142857142857,0.617038999795429,0.816993580117921,1.52578981034192,0.321428571428571
v1,baseline,T2,M30,48–96h,16,23.221361819769,1.45133511373556,0.75,0.402618890020138,2.97709532487518,1.52576021113961,0.0625
v1,baseline,T2,M30,6–12h,18,-3.2924019790908,-0.1829112210606,0.388888888888889,0.553092052279611,1.42738595809756,1.61029717915816,0.222222222222222
v1,baseline,T2,M30,<1h,8,-5.817264095103,-0.727158011887875,0,0,0,0.727158011887875,0
v1,baseline,T2,M30,>96h,1,1.79843804754,1.79843804754,1,0,2.81028527317,1.01184722563,0
v1,baseline,T3,H1,12–24h,27,-4.72219529672305,-0.174896122100854,0.333333333333333,0.536351294255819,1.27999489788007,1.45489101998093,0.148148148148148
v1,baseline,T3,H1,1–3h,5,-5.06829804704441,-1.01365960940888,0,1,0.169998556247,1.18365816565588,0
v1,baseline,T3,H1,24–48h,27,36.0736021542185,1.33605933904513,0.592592592592593,0.404351280850137,3.38472963043911,2.04867029139398,0.111111111111111
v1,baseline,T3,H1,3–6h,11,-9.37944184574319,-0.852676531431199,0,0.834814508670273,0.522975405041545,1.37565193647274,0.181818181818182
v1,baseline,T3,H1,48–96h,27,26.4274952703931,0.978796121125671,0.592592592592593,0.488943163229911,2.52177274227767,1.542976621152,0.0740740740740741
v1,baseline,T3,H1,6–12h,9,-5.47052983495335,-0.60783664832815,0.111111111111111,0.763944999148,0.7539046206675,1.36174126899565,0.111111111111111
v1,baseline,T3,H1,>96h,8,17.6849614677029,2.21062018346286,1,0.40234381523425,3.525638378135,1.31501819467214,0
v1,baseline,T3,M30,12–24h,70,47.7371399890826,0.68195914270118,0.571428571428571,0.477546526410173,2.02049806798478,1.3385389252836,0.0142857142857143
v1,baseline,T3,M30,1–3h,41,-39.3128785499952,-0.958850696341346,0.024390243902439,0.950628849303732,0.314326770235532,1.27317746657688,0.024390243902439
