generation,lifecycle_stage,strategy,timeframe,exit_reason_raw,trades,share_of_trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,baseline,T2,H1,ATR_TRAILING_STOP,58,0.734177215189873,35,23,0.603448275862069,78.4727230793024,1.3529779841259,6.47705737282215,2.65143590272886,-0.622936239835122,0.495599732568,2.71296388039839,15.3747740568,-1.11000181043,53,42.5,0.41241418256354,0.402715038022,3.32244681614729,2.333999900435,false
v1,baseline,T2,H1,EMA50_TREND_LOSS,6,0.0759493670886076,0,6,0,-3.585533829679,-0.597588971613167,0,NA,-0.597588971613167,-0.56253149998,0.225327734370482,-0.305924208525,-0.984902722977,13,17.5,0.490164665488,0.5237686828365,0.410503060934133,0.2703114687405,true
v1,baseline,T2,H1,INITIAL_STOP,15,0.189873417721519,0,15,0,-15.29484182785,-1.01965612185667,0,NA,-1.01965612185667,-1.00783292091,0.0198555645427747,-1.00285205927,-1.05838181852,10,11,0.577518315586067,0.568984259988,0.255263283312693,0.148098396735,true
v1,baseline,T2,M30,ATR_TRAILING_STOP,115,0.646067415730337,57,58,0.495652173913044,93.2812373928868,0.811141194720755,4.38191126407846,2.12041473334332,-0.475558662201425,-0.00903442544637,2.16440024193203,14.7507391821,-1.02749233241,24.8347826086957,19,0.394040095320363,0.402835683246,2.43754246022722,1.467373258,false
v1,baseline,T2,M30,EMA50_TREND_LOSS,21,0.117977528089888,1,20,0.0476190476190476,-10.4751831930877,-0.49881824728989,0.00119346948619692,0.0125167498623,-0.5243849971475,-0.467614305211,0.21875468509594,0.0125167498623,-0.838067456741,6.33333333333333,3.5,0.408147306423619,0.393621750949,0.345150934798781,0.329632359054,true
v1,baseline,T2,M30,INITIAL_STOP,42,0.235955056179775,0,42,0,-43.18836622335,-1.02829443388929,0,NA,-1.02829443388929,-1.01242931581,0.0275023926213864,-1.00306335306,-1.09861697982,2.42857142857143,2,0.659378314925767,0.74702134029,0.263212859268262,0.1920863984075,false
v1,baseline,T3,H1,ATR_TRAILING_STOP,114,1,50,64,0.43859649122807,55.5455938678506,0.487242051472373,2.133294331716,2.09116197326537,-0.765820387428407,-0.329548816837553,2.15408138352581,13.9644679247218,-1.04752562596437,39.0175438596491,25,0.551558333724977,0.551073658931,2.06691576450785,1.26522441427,false
v1,baseline,T3,M30,ATR_TRAILING_STOP,235,1,103,132,0.438297872340426,100.091400818886,0.42592085454845,2.00268933088816,1.94091596807199,-0.75623442342825,-0.230472239783961,1.86434230148907,9.88766427080251,-1.09593625999077,19.7765957446809,15,0.584906120375522,0.570111828099,1.79042483364123,1.06017583613,false
v1,true_oos,T2,H1,ATR_TRAILING_STOP,49,0.710144927536232,29,20,0.591836734693878,60.496958196375,1.23463179992602,5.76276475135504,2.5241043259451,-0.63510336280165,0.348287544569,2.72060345889476,12.9932280859,-0.98013068438,52.7755102040816,41,0.454551376250298,0.447403484796,2.79127005769571,1.52324446419,false
v1,true_oos,T2,H1,EMA50_TREND_LOSS,5,0.072463768115942,1,4,0.2,-2.32837928117,-0.465675856234,0.0607936534587474,0.15071308202,-0.6197730907975,-0.619234217985,0.310974306100793,0.15071308202,-0.660320219519,18.8,5,0.3886251338384,0.399263388546,0.34026492731,0.0614251366994,true
