generation,lifecycle_stage,strategy,timeframe,entry_hour,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,baseline,T2,H1,0,2,0,2,0,-1.862978398665,-0.9314891993325,0,NA,-0.9314891993325,-0.9314891993325,0.1785126110975,-0.752976588235,-1.11000181043,39,39,0.29262136852,0.29262136852,3.280060743317,3.280060743317,true
v1,baseline,T2,H1,10,2,1,1,0.5,0.35261986436,0.17630993218,1.42499993875392,1.18231378242,-0.82969391806,0.17630993218,1.00600385024,1.18231378242,-0.82969391806,34,34,0.37876687142225,0.37876687142225,1.323158154999,1.323158154999,true
v1,baseline,T2,H1,11,9,3,6,0.333333333333333,8.8799100142492,0.986656668249911,4.92019075506414,3.71502765109667,-0.377528823173467,-0.118916832863,2.17633757614266,5.24876730599,-0.59365930826,32.2222222222222,30,0.314032710960789,0.357540154229,3.44165976581886,0.851190559425,true
v1,baseline,T2,H1,12,5,1,4,0.2,-2.304459418906,-0.4608918837812,0.00401921348122037,0.009299491003,-0.57843972747725,-0.442296110399,0.329388364977025,0.009299491003,-1.00648577298,30.2,23,0.4535467711946,0.551212776858,0.8343364398976,0.787311574899,true
v1,baseline,T2,H1,13,10,6,4,0.6,13.45076494639,1.345076494639,4.3134310564258,2.91837203714283,-1.01486681911675,1.0084940098835,2.30124065081521,5.44288989305,-1.05287252496,45.3,21,0.3236078603652,0.3666279493645,2.95221483984944,2.4696420758,true
v1,baseline,T2,H1,14,5,2,3,0.4,-1.360375635596,-0.2720751271192,0.429600260084024,0.5122878623245,-0.794983786748333,-0.400185442969,0.684901979565764,0.68642318122,-1.00373623464,25.4,28,0.51920700832424,0.560435195281,1.1605798931052,0.864342403014,true
v1,baseline,T2,H1,15,3,3,0,1,11.0743277034,3.6914425678,NA,3.6914425678,NA,3.08675566565,1.9204070470658,6.28675574227,1.70081629548,95,121,0.451404127027,0.3977639552,5.68337105567667,4.86109899659,true
v1,baseline,T2,H1,16,5,3,2,0.6,3.067256021728,0.6134512043456,2.57051671850134,1.67342649946433,-0.9765117383325,0.250349708843,1.63471030908077,3.35695138677,-1.037932284,52,66,0.6069908310218,0.568984259988,2.190779993384,1.69076805119,true
v1,baseline,T2,H1,17,8,1,7,0.125,-4.70088424496225,-0.587610530620281,0.00100542810697725,0.00473115798675,-0.672230771849857,-0.630659088883,0.278044359089178,0.00473115798675,-1.0074753686,21.375,19.5,0.600111779201875,0.6075938222895,0.788968371147625,0.7357811116505,true
v1,baseline,T2,H1,18,11,5,6,0.454545454545455,0.2780471665464,0.0252770151405818,1.05855300346823,1.00533754314828,-0.7914400915325,-0.305924208525,1.05458382646884,2.07386215506,-1.0231421346,35.4545454545455,24,0.523884170821727,0.552636894235,1.57318374514427,0.937788152929,true
v1,baseline,T2,H1,19,9,6,3,0.666666666666667,10.911343737885,1.21237152643167,4.91749522098383,2.282771586555,-0.928428593815,1.59946650913,1.71568978246206,4.31974035329,-1.05352305685,52.2222222222222,42,0.406792469344167,0.360436395716,2.921330965112,2.90306186342,true
v1,baseline,T2,H1,20,6,2,4,0.333333333333333,18.619666573234,3.10327776220567,6.66343344951798,10.953682970665,-0.821924842024,-0.610742314333,6.1129131267224,15.3747740568,-1.05838181852,68.5,65.5,0.522868238329,0.5405143786895,5.34338593812483,0.8329104516945,true
v1,baseline,T2,H1,21,2,1,1,0.5,1.14191149624,0.57095574812,2.13774482392445,2.14557371665,-1.00366222041,0.57095574812,1.57461796853,2.14557371665,-1.00366222041,49.5,49.5,0.287030084586,0.287030084586,1.864857007807,1.864857007807,true
v1,baseline,T2,H1,22,1,1,0,1,3.05315716846,3.05315716846,NA,3.05315716846,NA,3.05315716846,0,3.05315716846,3.05315716846,38,38,0.690891285905,0.690891285905,5.5731897063,5.5731897063,true
v1,baseline,T2,H1,23,1,0,1,0,-1.00795957259,-1.00795957259,0,NA,-1.00795957259,-1.00795957259,0,-1.00795957259,-1.00795957259,11,11,0.238787177634,0.238787177634,0.0397978629391,0.0397978629391,true
v1,baseline,T2,M30,10,11,6,5,0.545454545454545,6.104551400505,0.554959218227727,2.4693410963728,1.70986161590833,-0.830923658989,0.245554666042,1.97548683219468,6.15400251509,-1.04786241464,9.09090909090909,4.5,0.440614776145364,0.412346411294,2.18433759173174,1.09392294563,true
v1,baseline,T2,M30,11,6,0,6,0,-5.054968255915,-0.842494709319167,0,NA,-0.842494709319167,-0.8813249568825,0.185736359478987,-0.606523540658,-1.05180991232,4.16666666666667,4,0.615073586038833,0.7258639099345,0.420351644873,0.390885425773,true
