parameter,value,configurations,positive_C1_share,mean_expectancy_C1,std_expectancy_C1
adx_range_max,20,1,0,-0.0645358040092,0
adx_range_max,25,10,0.2,-0.0298046359798,0.0403184245745
adx_range_max,30,1,0,-0.0600754817773,0
ema_slope_max_atr,0.25,1,1,0.0330833649084,0
ema_slope_max_atr,0.35,10,0.1,-0.0328462941998,0.0219769064939
ema_slope_max_atr,0.5,1,0,-0.127278068495,0
max_holding_bars_m15,12,1,0,-0.0215393246603,0
max_holding_bars_m15,16,10,0.2,-0.038527358273,0.0416584670629
max_holding_bars_m15,20,1,0,-0.0158447381949,0
max_initial_stop_atr,1,1,1,0.0112037596577,0
max_initial_stop_atr,1.5,11,0.0909090909091,-0.0394419459311,0.0377491577906
maximum_sweep_atr,0.75,1,0,-0.0192127569907,0
maximum_sweep_atr,1,11,0.181818181818,-0.036676808054,0.0401663015701
minimum_sweep_atr,0.05,11,0.181818181818,-0.0345180654568,0.0404080502933
minimum_sweep_atr,0.1,1,0,-0.0429589255605,0
range_lookback_h1,10,1,0,-0.0292405159645,0
range_lookback_h1,20,10,0.2,-0.0339937415087,0.0420024024461
range_lookback_h1,30,1,0,-0.0534797145338,0
