trade_id,family,submodel,instrument,variant_id,signal_time,entry_time,exit_time,side,raw_entry_price,entry_price,stop_price,target_price,exit_price,exit_reason,friction,pnl_native,pnl,pnl_R,pnl_bps,bars_held,entry_z,exit_z,w_cny,w_si,beta_at_entry,entry_price_cny,entry_price_si,exit_price_cny,exit_price_si,pnl_cny,pnl_si,total_pnl
10,STRUCTURAL,REJECTION,CNYRUBF,STRUCTURAL|REJECTION|CNYRUBF|target=3,2026-01-05 15:35:00+03:00,2026-01-05 15:35:00+03:00,2026-01-05 15:43:00+03:00,SHORT,11.405,11.404,11.409,11.393,11.41,STOP,BASE,-0.006000000000000227,-0.006000000000000227,-1.499999999999556,-5.26085050416504,8,,,,,,,,,,,,
10,STRUCTURAL,REJECTION,CNYRUBF,STRUCTURAL|REJECTION|CNYRUBF|target=3,2026-01-05 15:35:00+03:00,2026-01-05 15:35:00+03:00,2026-01-05 15:43:00+03:00,SHORT,11.405,11.402999999999999,11.409,11.393,11.411000000000001,STOP,STRESS,-0.008000000000002672,-0.008000000000002672,-2.0,-7.014467338888797,8,,,,,,,,,,,,
1,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 14:15:00+03:00,2026-01-05 14:15:00+03:00,2026-01-05 16:16:00+03:00,SHORT,11.397,11.397,11.411,11.355,11.406,TIME,GROSS,-0.009000000000000341,-0.009000000000000341,-0.6428571428571972,-7.8968149513032735,120,,,,,,,,,,,,
1,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 14:15:00+03:00,2026-01-05 14:15:00+03:00,2026-01-05 16:16:00+03:00,SHORT,11.397,11.396,11.411,11.355,11.407,TIME,BASE,-0.010999999999999233,-0.010999999999999233,-0.7857142857142676,-9.651662718258518,120,,,,,,,,,,,,
1,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 14:15:00+03:00,2026-01-05 14:15:00+03:00,2026-01-05 16:16:00+03:00,SHORT,11.397,11.395,11.411,11.355,11.408000000000001,TIME,STRESS,-0.013000000000001677,-0.013000000000001677,-0.9285714285715917,-11.406510485216879,120,,,,,,,,,,,,
3,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 18:25:00+03:00,2026-01-05 18:25:00+03:00,2026-01-05 20:41:00+03:00,LONG,11.4,11.4,11.386,11.442,11.413,TIME,GROSS,0.0129999999999999,0.0129999999999999,0.928571428571347,11.403508771929737,120,,,,,,,,,,,,
3,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 18:25:00+03:00,2026-01-05 18:25:00+03:00,2026-01-05 20:41:00+03:00,LONG,11.4,11.401,11.386,11.442,11.412,TIME,BASE,0.011000000000001009,0.011000000000001009,0.7857142857142948,9.64912280701843,120,,,,,,,,,,,,
3,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 18:25:00+03:00,2026-01-05 18:25:00+03:00,2026-01-05 20:41:00+03:00,LONG,11.4,11.402000000000001,11.386,11.442,11.411,TIME,STRESS,0.008999999999998565,0.008999999999998565,0.6428571428569888,7.894736842104004,120,,,,,,,,,,,,
6,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 22:10:00+03:00,2026-01-05 22:10:00+03:00,2026-01-05 22:12:00+03:00,SHORT,11.433,11.433,11.44,11.412,11.44,STOP,GROSS,-0.006999999999999673,-0.006999999999999673,-1.0,-6.122627481850498,2,,,,,,,,,,,,
6,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 22:10:00+03:00,2026-01-05 22:10:00+03:00,2026-01-05 22:12:00+03:00,SHORT,11.433,11.432,11.44,11.412,11.440999999999999,STOP,BASE,-0.008999999999998565,-0.008999999999998565,-1.2857142857141408,-7.87194961952118,2,,,,,,,,,,,,
