level_family_id,level_snapshot_id,snapshot_version,instrument,level_type,anchor_price,level_price,valid_from,valid_trading_date,first_touch,last_touch,touch_count,touch_times,tolerance_ticks,min_touches,round_confluence,historical,mirror,source_pivot_ids,source_sides,known_index,level_id,price,known_time
CNYRUBF-L16,CNYRUBF-L16-V2,2,CNYRUBF,EH,11.404,11.404,2026-01-05 18:40:00+03:00,2026-01-05,2026-01-05 17:10:00+03:00,2026-01-05 18:30:00+03:00,3,2026-01-05 17:10:00+03:00|2026-01-05 17:35:00+03:00|2026-01-05 18:30:00+03:00,2,2,False,False,False,25|27|31,HIGH|HIGH|HIGH,111,CNYRUBF-L16-V2,11.404,2026-01-05 18:40:00+03:00
CNYRUBF-L5,CNYRUBF-L5-V5,5,CNYRUBF,MIRROR,11.397,11.398,2026-01-05 19:15:00+03:00,2026-01-05,2026-01-05 11:45:00+03:00,2026-01-05 18:50:00+03:00,6,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00|2026-01-05 15:05:00+03:00|2026-01-05 16:25:00+03:00|2026-01-05 16:55:00+03:00|2026-01-05 18:50:00+03:00,2,2,False,False,True,5|13|18|22|24|32,LOW|LOW|HIGH|LOW|LOW|LOW,115,CNYRUBF-L5-V5,11.398,2026-01-05 19:15:00+03:00
CNYRUBF-L9,CNYRUBF-L9-V1,1,CNYRUBF,EH,11.437,11.436,2026-01-05 19:20:00+03:00,2026-01-05,2026-01-05 12:50:00+03:00,2026-01-05 19:10:00+03:00,2,2026-01-05 12:50:00+03:00|2026-01-05 19:10:00+03:00,2,2,False,False,False,9|33,HIGH|HIGH,116,CNYRUBF-L9-V1,11.436,2026-01-05 19:20:00+03:00
CNYRUBF-L11,CNYRUBF-L11-V5,5,CNYRUBF,MIRROR,11.409,11.41,2026-01-05 19:45:00+03:00,2026-01-05,2026-01-05 13:20:00+03:00,2026-01-05 19:35:00+03:00,6,2026-01-05 13:20:00+03:00|2026-01-05 13:35:00+03:00|2026-01-05 14:10:00+03:00|2026-01-05 14:35:00+03:00|2026-01-05 15:50:00+03:00|2026-01-05 19:35:00+03:00,2,2,False,False,True,11|12|14|16|19|34,HIGH|HIGH|HIGH|HIGH|HIGH|LOW,121,CNYRUBF-L11-V5,11.41,2026-01-05 19:45:00+03:00
CNYRUBF-L2,CNYRUBF-L2-V1,1,CNYRUBF,EH,11.427,11.427,2026-01-05 19:50:00+03:00,2026-01-05,2026-01-05 11:05:00+03:00,2026-01-05 19:40:00+03:00,2,2026-01-05 11:05:00+03:00|2026-01-05 19:40:00+03:00,2,2,False,False,False,2|35,HIGH|HIGH,122,CNYRUBF-L2-V1,11.427,2026-01-05 19:50:00+03:00
CNYRUBF-L15,CNYRUBF-L15-V2,2,CNYRUBF,MIRROR,11.407,11.407,2026-01-05 20:30:00+03:00,2026-01-05,2026-01-05 16:15:00+03:00,2026-01-05 20:15:00+03:00,3,2026-01-05 16:15:00+03:00|2026-01-05 16:50:00+03:00|2026-01-05 20:15:00+03:00,2,2,False,False,True,21|23|37,HIGH|HIGH|LOW,129,CNYRUBF-L15-V2,11.407,2026-01-05 20:30:00+03:00
CNYRUBF-L11,CNYRUBF-L11-V6,6,CNYRUBF,MIRROR,11.409,11.41,2026-01-05 21:40:00+03:00,2026-01-05,2026-01-05 13:20:00+03:00,2026-01-05 21:20:00+03:00,7,2026-01-05 13:20:00+03:00|2026-01-05 13:35:00+03:00|2026-01-05 14:10:00+03:00|2026-01-05 14:35:00+03:00|2026-01-05 15:50:00+03:00|2026-01-05 19:35:00+03:00|2026-01-05 21:20:00+03:00,2,2,False,False,True,11|12|14|16|19|34|39,HIGH|HIGH|HIGH|HIGH|HIGH|LOW|LOW,135,CNYRUBF-L11-V6,11.41,2026-01-05 21:40:00+03:00
CNYRUBF-L11,CNYRUBF-L11-V7,7,CNYRUBF,MIRROR,11.409,11.41,2026-01-05 21:55:00+03:00,2026-01-05,2026-01-05 13:20:00+03:00,2026-01-05 21:45:00+03:00,8,2026-01-05 13:20:00+03:00|2026-01-05 13:35:00+03:00|2026-01-05 14:10:00+03:00|2026-01-05 14:35:00+03:00|2026-01-05 15:50:00+03:00|2026-01-05 19:35:00+03:00|2026-01-05 21:20:00+03:00|2026-01-05 21:45:00+03:00,2,2,False,False,True,11|12|14|16|19|34|39|40,HIGH|HIGH|HIGH|HIGH|HIGH|LOW|LOW|LOW,138,CNYRUBF-L11-V7,11.41,2026-01-05 21:55:00+03:00
CNYRUBF-L7,CNYRUBF-L7-V1,1,CNYRUBF,EH,11.44,11.44,2026-01-05 22:30:00+03:00,2026-01-05,2026-01-05 12:25:00+03:00,2026-01-05 22:15:00+03:00,2,2026-01-05 12:25:00+03:00|2026-01-05 22:15:00+03:00,2,2,False,False,False,7|41,HIGH|HIGH,144,CNYRUBF-L7-V1,11.44,2026-01-05 22:30:00+03:00
CNYRUBF-L2,CNYRUBF-L2-V2,2,CNYRUBF,MIRROR,11.427,11.427,2026-01-05 23:00:00+03:00,2026-01-05,2026-01-05 11:05:00+03:00,2026-01-05 22:30:00+03:00,3,2026-01-05 11:05:00+03:00|2026-01-05 19:40:00+03:00|2026-01-05 22:30:00+03:00,2,2,False,False,True,2|35|42,HIGH|HIGH|LOW,146,CNYRUBF-L2-V2,11.427,2026-01-05 23:00:00+03:00
CNYRUBF-L9,CNYRUBF-L9-V2,2,CNYRUBF,EH,11.437,11.436,2026-01-05 23:35:00+03:00,2026-01-05,2026-01-05 12:50:00+03:00,2026-01-05 23:15:00+03:00,3,2026-01-05 12:50:00+03:00|2026-01-05 19:10:00+03:00|2026-01-05 23:15:00+03:00,2,2,False,False,False,9|33|43,HIGH|HIGH|HIGH,150,CNYRUBF-L9-V2,11.436,2026-01-05 23:35:00+03:00
CNYRUBF-L2,CNYRUBF-L2-V3,3,CNYRUBF,MIRROR,11.427,11.426,2026-01-05 23:45:00+03:00,2026-01-05,2026-01-05 11:05:00+03:00,2026-01-05 23:35:00+03:00,4,2026-01-05 11:05:00+03:00|2026-01-05 19:40:00+03:00|2026-01-05 22:30:00+03:00|2026-01-05 23:35:00+03:00,2,2,False,False,True,2|35|42|44,HIGH|HIGH|LOW|LOW,152,CNYRUBF-L2-V3,11.426,2026-01-05 23:45:00+03:00
CNYRUBF-L9,CNYRUBF-L9-V3,3,CNYRUBF,EH,11.437,11.436,2026-01-05 23:50:00+03:00,2026-01-05,2026-01-05 12:50:00+03:00,2026-01-05 23:40:00+03:00,4,2026-01-05 12:50:00+03:00|2026-01-05 19:10:00+03:00|2026-01-05 23:15:00+03:00|2026-01-05 23:40:00+03:00,2,2,False,False,False,9|33|43|45,HIGH|HIGH|HIGH|HIGH,153,CNYRUBF-L9-V3,11.436,2026-01-05 23:50:00+03:00
CNYRUBF-L11,CNYRUBF-L11-V8,8,CNYRUBF,MIRROR,11.409,11.41,2026-01-06 09:25:00+03:00,2026-01-06,2026-01-05 13:20:00+03:00,2026-01-06 09:15:00+03:00,9,2026-01-05 13:20:00+03:00|2026-01-05 13:35:00+03:00|2026-01-05 14:10:00+03:00|2026-01-05 14:35:00+03:00|2026-01-05 15:50:00+03:00|2026-01-05 19:35:00+03:00|2026-01-05 21:20:00+03:00|2026-01-05 21:45:00+03:00|2026-01-06 09:15:00+03:00,2,2,False,True,True,11|12|14|16|19|34|39|40|47,HIGH|HIGH|HIGH|HIGH|HIGH|LOW|LOW|LOW|LOW,158,CNYRUBF-L11-V8,11.41,2026-01-06 09:25:00+03:00
