year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
2023,1,1,,1.63555206122,1.63555206122,0,,1
2023,2,6,0.276632151712,-0.419874054614,-2.51924432768,-3.48266007902,-0.723367848288,0.166666666667
2023,3,3,0.358527219341,-0.457807946239,-1.37342383872,-2.14104772662,-0.641472780659,0.333333333333
2023,4,5,10.8653717543,1.92529129969,9.62645649847,-0.975782437625,9.86537175427,0.8
2023,5,7,0.691132632569,-0.206089591957,-1.4426271437,-2.50005347134,-0.57703851547,0.142857142857
2023,6,5,0.914743303522,-0.0362666251768,-0.181333125884,-1.50159870107,-0.120760044448,0.6
2023,7,4,2.7367094825,0.449094823166,1.79637929267,-1.03435796877,1.7367094825,0.75
2023,8,10,0.750669658683,-0.113436483751,-1.13436483751,-2.37129497876,-0.478373567048,0.4
2023,9,3,1.53047274091,0.280760801545,0.842282404636,-0.827364111392,1.01803110993,0.333333333333
2023,10,9,1.77177459751,0.280774132086,2.52696718878,-2.29914895402,1.09908807098,0.444444444444
2023,11,5,0.898087428675,-0.0447689885031,-0.223844942516,-1.1376075637,-0.196768155961,0.4
2023,12,3,8.6335030427,2.95050235237,8.8515070571,-1.15956029723,7.6335030427,0.333333333333
2024,1,2,1.41198018949,0.112543728129,0.225087456259,-0.546355048136,0.411980189488,0.5
2024,2,8,0.0894730084436,-0.663596432324,-5.30877145859,-5.63163412771,-0.942669807414,0.25
2024,3,2,0.617604358865,-0.108452718263,-0.216905436526,-0.567227795489,-0.382395641135,0.5
2024,4,5,1.91548191542,0.395274406331,1.97637203166,-2.15883241206,0.915481915419,0.6
2024,5,6,0.211301988114,-0.49993304456,-2.99959826736,-2.99959826736,-1,0.333333333333
2024,6,5,2.31648423,0.889027096222,4.44513548111,-2.56840979745,1.73069557885,0.2
2024,7,3,0,-0.687430942094,-2.06229282628,-2.06229282628,-1,0
2024,8,5,0.970631558638,-0.0110566769725,-0.0552833848627,-1.88240786021,-0.0293684413624,0.4
2024,9,11,0.638555140244,-0.147300845049,-1.62030929554,-2.08710737291,-0.776342087889,0.272727272727
2024,10,2,,0.805177544325,1.61035508865,0,,1
2024,11,6,4.09580065583,1.53510154153,9.21060924917,-1.08273404169,8.50680674523,0.5
2024,12,3,2.44225050675,0.661408204533,1.9842246136,-1.3757836134,1.44225050675,0.333333333333
