direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
LONG,73,1.3134065042,0.154443273815,11.2743589885,-11.0843868501,1.01713871421,0.397260273973
SHORT,46,1.70581138122,0.311273272818,14.3185705496,-5.56800806481,2.57157862973,0.391304347826
