version,scenario,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
baseline,C1,741,1.47227192074,0.204521852252,151.550692518,-19.2163232319,7.88656033154,0.40620782726,8,16
candidate,C1,714,1.46328578667,0.203160457152,145.056566406,-16.2129477802,8.9469582196,0.40056022409,9,12
