direction,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,396,1.56495751586,0.248767045145,98.5117498772,-11.2040109829,8.79254313724,0.39898989899,10,9
SHORT,318,1.33549763401,0.146367347576,46.5448165292,-19.2623202785,2.41636603775,0.40251572327,5,10
