analysis,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5,omitted_period,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
leave_one_fold_out,,,,,,,,,,,,,,2020-09,700,1.45137921318,0.199176641459,139.423649021,-16.2129477802,8.59952495443,0.397142857143,9,12
leave_one_fold_out,,,,,,,,,,,,,,2020-10,709,1.47040010526,0.205861431566,145.95575498,-16.2129477802,9.00241936004,0.40197461213,9,12
leave_one_fold_out,,,,,,,,,,,,,,2020-11,704,1.4757551077,0.208531651355,146.806282554,-16.2129477802,9.05487913385,0.400568181818,9,12
leave_one_fold_out,,,,,,,,,,,,,,2020-12,702,1.47839213849,0.209854970783,147.31818949,-16.2129477802,9.08645309209,0.401709401709,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-01,706,1.47957224305,0.209714272197,148.058276171,-16.2129477802,9.13210097125,0.403682719547,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-02,708,1.46270236416,0.202935579261,143.678390117,-16.2129477802,8.86195354873,0.401129943503,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-03,703,1.4610655477,0.202382825301,142.275126186,-16.2129477802,8.77540149483,0.399715504979,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-04,705,1.46466900221,0.203577807373,143.522354198,-16.2129477802,8.85232939396,0.401418439716,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-05,706,1.44585858879,0.195588910163,138.085770575,-16.2129477802,8.51700581823,0.399433427762,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-06,697,1.48500099768,0.211419867993,147.359647991,-16.2129477802,9.08901021509,0.404591104735,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-07,699,1.44607504429,0.197310955662,137.920358008,-16.2129477802,8.50680332022,0.394849785408,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-08,703,1.47614122427,0.20803624853,146.249482717,-16.2129477802,9.02053622196,0.401137980085,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-09,698,1.46948160164,0.20479267195,142.945285021,-15.7743799819,9.06186393282,0.402578796562,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-10,703,1.48224290267,0.210714005864,148.131946123,-15.7743799819,9.39066678323,0.402560455192,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-11,693,1.47847694503,0.208790626634,144.691904257,-15.7743799819,9.17258899703,0.40404040404,9,12
leave_one_fold_out,,,,,,,,,,,,,,2021-12,705,1.4731066648,0.207581330844,146.344838245,-16.2129477802,9.02641766498,0.4,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-01,693,1.46207475002,0.203265146074,140.862746229,-16.2129477802,8.6882871726,0.399711399711,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-02,696,1.43486100741,0.191081770597,132.992912336,-16.2129477802,8.20288291421,0.400862068966,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-03,707,1.47361989632,0.207168841928,146.468371243,-16.2129477802,9.0340370689,0.401697312588,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-04,709,1.45964430053,0.20204222697,143.247938921,-16.2129477802,8.83540370715,0.399153737659,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-05,711,1.45765775932,0.201539253639,143.294409337,-16.2129477802,8.83826996049,0.398030942335,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-06,712,1.46066285104,0.202492732552,144.174825577,-16.2129477802,8.89257324031,0.400280898876,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-07,706,1.45360299306,0.199631534056,140.939863044,-16.2129477802,8.69304366819,0.398016997167,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-08,708,1.47356958147,0.207596588623,146.978384745,-16.2129477802,9.06549424184,0.401129943503,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-09,698,1.43332401471,0.192019563373,134.029655234,-16.2129477802,8.26682828137,0.395415472779,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-10,708,1.47735974649,0.208493050149,147.613079506,-16.2129477802,9.10464164237,0.402542372881,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-11,708,1.44934427469,0.198259420967,140.367670044,-16.2129477802,8.65775131992,0.398305084746,9,12
leave_one_fold_out,,,,,,,,,,,,,,2022-12,698,1.40531080476,0.180060950586,125.682543509,-16.2129477802,7.7519859567,0.393982808023,7,12
leave_one_fold_out,,,,,,,,,,,,,,2023-01,703,1.46043658357,0.202478741175,142.342555046,-16.2129477802,8.7795604461,0.398293029872,9,12
