fold,trades,PF,expectancy,net_R,max_drawdown,win_rate,fold_status,coverage_status
WF01,7,0.252576916216,-0.499813016788,-3.49869111752,-3.49869111752,0.142857142857,NEGATIVE,incomplete
WF02,6,4.66752328712,1.0874494439,6.52469666339,-1.00592393587,0.5,POSITIVE,incomplete
WF03,11,3.62052496293,0.586068917523,6.44675809275,-1.30056622101,0.636363636364,POSITIVE,incomplete
WF04,9,6.6930912517,1.94241660251,17.4817494226,-1.46347121458,0.555555555556,POSITIVE,incomplete
