removed_top_n,top_trade_contribution_R,percentage_total_positive_R,trades,PF,expectancy,net_R,max_drawdown,win_rate,edge_survives
1,15.3747740568,39.4778046895,32,1.96571467062,0.361866843888,11.5797390044,-3.49869111752,0.46875,True
3,24.1322570363,61.9643922231,30,1.23536748509,0.0940752008311,2.82225602493,-4.56131641741,0.433333333333,True
5,28.0078916805,71.9158586294,28,0.91215145817,-0.0376206649727,-1.05337861923,-5.43869292174,0.392857142857,False
