trade_id,strategy_id,symbol,direction,excursion_time,reclaim_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,target_reference,target_at_entry,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,ADX_entry,BBW_entry,BBW_percentile_entry,EMA200_slope_ATR_entry,quantity
Si-000004,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,Si,SHORT,2023-08-23T10:00:00+0300,2023-08-23T11:00:00+0300,2023-08-23T11:00:00+0300,94.3,94.72024790190659,0.4202479019065919,420.2479019065919,bollinger_middle_previous_bar,93.9325,2023-08-23T15:00:00+0300,94.029,MIDDLE_BAND_TARGET,4,0.6448574728642803,0.004759095740695781,0.6400983771235845,0.1903638296278272,0.8328417546217483,19.711036306898542,0.011504614563835171,9.0,0.21852726784155627,2330.2966718183166
Si-000005,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,Si,LONG,2023-08-23T17:00:00+0300,2023-08-23T18:00:00+0300,2023-08-23T18:00:00+0300,94.21,93.66017101685567,0.549828983144323,549.828983144323,bollinger_middle_previous_bar,94.05850000000001,2023-08-23T19:00:00+0300,94.05850000000001,MIDDLE_BAND_TARGET,1,-0.2755402218587986,0.0036374946780043165,-0.27917771653680296,0.0,0.0,19.31629818567478,0.007192267605056849,3.0,0.21077520279687362,1792.5042429784992
CNY-000008,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,CNY,SHORT,2023-08-25T11:00:00+0300,2023-08-25T12:00:00+0300,2023-08-25T12:00:00+0300,12.96,13.013407579819821,0.05340757981982058,53.40757981982058,bollinger_middle_previous_bar,12.966999999999999,2023-08-25T13:00:00+0300,12.966999999999999,MIDDLE_BAND_TARGET,1,-0.13106753804635166,0.03744786801325458,-0.16851540605960624,0.0,0.0,17.94780341511034,0.0055267904262083015,1.0,0.14419002750339444,18486.330811721222
Si-000006,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,Si,SHORT,2023-09-18T11:00:00+0300,2023-09-18T12:00:00+0300,2023-09-18T12:00:00+0300,96.6,97.09455333759438,0.49455333759438247,494.55333759438247,bollinger_middle_previous_bar,96.591,2023-09-18T13:00:00+0300,96.591,MIDDLE_BAND_TARGET,1,0.018198239332037156,0.004044053184896992,0.014154186147140164,0.0,0.018198239332037156,14.925201629255287,0.008416774076407795,11.0,0.07655583927869399,1987.2867423490313
Si-000007,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,Si,LONG,2023-09-18T14:00:00+0300,2023-09-18T15:00:00+0300,2023-09-18T15:00:00+0300,96.52,96.07623517394504,0.44376482605495937,443.76482605495937,bollinger_middle_previous_bar,96.5485,2023-09-18T16:00:00+0300,96.5485,MIDDLE_BAND_TARGET,1,0.06422320636218815,0.0045068916745382255,0.05971631468764992,0.0,0.06422320636218815,12.559161647996838,0.008467612862452874,13.0,0.07783998856976414,2215.0435175229686
CNY-000009,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,CNY,LONG,2023-09-18T13:00:00+0300,2023-09-18T14:00:00+0300,2023-09-18T14:00:00+0300,13.22,13.174375450139951,0.04562454986004916,45.62454986004916,bollinger_middle_previous_bar,13.2685,2023-09-19T00:00:00+0300,13.2,TIME_EXIT,10,-0.43836048928373583,0.043836048928370626,-0.48219653821210645,0.43836048928373583,0.8767209785673938,14.05836368330284,0.010880997322895502,19.0,0.09530428800811017,21603.42231655923
CNY-000010,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,CNY,LONG,2023-09-19T10:00:00+0300,2023-09-19T11:00:00+0300,2023-09-19T11:00:00+0300,13.16,13.115704393247526,0.044295606752474015,44.295606752474015,bollinger_middle_previous_bar,13.227500000000001,2023-09-19T19:00:00+0300,13.1985,MIDDLE_BAND_TARGET,8,0.8691606870888787,0.04515120452409866,0.82400948256478,0.2257560226204885,1.1287801131024826,13.904417670145683,0.01110575145874564,19.0,0.008351198662341816,22144.265258656305
Si-000008,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,Si,LONG,2023-09-19T10:00:00+0300,2023-09-19T11:00:00+0300,2023-09-19T11:00:00+0300,96.05,95.77198708017505,0.27801291982494547,278.01291982494547,bollinger_middle_previous_bar,96.417,2023-09-19T19:00:00+0300,96.276,MIDDLE_BAND_TARGET,8,0.8129118608671244,0.007193910273160423,0.805717950593964,0.035969551365769396,1.0431169896082837,8.309474268123125,0.008693467618720052,19.0,0.010817728316130086,3537.7686346706178
CNY-000011,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,CNY,LONG,2023-09-21T00:00:00+0300,2023-09-21T10:00:00+0300,2023-09-21T10:00:00+0300,13.17,13.146294972374115,0.023705027625885222,23.705027625885222,bollinger_middle_previous_bar,13.204500000000001,2023-09-21T13:00:00+0300,13.146294972374115,STOP,3,-1.0,0.08437028766910427,-1.0843702876691044,1.0,1.2655543150365371,14.803419664530796,0.008646696489874425,18.0,0.05950543034990936,41720.108415287694
Si-000009,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,Si,LONG,2023-09-20T20:00:00+0300,2023-09-20T21:00:00+0300,2023-09-20T21:00:00+0300,96.01,95.89519541263302,0.11480458736699006,114.80458736699006,bollinger_middle_previous_bar,96.44399999999999,2023-09-21T13:00:00+0300,95.89519541263302,STOP,7,-1.0,0.017420906654249804,-1.01742090665425,1.0,3.2228677310361293,18.02191141217231,0.010598750499397657,44.0,0.0018634767024960975,8636.153069059594
Si-000010,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,Si,SHORT,2023-09-23T00:00:00+0300,2023-09-25T10:00:00+0300,2023-09-25T10:00:00+0300,96.2,96.50256688434828,0.3025668843482805,302.5668843482805,bollinger_middle_previous_bar,96.0505,2023-09-25T11:00:00+0300,96.0505,MIDDLE_BAND_TARGET,1,0.49410562666836977,0.006610108717971357,0.4874955179503984,0.0,0.49410562666836977,14.924900639078501,0.006136740773757224,7.000000000000001,0.04250622361817114,3243.5227294907763
Si-000011,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,Si,SHORT,2023-09-26T13:00:00+0300,2023-09-26T14:00:00+0300,2023-09-26T14:00:00+0300,96.19,96.45837699177558,0.2683769917755825,268.3769917755825,bollinger_middle_previous_bar,96.15050000000001,2023-09-26T16:00:00+0300,96.45837699177558,STOP,2,-1.0,0.0074522036586221405,-1.0074522036586222,1.0,0.0,10.679924080627197,0.003958646088476782,2.0,0.023266969412382786,3674.557778132817
CNY-000012,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,CNY,SHORT,2023-09-26T16:00:00+0300,2023-09-26T17:00:00+0300,2023-09-26T17:00:00+0300,13.16,13.182680370809978,0.022680370809977646,22.680370809977646,bollinger_middle_previous_bar,13.154499999999999,2023-09-26T18:00:00+0300,13.182680370809978,STOP,1,-1.0,0.08818197977257725,-1.0881819797725774,1.0,0.0,14.918742284803688,0.003112165339343755,0.0,0.09658735805005185,43132.10596694766
CNY-000013,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,CNY,SHORT,2023-09-26T21:00:00+0300,2023-09-26T22:00:00+0300,2023-09-26T22:00:00+0300,13.16,13.19266056166915,0.03266056166915021,32.66056166915021,bollinger_middle_previous_bar,13.1595,2023-09-27T00:00:00+0300,13.1615,MIDDLE_BAND_TARGET,2,-0.04592695052813172,0.061235934037506635,-0.10716288456563836,0.9185390105625799,0.0,12.811764409477721,0.00295876322368042,0.0,0.070748420973701,29626.159012714954
Si-000012,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,Si,SHORT,2023-09-27T10:00:00+0300,2023-09-27T11:00:00+0300,2023-09-27T11:00:00+0300,96.43,96.62584874857286,0.19584874857285683,195.84874857285683,bollinger_middle_previous_bar,96.27199999999999,2023-09-27T16:00:00+0300,96.48,RANGE_FAILURE,5,-0.25529905278611914,0.010211962111445348,-0.2655110148975645,0.8169569689156103,0.3574186739006249,19.582178705194334,0.004679746745180742,21.0,0.07273931572481107,4984.620075099018
CNY-000014,R1_Bollinger_False_Breakout_Mean_Reversion_v1.0,CNY,SHORT,2023-09-27T10:00:00+0300,2023-09-27T11:00:00+0300,2023-09-27T11:00:00+0300,13.19,13.222875190072694,0.03287519007269424,32.87519007269424,bollinger_middle_previous_bar,13.1655,2023-09-27T20:00:00+0300,13.222875190072694,STOP,9,-1.0,0.06083615016605417,-1.0608361501660541,1.0,0.30418075083026436,13.829121523817378,0.004554833267664025,12.0,0.0321644216939527,29401.201202246564
