configuration_id,neighbor_count,positive_neighbors,stable_neighbors,classification,expectancy_C1,PF_C1
T3-0000-0e8b28aef6af,1,1,1,LOCAL_SPIKE,0.413254941413,1.92143037705
T3-0001-0ceadfe6ba89,1,1,1,LOCAL_SPIKE,0.496407507027,2.1605004783
T3-0002-fde65b87e674,1,1,1,LOCAL_SPIKE,0.542915741575,2.64593419135
T3-0003-5ce129d7f93a,1,1,1,LOCAL_SPIKE,0.588282266091,2.11283712339
T3-0004-d9d86ab01cd1,2,2,1,LOCAL_SPIKE,0.339830331045,1.85387026477
T3-0005-d9ca2a54c842,1,1,0,LOCAL_SPIKE,0.237484075914,1.72873026658
T3-0006-782a150195d6,12,12,12,ROBUST_PLATEAU,0.463442957611,2.05031716776
T3-0007-30681f09c487,2,2,1,LOCAL_SPIKE,0.526451773783,2.09288465254
T3-0008-ccf5a5d662c5,1,1,1,LOCAL_SPIKE,0.72405098904,2.44293760982
T3-0009-4e73cdb77246,2,2,1,LOCAL_SPIKE,0.335091900799,1.86218290827
T3-0010-f061b189e0f8,1,1,1,LOCAL_SPIKE,0.292694246677,1.9007422406
T3-0011-e465514e7d09,2,2,2,ROBUST_PLATEAU,0.467653657638,2.08157636239
T3-0012-ce4f64b5cf6f,1,1,1,LOCAL_SPIKE,0.41517119439,1.92834182286
T3-0013-aeef6145060a,1,1,1,LOCAL_SPIKE,0.455604482415,2.02812521304
T3-0014-0050d828c1a8,2,2,2,ROBUST_PLATEAU,0.487242051472,2.13329433172
T3-0015-d6feb972db57,2,2,2,ROBUST_PLATEAU,0.415904161234,1.88884067332
T3-0016-2e29f26637ab,2,2,2,ROBUST_PLATEAU,0.395135625836,1.87523348372
T3-0017-1bef08206dd9,1,1,1,LOCAL_SPIKE,0.329116562709,1.71240594514
T3-0018-aeeb96942cf3,2,2,1,LOCAL_SPIKE,0.335318289015,1.72315124134
T3-0019-4e27874898fc,1,1,1,LOCAL_SPIKE,0.334841477825,1.70196667458
T3-0020-8f50652483e0,2,2,1,LOCAL_SPIKE,0.555741841501,2.31534996065
T3-0021-59bb19b16087,1,1,1,LOCAL_SPIKE,0.796739969658,2.98260385565
