parameter,value,configurations,positive_C1_share,mean_expectancy_C1,std_expectancy_C1
adx_threshold,15,1,1,0.413254941413,0
adx_threshold,20,19,1,0.4306652259,0.114092969111
adx_threshold,25,1,1,0.555741841501,0
adx_threshold,30,1,1,0.796739969658,0
atr_average_period,10,1,1,0.496407507027,0
atr_average_period,20,19,1,0.462200461621,0.136843105485
atr_average_period,30,1,1,0.335318289015,0
atr_average_period,50,1,1,0.334841477825,0
breakout_period,10,1,1,0.542915741575,0
breakout_period,20,18,1,0.459183552962,0.141077803951
breakout_period,30,1,1,0.415904161234,0
breakout_period,40,1,1,0.395135625836,0
breakout_period,55,1,1,0.329116562709,0
ema_period,50,1,1,0.455604482415,0
ema_period,75,1,1,0.487242051472,0
ema_period,100,18,1,0.451261369931,0.146100834419
ema_period,150,1,1,0.467653657638,0
ema_period,200,1,1,0.41517119439,0
stop_atr,1.5,1,1,0.588282266091,0
stop_atr,2,19,1,0.459595138479,0.131463355365
stop_atr,2.5,1,1,0.335091900799,0
stop_atr,3,1,1,0.292694246677,0
trail_atr,2,1,1,0.237484075914,0
trail_atr,2.5,1,1,0.339830331045,0
trail_atr,3,18,1,0.451142159716,0.117595637643
trail_atr,3.5,1,1,0.526451773783,0
trail_atr,4,1,1,0.72405098904,0
