direction,trades,net_R,profit_factor,profit_factor_R,expectancy,expectancy_R,average_R,max_drawdown,max_DD_R,win_rate
LONG,74,26.225222760922108,1.828044331833713,1.828044331833713,0.3543949021746231,0.3543949021746231,0.3543949021746231,-14.418323230019542,-14.418323230019542,0.43243243243243246
SHORT,35,24.290059618706724,2.478938138570048,2.478938138570048,0.6940017033916207,0.6940017033916207,0.6940017033916207,-4.23637709308438,-4.23637709308438,0.42857142857142855
