year,trades,net_R,profit_factor,expectancy,average_R,max_drawdown,win_rate
2023,56,-98.88569136854801,0.17261936171980716,-1.7658159172955001,-1.7658159172955001,-98.88569136854801,0.19642857142857142
2024,53,-78.14394479387984,0.3334010285719562,-1.474414052714714,-1.474414052714714,-82.63214772408848,0.2830188679245283
