direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
LONG,29,2.13562901198,0.410165776297,11.8948075126,-2.6254418616,4.53059261628,0.379310344828
SHORT,18,1.29856769266,0.156511913561,2.8172144441,-4.20405513802,0.67011833851,0.277777777778
